ID,Name,ATC_Equipment_Type,SSID,Urbalis_Sector_ID,IP_Address_Blue,IP_Address_Red,MIB_IP_Address_Blue,MIB_IP_Address_Red,Subnet_Mask_Blue,Subnet_Mask_Red,Gateway_IP_Address_Blue,Gateway_IP_Address_Red,Technical_Room_ID,Train_ID
7681,ZC_1,ZC,1,US_SCMA,10.1.13.1,10.2.13.1,10.1.13.1,10.2.13.1,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_LCM_M_0,0
7682,ZC_2,ZC,2,US_SCMA,10.1.13.2,10.2.13.2,10.1.13.2,10.2.13.2,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_LCM_M_0,0
7683,ZC_3,ZC,3,US_SCMA,10.1.13.3,10.2.13.3,10.1.13.3,10.2.13.3,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_LCM_M_0,0
7684,ZC_4,ZC,4,US_SCMA,10.1.13.4,10.2.13.4,10.1.13.4,10.2.13.4,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_LCM_M_0,0
10241,LC,LC,1,US_SCMA,10.1.13.7,10.2.13.7,10.1.13.7,10.2.13.7,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_LCM_M_0,0
12801,DSU,DSU,1,US_SCMA,10.1.13.11,10.2.13.11,10.1.13.11,10.2.13.11,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_LCM_M_0,0
25601,OMAP_1,Trackside OMAP,1,US_SCMA,10.1.13.12,10.2.13.12,10.1.13.12,10.2.13.12,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_LCM_M_0,0
5165,CC_45,CC,45,US_SCMA,10.69.45.24,10.65.45.24,10.69.45.24,10.65.45.24,255.255.255.0,255.255.255.0,10.69.45.138,10.65.45.137,0,45
5166,CC_46,CC,46,US_SCMA,10.69.46.24,10.65.46.24,10.69.46.24,10.65.46.24,255.255.255.0,255.255.255.0,10.69.46.138,10.65.46.137,0,46
5167,CC_47,CC,47,US_SCMA,10.69.47.24,10.65.47.24,10.69.47.24,10.65.47.24,255.255.255.0,255.255.255.0,10.69.47.138,10.65.47.137,0,47
5168,CC_48,CC,48,US_SCMA,10.69.48.24,10.65.48.24,10.69.48.24,10.65.48.24,255.255.255.0,255.255.255.0,10.69.48.138,10.65.48.137,0,48
5169,CC_49,CC,49,US_SCMA,10.69.49.24,10.65.49.24,10.69.49.24,10.65.49.24,255.255.255.0,255.255.255.0,10.69.49.138,10.65.49.137,0,49
5170,CC_50,CC,50,US_SCMA,10.69.50.24,10.65.50.24,10.69.50.24,10.65.50.24,255.255.255.0,255.255.255.0,10.69.50.138,10.65.50.137,0,50
5171,CC_51,CC,51,US_SCMA,10.69.51.24,10.65.51.24,10.69.51.24,10.65.51.24,255.255.255.0,255.255.255.0,10.69.51.138,10.65.51.137,0,51
5172,CC_52,CC,52,US_SCMA,10.69.52.24,10.65.52.24,10.69.52.24,10.65.52.24,255.255.255.0,255.255.255.0,10.69.52.138,10.65.52.137,0,52
5173,CC_53,CC,53,US_SCMA,10.69.53.24,10.65.53.24,10.69.53.24,10.65.53.24,255.255.255.0,255.255.255.0,10.69.53.138,10.65.53.137,0,53
5174,CC_54,CC,54,US_SCMA,10.69.54.24,10.65.54.24,10.69.54.24,10.65.54.24,255.255.255.0,255.255.255.0,10.69.54.138,10.65.54.137,0,54
5175,CC_55,CC,55,US_SCMA,10.69.55.24,10.65.55.24,10.69.55.24,10.65.55.24,255.255.255.0,255.255.255.0,10.69.55.138,10.65.55.137,0,55
5176,CC_56,CC,56,US_SCMA,10.69.56.24,10.65.56.24,10.69.56.24,10.65.56.24,255.255.255.0,255.255.255.0,10.69.56.138,10.65.56.137,0,56
5177,CC_57,CC,57,US_SCMA,10.69.57.24,10.65.57.24,10.69.57.24,10.65.57.24,255.255.255.0,255.255.255.0,10.69.57.138,10.65.57.137,0,57
5178,CC_58,CC,58,US_SCMA,10.69.58.24,10.65.58.24,10.69.58.24,10.65.58.24,255.255.255.0,255.255.255.0,10.69.58.138,10.65.58.137,0,58
5179,CC_59,CC,59,US_SCMA,10.69.59.24,10.65.59.24,10.69.59.24,10.65.59.24,255.255.255.0,255.255.255.0,10.69.59.138,10.65.59.137,0,59
5180,CC_60,CC,60,US_SCMA,10.69.60.24,10.65.60.24,10.69.60.24,10.65.60.24,255.255.255.0,255.255.255.0,10.69.60.138,10.65.60.137,0,60
5181,CC_61,CC,61,US_SCMA,10.69.61.24,10.65.61.24,10.69.61.24,10.65.61.24,255.255.255.0,255.255.255.0,10.69.61.138,10.65.61.137,0,61
