ID,Name,ATS_Equipment_Type,Signalisation_Area_ID,IP_Address_Light_Grey,IP_Address_Dark_Grey,Subnet_Mask_Light_Grey,Subnet_Mask_Dark_Grey,Technical_Room_ID
1,FEP1_SRV1_LCM,FEP,SIA_ATS_1,10.5.10.110,10.6.10.110,255.255.255.0,0.0.0.0,TCR_LCM_M_0
2,FEP1_SRV2_LCM,FEP,SIA_ATS_1,10.5.10.111,10.6.10.111,255.255.255.0,0.0.0.0,TCR_LCM_M_0
3,CATS_SRV1_LCM,Central Server,SIA_CATS,10.5.10.100,10.6.10.100,255.255.255.0,0.0.0.0,TCR_LCM_M_0
4,CATS_SRV2_LCM,Central Server,SIA_CATS,10.5.10.101,10.6.10.101,255.255.255.0,0.0.0.0,TCR_LCM_M_0
5,GW_ATS1_LCM,Gateway,SIA_ATS_1,10.5.50.180,10.6.50.180,255.255.255.0,0.0.0.0,TCR_LCM_M_0
6,GW_ATS2_LCM,Gateway,SIA_ATS_1,10.5.50.181,10.6.50.181,255.255.255.0,0.0.0.0,TCR_LCM_M_0
7,LATS_SRV1_LCM,Local Server,SIA_LATS_1,10.5.10.102,10.6.10.102,255.255.255.0,0.0.0.0,TCR_LCM_M_0
8,LATS_SRV2_LCM,Local Server,SIA_LATS_1,10.5.10.103,10.6.10.103,255.255.255.0,0.0.0.0,TCR_LCM_M_0
9,LATS_SRV3_LCM,Local Server,SIA_LATS_2,10.5.10.104,10.6.10.104,255.255.255.0,0.0.0.0,TCR_LCM_M_0
10,LATS_SRV4_LCM,Local Server,SIA_LATS_2,10.5.10.105,10.6.10.105,255.255.255.0,0.0.0.0,TCR_LCM_M_0
11,FEP2_SRV1_LCM,FEP,SIA_ATS_2,10.5.10.112,10.6.10.112,255.255.255.0,0.0.0.0,TCR_LCM_M_0
12,FEP2_SRV2_LCM,FEP,SIA_ATS_2,10.5.10.113,10.6.10.113,255.255.255.0,0.0.0.0,TCR_LCM_M_0
