ID,Name,Elementary_Zone_ID_List
1,BMZ_PI_50_1,EZ_1_ITW_5_3C_W1531;EZ_1_W1531_ITW_5_7;EZ_1_ITW_110D_5_PSB_5_1529;EZ_1_PSB_5_1531_ITW_5_160
2,BMZ_PI_50_6,EZ_6_PSB_6_ITW_6_180;EZ_6_ITW_4C_6_PSB_6_1527
3,BMZ_RG_1_15,EZ_15_PSB_20_ZD_20_22
4,BMZ_RG_1_21,EZ_21_ZD_20_22_ZD_24D_26;EZ_21_ZD_162_22_PSB_22_1791
5,BMZ_RG_1_23,EZ_23_ZD_24D_26_W1775B;EZ_23_W1775B_W_21_25;EZ_23_ZD_37_26_PSB_26_1773A;EZ_23_PSB_26_1775B_ZD_26_37
6,BMZ_RG_1_25,EZ_25_W_21_25_W_25_27
7,BMZ_RG_1_27,EZ_27_W_25_27_W_27_29
8,BMZ_RG_1_29,EZ_29_W_27_29_W_29_31
9,BMZ_RG_1_31,EZ_31_W_29_31_HDS_4_6
10,BMZ_RG_1_33,EZ_33_HDS_4_6_W_31_41;EZ_33_HDS_5_6_PSB_6_1721A
11,BMZ_RG_1_35,EZ_35_W_31_41_W1719B;EZ_35_W1719B_HDS_6_8;EZ_35_PSB_6_1719B_HDS_6_5
12,BMZ_RG_1_41,EZ_41_HDS_6_8_W_41_51
13,BMZ_RG_1_43,EZ_43_W_41_51_HDS_10_12
14,BMZ_RG_1_51,EZ_51_HDS_10_12_HDS_12_14
15,BMZ_RG_1_53,EZ_53_HDS_12_14_W1695B;EZ_53_W1695B_W_51_55;EZ_53_PSB_14_1695B_HDS_14_100
16,BMZ_RG_1_55,EZ_55_W_51_55_W_55_61;EZ_55_HDS_102_18_PSB_18_1683
17,BMZ_RG_1_61,EZ_61_W_55_61_W_61_71
18,BMZ_RG_1_63,EZ_63_W_61_71_VLN_4_6
19,BMZ_RG_1_71,EZ_71_VLN_4_6_PSB_6_4B
20,BMZ_RG_1_73,EZ_73_PSB_6_4B_VLN_6_8
21,BMZ_RG_1_75,EZ_75_VLN_6_8_W1653B;EZ_75_W1653B_W_71_81;EZ_75_PSB_8_1653B_VLN_8_7
23,BMZ_RG_1_81,EZ_81_W_71_81_PSB_10_4B;EZ_81_VLN_7_8_PSB_8_1651A
24,BMZ_RG_1_83,EZ_83_PSB_10_4B_W_81_91
25,BMZ_RG_1_85,EZ_85_W_81_91_W1637B;EZ_85_W1637B_VLN_12_14;EZ_85_VLN_11_12_PSB_12_1635A;EZ_85_PSB_12_1637B_VLN_12_11
26,BMZ_RG_1_91,EZ_91_VLN_12_14_W_91_93
27,BMZ_RG_1_93,EZ_93_W_91_93_VLN_22_EORIO
28,BMZ_RG_1_95,EZ_95_VLN_22_EORIO_W1617B;EZ_95_W1617B_W_93_97;EZ_95_PSB_2_1617B_ITW_2_1
29,BMZ_RG_1_97,EZ_97_W_93_97_ITW_4C_6;EZ_97_ITW_1_2_PSB_2_1615A
31,BMZ_RG_2_14,EZ_14_PSB_25_ZD_25_27
32,BMZ_RG_2_20,EZ_20_ZD_143_27_PSB_27_1793;EZ_20_ZD_25_27_W_20_22
33,BMZ_RG_2_22,EZ_22_W_20_22_W1773B;EZ_22_W1773B_ZD_37_39;EZ_22_PSB_37_1773B_ZD_37_26;EZ_22_ZD_26_37_PSB_37_1775A
34,BMZ_RG_2_24,EZ_24_ZD_37_39_W_22_26
35,BMZ_RG_2_26,EZ_26_W_22_26_W_26_28
36,BMZ_RG_2_28,EZ_28_W_26_28_W_28_30
37,BMZ_RG_2_30,EZ_30_W_28_30_HDS_3_5
38,BMZ_RG_2_32,EZ_32_HDS_3_5_W1721B;EZ_32_W1721B_W_30_40;EZ_32_PSB_5_1721B_HDS_5_6
40,BMZ_RG_2_40,EZ_40_W_30_40_HDS_7_9;EZ_40_HDS_6_5_PSB_5_1719A
41,BMZ_RG_2_42,EZ_42_HDS_7_9_W_40_50
42,BMZ_RG_2_50,EZ_50_W_40_50_HDS_11_13
43,BMZ_RG_2_52,EZ_52_HDS_11_13_W1697;EZ_52_W1697_W_50_54;EZ_52_PSB_13_1697_HDS_13_100
44,BMZ_RG_2_54,EZ_54_W_50_54_W_54_60;EZ_54_HDS_102_17_PSB_17_1687A
45,BMZ_RG_2_60,EZ_60_W_54_60_VLN_1_3
46,BMZ_RG_2_62,EZ_62_VLN_1_3_W_60_70
47,BMZ_RG_2_70,EZ_70_W_60_70_PSB_5_3B
48,BMZ_RG_2_72,EZ_72_PSB_5_3B_VLN_5_7
49,BMZ_RG_2_74,EZ_74_VLN_5_7_W_70_80;EZ_74_VLN_8_7_PSB_7_1653A
50,BMZ_RG_2_76,EZ_76_W_70_80_W1651B;EZ_76_W1651B_VLN_7_9;EZ_76_PSB_7_1651B_VLN_7_8
51,BMZ_RG_2_80,EZ_80_VLN_7_9_PSB_9_3B
52,BMZ_RG_2_82,EZ_82_PSB_9_3B_W_80_90
53,BMZ_RG_2_84,EZ_84_W_80_90_W1635B;EZ_84_W1635B_VLN_11_13;EZ_84_PSB_11_1635B_VLN_11_12;EZ_84_VLN_12_11_PSB_11_1637A
54,BMZ_RG_2_90,EZ_90_VLN_11_13_W_90_92
55,BMZ_RG_2_92,EZ_92_W_90_92_VLN_13_EORIO
56,BMZ_RG_2_94,EZ_94_VLN_13_EORIO_W_92_96;EZ_94_ITW_2_1_PSB_1_1617A
57,BMZ_RG_2_96,EZ_96_W_92_96_W1615B;EZ_96_W1615B_ITW_1_3A;EZ_96_PSB_1_1615B_ITW_1_2
58,BMZ_RG_2_98,EZ_98_ITW_1_3A_ITW_3C_5
59,BMZ_RG_3_57,EZ_57_PSB_102_1687B_HDS_102_17;EZ_57_HDS_14_100_PSB_100_1695A;EZ_57_HDS_13_100_W1687B;EZ_57_W1687B_HDS_102_18
1001,BMZ_PN_11_0,EZ_7_ND_EOT_110_ND_111_112
1002,BMZ_PN_12_0,EZ_3_ND_EOT_100_ND_101_112
1003,BMZ_PN_13_0,EZ_1_ND_EOT_1_ND_3_5
1004,BMZ_PN_50_1,EZ_2_ND_101_112_PSB_112_3207;EZ_2_PSB_112_3203A_ND_112_122;EZ_2_ND_122_112_PSB_112_3201B;EZ_2_ND_111_112_W3203A;EZ_2_W3203A_ND_112_5
1005,BMZ_PN_21_0,EZ_8_ND_EOT_120_ND_121_122
1006,BMZ_PN_22_0,EZ_6_ND_EOT_130_ND_130_122
1007,BMZ_PN_23_0,EZ_4_ND_EOT_2_ND_2_4
1008,BMZ_PN_50_2,EZ_5_ND_121_122_W3201A;EZ_5_W3201A_ND_122_4;EZ_5_ND_130_122_PSB_122_3205;EZ_5_PSB_122_3201A_ND_122_112;EZ_5_ND_112_122_PSB_122_3203B
1009,BMZ_NZ_1_11,EZ_11_ND_3_5_W3223A;EZ_11_W3223A_W_11_13;EZ_11_ND_112_5_PSB_5_3213;EZ_11_PSB_9_3223A_ND_9_8
1010,BMZ_NZ_1_13,EZ_13_W_11_13_W_13_21;EZ_13_ND_8_9_PSB_9_3225B
1011,BMZ_NZ_2_10,EZ_10_ND_2_4_ND_6_8;EZ_10_ND_122_4_PSB_4_3211
1012,BMZ_NZ_2_12,EZ_12_ND_6_8_W_10_14;EZ_12_ND_9_8_PSB_8_3223B
1013,BMZ_NZ_2_14,EZ_14_W_10_14_W3225A;EZ_14_W3225A_PSB_8;EZ_14_PSB_8_3225A_ND_8_9
1014,BMZ_NZ_2_16,EZ_16_PSB_8_W_14_20
1015,BMZ_NZ_1_21,EZ_21_W_13_21_W3255A;EZ_21_W3255A_W_21_23;EZ_21_PSB_3_3255A_CSN_3_4A
1016,BMZ_NZ_1_23,EZ_23_W_21_23_CSN_5_7;EZ_23_CSN_4A_3_PSB_3_3257B
1017,BMZ_NZ_1_31,EZ_31_CSN_5_7_CSN_13_15;EZ_31_CSN_101_7_PSB_7_3277
1018,BMZ_NZ_3_25,EZ_25_CSN_EOT_100A_W3273;EZ_25_W3273_CSN_101_7;EZ_25_PSB_101_3273_CSN_101_6
1019,BMZ_NZ_2_20,EZ_20_W_14_20_CSN_2_4A
1020,BMZ_NZ_2_22,EZ_22_CSN_2_4A_W_22_24;EZ_22_CSN_3_4A_PSB_4A_3255B
1021,BMZ_NZ_2_24,EZ_24_W_22_24_W3257A;EZ_24_W3257A_W_24_30;EZ_24_PSB_4A_3257A_CSN_4A_3
1022,BMZ_NZ_2_30,EZ_30_W_24_30_CSN_12_14;EZ_30_CSN_101_6_PSB_6_3279
1023,BMZ_NZ_1_41,EZ_41_CSN_13_15_W3309A
1024,BMZ_NZ_1_43,EZ_43_PSB_17_3309A_CSN_17_16;EZ_43_CSN_16_17_PSB_17_3313B;EZ_43_W3309A_W3313B
1025,BMZ_NZ_1_45,EZ_45_CSN_19_21_CSN_21_EORIO;EZ_45_W3313B_CSN_19_21
1026,BMZ_NZ_2_40,EZ_40_CSN_12_14_W3313A
1027,BMZ_NZ_2_42,EZ_42_CSN_17_16_PSB_16_3309B;EZ_42_PSB_16_3313A_CSN_16_17;EZ_42_W3313A_W3309B
1028,BMZ_NZ_2_44,EZ_44_W3309B_CSN_18_20;EZ_44_CSN_18_20_CSN_20_EORIO
1029,BMZ_NZ_1_51,EZ_51_CSN_21_EORIO_VZG_1_3
1030,BMZ_NZ_1_53,EZ_53_VZG_1_3_W3421A
1031,BMZ_NZ_1_55,EZ_55_W3421A_W3423B;EZ_55_PSB_3_3421A_VZG_3_4;EZ_55_VZG_4_3_PSB_3_3423B
1032,BMZ_NZ_1_61,EZ_61_W3423B_VZG_5_7
1033,BMZ_NZ_2_50,EZ_50_CSN_20_EORIO_VZG_2_4
