ID,Name,Track_ID,KpValue,KpCorrected_Trolley_Value
4812,BC_4812,TR_3A_SLW_ZD,452562,0
6817,BC_6817,TR_3A_SLW_ZD,458062,-21
4813,BC_4813,TR_3A_SLW_ZD,463772,28
6818,BC_6818,TR_3A_SLW_ZD,465972,45
2959,BC_2959,TR_3A_SLW_ZD,466678,56
2960,BC_2960,TR_3A_SLW_ZD,468418,29
2961,BC_2961,TR_3A_SLW_ZD,469352,23
2963,BC_2963,TR_3A_SLW_ZD,469775,26
2964,BC_2964,TR_3A_SLW_ZD,471092,68
2965,BC_2965,TR_3A_SLW_ZD,471515,4
6819,BC_6819,TR_3A_SLW_ZD,474895,-29
4814,BC_4814,TR_3A_SLW_ZD,479000,-14
6821,BC_6821,TR_3A_SLW_ZD,482805,55
4816,BC_4816,TR_3A_SLW_ZD,488305,-23
5539,BC_5539,TR_3A_SLW_ZD,492500,-122
5540,BC_5540,TR_3A_SLW_ZD,501000,-7
1500,BC_1500,TR_3A_SLW_ZD,509600,0
1501,BC_1501,TR_3A_SLW_ZD,511700,35
5541,BC_5541,TR_3A_SLW_ZD,520300,0
5542,BC_5542,TR_3A_SLW_ZD,536535,0
5543,BC_5543,TR_3A_SLW_ZD,552535,0
5544,BC_5544,TR_3A_SLW_ZD,568535,0
4817,BC_4817,TR_3A_SLW_ZD,576469,21
6822,BC_6822,TR_3A_SLW_ZD,582569,-75
2967,BC_2967,TR_3A_SLW_ZD,584839,-13
2968,BC_2968,TR_3A_SLW_ZD,585219,-35
2969,BC_2969,TR_3A_SLW_ZD,586639,-21
6823,BC_6823,TR_3A_SLW_ZD,588129,-8
6824,BC_6824,TR_3A_SLW_ZD,590129,-14
6826,BC_6826,TR_3A_SLW_ZD,592129,-9
2970,BC_2970,TR_3A_SLW_ZD,593619,1
2971,BC_2971,TR_3A_SLW_ZD,595039,11
2972,BC_2972,TR_3A_SLW_ZD,595419,-13
6828,BC_6828,TR_3A_SLW_ZD,597689,-35
4818,BC_4818,TR_3A_SLW_ZD,603789,1
5545,BC_5545,TR_3A_SLW_ZD,619789,-13
5546,BC_5546,TR_3A_SLW_ZD,631100,0
5547,BC_5547,TR_3A_SLW_ZD,647100,3
1502,BC_1502,TR_3A_SLW_ZD,663100,3
1503,BC_1503,TR_3A_SLW_ZD,665200,-32
5548,BC_5548,TR_3A_SLW_ZD,681200,0
5549,BC_5549,TR_3A_SLW_ZD,697200,0
5550,BC_5550,TR_3A_SLW_ZD,713200,31
5551,BC_5551,TR_3A_SLW_ZD,729200,-47
5552,BC_5552,TR_3A_SLW_ZD,745200,-43
5553,BC_5553,TR_3A_SLW_ZD,761200,-47
5554,BC_5554,TR_3A_SLW_ZD,777200,-56
5555,BC_5555,TR_3A_SLW_ZD,793200,-60
4819,BC_4819,TR_3A_SLW_ZD,803485,-63
6829,BC_6829,TR_3A_SLW_ZD,807895,-41
2973,BC_2973,TR_3A_SLW_ZD,811225,-44
2974,BC_2974,TR_3A_SLW_ZD,811615,-13
2975,BC_2975,TR_3A_SLW_ZD,813355,-40
6830,BC_6830,TR_3A_SLW_ZD,816735,-58
6832,BC_6832,TR_3A_SLW_ZD,818935,-48
2976,BC_2976,TR_3A_SLW_ZD,820325,-10
2977,BC_2977,TR_3A_SLW_ZD,821455,1
2978,BC_2978,TR_3A_SLW_ZD,821845,-32
2979,BC_2979,TR_3A_SLW_ZD,822135,-36
6833,BC_6833,TR_3A_SLW_ZD,824645,-46
4820,BC_4820,TR_3A_SLW_ZD,830145,-39
4821,BC_4821,TR_3A_SLW_ZD,840000,15
1504,BC_1504,TR_3A_SLW_ZD,842000,13
1505,BC_1505,TR_3A_SLW_ZD,844100,-9
4822,BC_4822,TR_3A_SLW_ZD,846230,3
6834,BC_6834,TR_3A_SLW_ZD,851730,0
5556,BC_5556,TR_3A_SLW_ZD,867700,0
5557,BC_5557,TR_3A_SLW_ZD,883700,0
1506,BC_1506,TR_3A_SLW_ZD,887370,897
1507,BC_1507,TR_3A_SLW_ZD,889470,870
5558,BC_5558,TR_3A_SLW_ZD,898070,918
6835,BC_6835,TR_3A_SLW_ZD,905670,841
4823,BC_4823,TR_3A_SLW_ZD,909480,900
6837,BC_6837,TR_3A_SLW_ZD,914980,823
2980,BC_2980,TR_3A_SLW_ZD,917490,816
2982,BC_2982,TR_3A_SLW_ZD,917780,815
2983,BC_2983,TR_3A_SLW_ZD,918170,852
2984,BC_2984,TR_3A_SLW_ZD,919300,862
6838,BC_6838,TR_3A_SLW_ZD,920690,834
6839,BC_6839,TR_3A_SLW_ZD,922890,912
2985,BC_2985,TR_3A_SLW_ZD,926270,884
2986,BC_2986,TR_3A_SLW_ZD,928010,943
2987,BC_2987,TR_3A_SLW_ZD,928400,902
6840,BC_6840,TR_3A_SLW_ZD,931730,1732
4824,BC_4824,TR_3A_SLW_ZD,936140,328
5559,BC_5559,TR_3A_SLW_ZD,945700,401
1508,BC_1508,TR_3A_SLW_ZD,954300,941
1510,BC_1510,TR_3A_SLW_ZD,956400,916
5560,BC_5560,TR_3A_SLW_ZD,965000,878
5561,BC_5561,TR_3A_SLW_ZD,981000,872
5562,BC_5562,TR_3A_SLW_ZD,997200,801
5565,BC_5565,TR_3A_SLW_ZD,1013400,776
4825,BC_4825,TR_4A_SLW_ZD,452447,-2138
6841,BC_6841,TR_4A_SLW_ZD,457947,-84
4826,BC_4826,TR_4A_SLW_ZD,463657,34
6842,BC_6842,TR_4A_SLW_ZD,465857,-23
2988,BC_2988,TR_4A_SLW_ZD,466563,-20
2989,BC_2989,TR_4A_SLW_ZD,468303,-41
2991,BC_2991,TR_4A_SLW_ZD,469237,-52
2992,BC_2992,TR_4A_SLW_ZD,469660,25
2994,BC_2994,TR_4A_SLW_ZD,470977,-3
2996,BC_2996,TR_4A_SLW_ZD,471400,1
6843,BC_6843,TR_4A_SLW_ZD,474780,-12
4827,BC_4827,TR_4A_SLW_ZD,479000,10
6844,BC_6844,TR_4A_SLW_ZD,482690,-9
4828,BC_4828,TR_4A_SLW_ZD,488190,-19
5566,BC_5566,TR_4A_SLW_ZD,492000,86
5567,BC_5567,TR_4A_SLW_ZD,500600,3
1511,BC_1511,TR_4A_SLW_ZD,509000,-134
1512,BC_1512,TR_4A_SLW_ZD,511100,-105
5568,BC_5568,TR_4A_SLW_ZD,519500,-131
5569,BC_5569,TR_4A_SLW_ZD,535500,-156
5570,BC_5570,TR_4A_SLW_ZD,551500,105
5571,BC_5571,TR_4A_SLW_ZD,567500,62
4829,BC_4829,TR_4A_SLW_ZD,577022,-1657
6845,BC_6845,TR_4A_SLW_ZD,583122,-124
2997,BC_2997,TR_4A_SLW_ZD,585392,-14
2998,BC_2998,TR_4A_SLW_ZD,585772,-40
2999,BC_2999,TR_4A_SLW_ZD,587192,-31
6846,BC_6846,TR_4A_SLW_ZD,588682,-26
6847,BC_6847,TR_4A_SLW_ZD,590682,-30
6848,BC_6848,TR_4A_SLW_ZD,592682,-35
6000,BC_6000,TR_4A_SLW_ZD,594172,-27
6001,BC_6001,TR_4A_SLW_ZD,595592,-21
6002,BC_6002,TR_4A_SLW_ZD,595972,-44
6849,BC_6849,TR_4A_SLW_ZD,598242,-69
4830,BC_4830,TR_4A_SLW_ZD,604342,-111
5572,BC_5572,TR_4A_SLW_ZD,620342,-21
5573,BC_5573,TR_4A_SLW_ZD,636342,-2
5574,BC_5574,TR_4A_SLW_ZD,652342,-14
1514,BC_1514,TR_4A_SLW_ZD,668342,-68
1515,BC_1515,TR_4A_SLW_ZD,670442,-38
5575,BC_5575,TR_4A_SLW_ZD,686442,-19
5576,BC_5576,TR_4A_SLW_ZD,702442,48
5577,BC_5577,TR_4A_SLW_ZD,718442,124
5581,BC_5581,TR_4A_SLW_ZD,734442,-24
5582,BC_5582,TR_4A_SLW_ZD,750442,0
5584,BC_5584,TR_4A_SLW_ZD,766442,60
5585,BC_5585,TR_4A_SLW_ZD,782442,64
5587,BC_5587,TR_4A_SLW_ZD,798442,69
4831,BC_4831,TR_4A_SLW_ZD,804501,19
6850,BC_6850,TR_4A_SLW_ZD,808911,37
6003,BC_6003,TR_4A_SLW_ZD,812241,31
6004,BC_6004,TR_4A_SLW_ZD,812631,-4
6006,BC_6006,TR_4A_SLW_ZD,814371,46
6851,BC_6851,TR_4A_SLW_ZD,817751,23
6852,BC_6852,TR_4A_SLW_ZD,819951,35
6007,BC_6007,TR_4A_SLW_ZD,821341,2
6008,BC_6008,TR_4A_SLW_ZD,822471,11
6009,BC_6009,TR_4A_SLW_ZD,822861,-19
6010,BC_6010,TR_4A_SLW_ZD,823151,-24
6853,BC_6853,TR_4A_SLW_ZD,825661,7422339
4832,BC_4832,TR_4A_SLW_ZD,831161,74
5589,BC_5589,TR_4A_SLW_ZD,842297,0
5590,BC_5590,TR_4A_SLW_ZD,858297,0
5591,BC_5591,TR_4A_SLW_ZD,874297,0
5593,BC_5593,TR_4A_SLW_ZD,881997,0
1516,BC_1516,TR_4A_SLW_ZD,890497,148
1518,BC_1518,TR_4A_SLW_ZD,892597,126
5594,BC_5594,TR_4A_SLW_ZD,901097,11
4833,BC_4833,TR_4A_SLW_ZD,909597,1803
6854,BC_6854,TR_4A_SLW_ZD,915097,148
6011,BC_6011,TR_4A_SLW_ZD,917607,0
6012,BC_6012,TR_4A_SLW_ZD,917897,-7
6013,BC_6013,TR_4A_SLW_ZD,918287,29
6014,BC_6014,TR_4A_SLW_ZD,919417,42
6855,BC_6855,TR_4A_SLW_ZD,920807,8
6856,BC_6856,TR_4A_SLW_ZD,923007,31
6015,BC_6015,TR_4A_SLW_ZD,926387,3
6016,BC_6016,TR_4A_SLW_ZD,928127,-22
6017,BC_6017,TR_4A_SLW_ZD,928517,13
6857,BC_6857,TR_4A_SLW_ZD,931847,-5
4834,BC_4834,TR_4A_SLW_ZD,936257,9
5595,BC_5595,TR_4A_SLW_ZD,946000,52
1519,BC_1519,TR_4A_SLW_ZD,954300,18
1521,BC_1521,TR_4A_SLW_ZD,956400,55
5596,BC_5596,TR_4A_SLW_ZD,965000,37
5598,BC_5598,TR_4A_SLW_ZD,981000,-61
5600,BC_5600,TR_4A_SLW_ZD,997000,-76
5601,BC_5601,TR_4A_SLW_ZD,1013000,-112
5602,BC_5602,TR_4A_SLW_ZD,1025000,-83
6878,BC_6878,TR_S_1921_ZD,981200,-6916
6182,BC_6182,TR_S_1921_ZD,982822,326
6183,BC_6183,TR_S_1921_ZD,983202,276
6184,BC_6184,TR_S_1921_ZD,984562,326
6185,BC_6185,TR_S_1921_ZD,984942,276
6186,BC_6186,TR_S_1921_ZD,986402,276
6187,BC_6187,TR_S_1921_ZD,986822,276
6188,BC_6188,TR_S_1921_ZD,988142,276
6190,BC_6190,TR_S_1921_ZD,988562,276
6191,BC_6191,TR_S_1921_ZD,989602,276
6193,BC_6193,TR_S_1921_ZD,990022,276
6194,BC_6194,TR_S_1921_ZD,991342,276
6195,BC_6195,TR_S_1921_ZD,991762,276
6196,BC_6196,TR_S_1921_ZD,992802,276
6197,BC_6197,TR_S_1921_ZD,993222,276
