ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Train_Formation_Characteristics_ID_List,Direction_After_Change_Of_Direction,SSP_ID_List,Change_Of_Ends_Zone_ID_List,Default_Stop,Traffic_Reversal_Commands
1,COD_ASW_3B_LU_29_35_U,TR_3B_ASW_ITW,1029722,0,1042450,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Up,SSP_ASW_33_D_1;SSP_ASW_33_D_2;SSP_ASW_31_D_3;SSP_ASW_31_D_4;SSP_ASW_33_U_1;SSP_ASW_33_U_2;SSP_ASW_35_U_3;SSP_ASW_35_U_4,COE_ASW_3B_LU_29_35_U,false,None
2,COD_ASW_4B_RD_24A_22D_U,TR_4B_ASW_ITW,1035773,0,1048491,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Up,SSP_ASW_24_U_1;SSP_ASW_24_U_2;SSP_ASW_24_U_3;SSP_ASW_24_U_4;SSP_ASW_24_D_1;SSP_ASW_24_D_2;SSP_ASW_24_D_3;SSP_ASW_24_D_4,COE_ASW_4B_RD_24A_22D_U,false,None
3,COD_ZD_39_D,TR_3B_ASW_ITW,1077106,-4,1100877,10,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Down,SSP_ZD_39_U,COE_ZD_39_D,false,None
4,COD_ZD_28_D,TR_4B_ASW_ITW,1077199,46,1100962,115,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Down,SSP_ZD_28_U,COE_ZD_28_D,false,None
5,COD_HVW_3B_LU_3_B,TR_3B_ASW_ITW,1261277,0,1274616,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_HVW_3_U_1;SSP_HVW_3_U_2;SSP_HVW_3_U_3;SSP_HVW_3_U_4;SSP_HVW_3_D_1;SSP_HVW_3_D_2;SSP_HVW_3_D_3;SSP_HVW_3_D_4,COE_HVW_3B_LU_3_D;COE_HVW_3B_LU_3_U,false,None
6,COD_HVW_4B_RD_4_B,TR_4B_ASW_ITW,1263437,0,1276756,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_HVW_4_U_1;SSP_HVW_4_U_2;SSP_HVW_4_U_3;SSP_HVW_4_U_4;SSP_HVW_4_D_1;SSP_HVW_4_D_2;SSP_HVW_4_D_3;SSP_HVW_4_D_4,COE_HVW_4B_RD_4_D;COE_HVW_4B_RD_4_U,false,None
7,COD_HDS_3B_LU_7_B,TR_3B_ASW_ITW,1331038,0,1344112,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_HDS_7_U_1;SSP_HDS_7_U_2;SSP_HDS_7_U_3;SSP_HDS_7_U_4;SSP_HDS_7_D,COE_HDS_3B_LU_7_D;COE_HDS_3B_LU_7_U,false,None
8,COD_HDS_4B_RD_8_B,TR_4B_ASW_ITW,1333137,0,1346204,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_HDS_8_U_1;SSP_HDS_8_U_2;SSP_HDS_8_U_3;SSP_HDS_8_U_4;SSP_HDS_8_D,COE_HDS_4B_RD_8_D;COE_HDS_4B_RD_8_U,false,None
9,COD_HDS_101A_B,TR_S_1697_HDS,1420793,88,1425115,61,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_HDS_101A_D;SSP_HDS_101A_U,COE_HDS_101A_101D_D;COE_HDS_101A_101D_U,false,Up
10,COD_HDS_101B_B,TR_S_1697_HDS,1425115,61,1428315,79,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_HDS_101B_D;SSP_HDS_101B_U,COE_HDS_101A_101D_D;COE_HDS_101A_101D_U,false,None
