ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Direction_After_Change_Of_Ends,Traffic_Direction_Self_Normalized
1,COE_ASW_3B_LU_29_35_U,TR_3B_ASW_ITW,1029341,-191,1067550,-1468,Up,false
2,COE_ASW_4B_RD_24A_22D_U,TR_4B_ASW_ITW,1034672,-7,1067812,-1654,Up,false
3,COE_ZD_39_D,TR_3B_ASW_ITW,1077106,-4,1100877,10,Down,false
4,COE_ZD_28_D,TR_4B_ASW_ITW,1077199,46,1100962,115,Down,false
5,COE_HVW_3B_LU_3_D,TR_3B_ASW_ITW,1258277,-22,1283765,-2,Down,false
6,COE_HVW_3B_LU_3_U,TR_3B_ASW_ITW,1258277,-22,1283765,-2,Up,false
7,COE_HVW_4B_RD_4_D,TR_4B_ASW_ITW,1260437,-62,1286031,-52,Down,false
8,COE_HVW_4B_RD_4_U,TR_4B_ASW_ITW,1260437,-62,1286031,-52,Up,false
9,COE_HDS_3B_LU_7_D,TR_3B_ASW_ITW,1299211,-1,1347112,17,Down,false
10,COE_HDS_3B_LU_7_U,TR_3B_ASW_ITW,1299211,-1,1347112,17,Up,false
11,COE_HDS_4B_RD_8_D,TR_4B_ASW_ITW,1301275,19,1348337,-47,Down,false
12,COE_HDS_4B_RD_8_U,TR_4B_ASW_ITW,1301275,19,1348337,-47,Up,false
13,COE_LLL_3B_LU_11_D,TR_3B_ASW_ITW,1383771,-23,1410029,-37,Down,false
14,COE_LLL_3B_LU_11_U,TR_3B_ASW_ITW,1383771,-23,1410029,-37,Up,false
15,COE_LLL_4B_RD_12_D,TR_4B_ASW_ITW,1385838,-73,1412307,59,Down,false
16,COE_LLL_4B_RD_12_U,TR_4B_ASW_ITW,1385838,-73,1412307,59,Up,false
17,COE_HDS_101A_101D_D,TR_S_1697_HDS,1420793,88,1435837,-7,Down,false
18,COE_HDS_101A_101D_U,TR_S_1697_HDS,1420793,88,1435837,-7,Up,false
