ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Direction,Ignored_Signal_ID,Train_Formation_Characteristics_ID_List,EMI_Limit_Speed_List,Closed_track_End_Speed
1001,EMI_1_3_ND,TR_7A_ND_ZD,619136,994,644836,30,Down,0,TRFC_M5M6,5000,14
1002,EMI_100_101_ND,TR_S_EOT_3207_ND,611840,602,638880,-671,Down,0,TRFC_M5M6,5000,14
1003,EMI_110_111_ND,TR_S_EOT_3213_ND,608956,3410,638956,-825,Down,0,TRFC_M5M6,5000,14
1004,EMI_120_121_ND,TR_S_EOT_3211_ND,610523,1839,636423,1064,Down,0,TRFC_M5M6,5000,14
1005,EMI_130_ND,TR_S_EOT_3205_ND,624736,517,638036,-715,Down,0,TRFC_M5M6,5000,14
1006,EMI_2_ND,TR_8_ND_ZD,624287,1017,646187,27,Down,0,TRFC_M5M6,5000,14
1007,EMI_100A_CSN,TR_S_EOT_3277_CSN,918512,417,934336,-811,Down,0,TRFC_M5M6,5000,14
2001,EMI_103A_103D_ITW,TR_S_ITW1_ITW,1885998,0,1899600,0,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2002,EMI_100A_101D_ITW,TR_S_ITW1_ITW,1851648,0,1879145,0,Down,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2003,EMI__150A_150D_ITW,TR_3C_ITW_ITW,1886607,0,1900775,0,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2004,EMI_110A_110D_ITW,TR_S_EOT_1529_ITW,1860477,0,1874550,0,Down,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2005,EMI_161A_161D_ITW,TR_S_1505_EOT_ITW,1887512,0,1900871,0,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2006,EMI_170A_170D_ITW,TR_S_1531_EOT_ITW,1887513,0,1900858,0,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2007,EMI_181A_181D_ITW,TR_S_ITW2_ITW,1890222,0,1903563,0,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2008,EMI_190A_190D_ITW,TR_S_1509_EOT_ITW,1890221,0,1903575,0,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2009,EMI_132_ITW,TR_S_ITW3_ITW,1879506,0,1896799,0,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2010,EMI_120A_120D_ITW,TR_S_ITW2_ITW,1862392,0,1875684,0,Down,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2011,EMI_130A_130D_ITW,TR_S_ITW3_ITW,1858746,0,1873033,0,Down,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2012,EMI_140A_140D_ITW,TR_S_EOT_1521_ITW,1857442,0,1871634,0,Down,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2015,EMI_110A_110E_GN,TR_S_673_EOT_GN,1257468,48,1275502,0,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2016,EMI_20A_20E_GN,TR_2A_CS_GN,1257517,-3,1275488,-5,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
