ID,Name,Start_Element_Type,Start_Element_ID,Stop_Element_Type,Stop_Element_ID
2,EZ_22_W_20_22_W1773B,Project Specific Boundary,PSB_W_20_22,Point,PT_W1773B_ZD
3,EZ_24_ZD_37_39_W_22_26,Secondary Detection Device Boundary,SDDB_ZD_37_39,Project Specific Boundary,PSB_W_22_26
4,EZ_26_W_22_26_W_26_28,Project Specific Boundary,PSB_W_22_26,Project Specific Boundary,PSB_W_26_28
5,EZ_28_W_26_28_W_28_30,Project Specific Boundary,PSB_W_26_28,Project Specific Boundary,PSB_W_28_30
6,EZ_30_W_28_30_HDS_3_5,Project Specific Boundary,PSB_W_28_30,Secondary Detection Device Boundary,SDDB_HDS_3_5
7,EZ_32_HDS_3_5_W1721B,Secondary Detection Device Boundary,SDDB_HDS_3_5,Point,PT_W1721B_HDS
9,EZ_40_W_30_40_HDS_7_9,Project Specific Boundary,PSB_W_30_40,Secondary Detection Device Boundary,SDDB_HDS_7_9
10,EZ_42_HDS_7_9_W_40_50,Secondary Detection Device Boundary,SDDB_HDS_7_9,Project Specific Boundary,PSB_W_40_50
11,EZ_50_W_40_50_HDS_11_13,Project Specific Boundary,PSB_W_40_50,Secondary Detection Device Boundary,SDDB_HDS_11_13
12,EZ_52_HDS_11_13_W1697,Secondary Detection Device Boundary,SDDB_HDS_11_13,Point,PT_W1697_HDS
13,EZ_54_W_50_54_W_54_60,Project Specific Boundary,PSB_W_50_54,Project Specific Boundary,PSB_W_54_60
14,EZ_60_W_54_60_VLN_1_3,Project Specific Boundary,PSB_W_54_60,Secondary Detection Device Boundary,SDDB_VLN_1_3
15,EZ_62_VLN_1_3_W_60_70,Secondary Detection Device Boundary,SDDB_VLN_1_3,Project Specific Boundary,PSB_W_60_70
16,EZ_70_W_60_70_PSB_5_3B,Project Specific Boundary,PSB_W_60_70,Project Specific Boundary,PSB_5_VLN_70
17,EZ_72_PSB_5_3B_VLN_5_7,Project Specific Boundary,PSB_5_VLN_70,Secondary Detection Device Boundary,SDDB_VLN_5_7
18,EZ_74_VLN_5_7_W_70_80,Secondary Detection Device Boundary,SDDB_VLN_5_7,Project Specific Boundary,PSB_W_70_80
19,EZ_76_W_70_80_W1651B,Project Specific Boundary,PSB_W_70_80,Point,PT_W1651B_VLN
20,EZ_80_VLN_7_9_PSB_9_3B,Secondary Detection Device Boundary,SDDB_VLN_7_9,Project Specific Boundary,PSB_9_VLN_80
21,EZ_82_PSB_9_3B_W_80_90,Project Specific Boundary,PSB_9_VLN_80,Project Specific Boundary,PSB_W_80_90
22,EZ_84_W_80_90_W1635B,Project Specific Boundary,PSB_W_80_90,Point,PT_W1635B_VLN
23,EZ_90_VLN_11_13_W_90_92,Secondary Detection Device Boundary,SDDB_VLN_11_13,Project Specific Boundary,PSB_W_90_92
24,EZ_92_W_90_92_VLN_13_EORIO,Project Specific Boundary,PSB_W_90_92,Secondary Detection Device Boundary,SDDB_VLN_13_EORIO
25,EZ_94_VLN_13_EORIO_W_92_96,Secondary Detection Device Boundary,SDDB_VLN_13_EORIO,Project Specific Boundary,PSB_W_92_96
26,EZ_96_W_92_96_W1615B,Project Specific Boundary,PSB_W_92_96,Point,PT_W1615B_ITW
27,EZ_98_ITW_1_3A_ITW_3C_5,Secondary Detection Device Boundary,SDDB_ITW_1_3A,Secondary Detection Device Boundary,SDDB_ITW_3C_5
29,EZ_23_ZD_24D_26_W1775B,Secondary Detection Device Boundary,SDDB_ZD_24D_26,Point,PT_W1775B_ZD
30,EZ_25_W_21_25_W_25_27,Project Specific Boundary,PSB_W_21_25,Project Specific Boundary,PSB_W_25_27
31,EZ_27_W_25_27_W_27_29,Project Specific Boundary,PSB_W_25_27,Project Specific Boundary,PSB_W_27_29
