ID,Name,Type,Route_ID_List,Logical_Track_ID_List,Logical_Kp_ListLogical_KpValue,Logical_Kp_ListLogical_KpCorrected_Trolley_Value,Basic_Multitrack_Zone_ID_List,ZC_Actuator_ID_List
1,GZ_RG_1_23_ZD,Generic,0,0,0,0,BMZ_RG_1_23,0
2,GZ_RG_1_25_ZD,Generic,0,0,0,0,BMZ_RG_1_25,0
3,GZ_RG_1_27_ZD,Generic,0,0,0,0,BMZ_RG_1_27,0
4,GZ_RG_1_29_HDS,Generic,0,0,0,0,BMZ_RG_1_29,0
5,GZ_RG_1_31_HDS,Generic,0,0,0,0,BMZ_RG_1_31,0
6,GZ_RG_1_33_HDS,Generic,0,0,0,0,BMZ_RG_1_33,0
7,GZ_RG_1_35_HDS,Generic,0,0,0,0,BMZ_RG_1_35,0
8,GZ_RG_1_41_HDS,Generic,0,0,0,0,BMZ_RG_1_41,0
9,GZ_RG_1_43_HDS,Generic,0,0,0,0,BMZ_RG_1_43,0
10,GZ_RG_1_51_HDS,Generic,0,0,0,0,BMZ_RG_1_51,0
11,GZ_RG_1_53_HDS,Generic,0,0,0,0,BMZ_RG_1_53,0
12,GZ_RG_1_55_HDS,Generic,0,0,0,0,BMZ_RG_1_55,0
13,GZ_RG_1_61_VLN,Generic,0,0,0,0,BMZ_RG_1_61,0
14,GZ_RG_1_63_VLN,Generic,0,0,0,0,BMZ_RG_1_63,0
15,GZ_RG_1_71_VLN,Generic,0,0,0,0,BMZ_RG_1_71,0
16,GZ_RG_1_73_VLN,Generic,0,0,0,0,BMZ_RG_1_73,0
17,GZ_RG_1_75_VLN,Generic,0,0,0,0,BMZ_RG_1_75,0
18,GZ_RG_1_81_VLN,Generic,0,0,0,0,BMZ_RG_1_81,0
19,GZ_RG_1_83_VLN,Generic,0,0,0,0,BMZ_RG_1_83,0
20,GZ_RG_1_85_VLN,Generic,0,0,0,0,BMZ_RG_1_85,0
21,GZ_RG_1_91_VLN,Generic,0,0,0,0,BMZ_RG_1_91,0
22,GZ_RG_1_93_VLN,Generic,0,0,0,0,BMZ_RG_1_93,0
23,GZ_RG_1_95_ITW,Generic,0,0,0,0,BMZ_RG_1_95,0
24,GZ_RG_1_97_ITW,Generic,0,0,0,0,BMZ_RG_1_97,0
55,GZ_RG_2_20_ZD,Generic,0,0,0,0,BMZ_RG_2_20,0
25,GZ_RG_2_22_ZD,Generic,0,0,0,0,BMZ_RG_2_22,0
26,GZ_RG_2_24_ZD,Generic,0,0,0,0,BMZ_RG_2_24,0
27,GZ_RG_2_26_ZD,Generic,0,0,0,0,BMZ_RG_2_26,0
28,GZ_RG_2_28_HDS,Generic,0,0,0,0,BMZ_RG_2_28,0
29,GZ_RG_2_30_HDS,Generic,0,0,0,0,BMZ_RG_2_30,0
