ID,Name,Basic_Multitrack_Zone_ID_List,Critical,Technical_Room_ID,Give_Take_Isolation_Zone_Characteristics_ID,SPKS_ID,Switch_Normal_ID_List,Switch_Reverse_ID_List,Signal_ID_List,Route_ID_List
1,GTIZ_RG_W_21,BMZ_RG_1_23;BMZ_RG_1_21,Not Critical,TCR_EZD_S_3B_R,GTIZC_WZ,0,0,0,SI_26_D_ZD;SI_22_U_ZD,R_35_ZD_28_ZD;R_35_ZD_28_ZD_C;R_39_ZD_24_ZD;R_39_ZD_24_ZD_C;R_133D_ZD_24D_ZD;R_142D_ZD_24D_ZD;R_152D_ZD_24D_ZD;R_161D_ZD_24D_ZD;R_133D_ZD_24D_ZD_C;R_142D_ZD_24D_ZD_C;R_152D_ZD_24D_ZD_C;R_161D_ZD_24D_ZD_C
2,GTIZ_RG_W_25,BMZ_RG_1_25,Not Critical,TCR_EZD_S_3B_R,GTIZC_WZ,0,0,0,SI_2_D_HDS,R_35_ZD_28_ZD;R_35_ZD_28_ZD_C;R_24_ZD_28_ZD;R_24_ZD_28_ZD_C
3,GTIZ_RG_W_27,BMZ_RG_1_27,Not Critical,TCR_EZD_S_3B_R,GTIZC_WZ,0,0,0,SI_2_D_HDS;SI_30_U_ZD,0
4,GTIZ_RG_W_29,BMZ_RG_1_29,Not Critical,TCR_HDS_S_3B_R,GTIZC_WZ,0,0,0,SI_2_D_HDS;SI_30_U_ZD,0
5,GTIZ_RG_W_31,BMZ_RG_1_31;BMZ_RG_1_33,Not Critical,TCR_HDS_S_3B_R,GTIZC_WZ,0,0,0,SI_6_D_HDS;SI_30_U_ZD,R_7_HDS_4_HDS;R_3_HDS_8_HDS;R_7_HDS_4_HDS_C;R_3_HDS_8_HDS_C
6,GTIZ_RG_W_41,BMZ_RG_1_35;BMZ_RG_1_41,Not Critical,TCR_HDS_S_3B_R,GTIZC_WZ,0,0,0,SI_10_D_HDS;SI_6_U_HDS,R_3_HDS_8_HDS;R_7_HDS_4_HDS;R_3_HDS_8_HDS_C;R_7_HDS_4_HDS_C
7,GTIZ_RG_W_51,BMZ_RG_1_43;BMZ_RG_1_51;BMZ_RG_1_53,Not Critical,TCR_HDS_S_3B_R,GTIZC_WZ,0,0,0,SI_10_U_HDS;SI_14_D_HDS,R_101A_HDS_12_HDS;R_101A_HDS_12_HDS_C
8,GTIZ_RG_W_61,BMZ_RG_1_61,Not Critical,TCR_VLN_S_3B_R,GTIZC_WZ,0,0,0,SI_18_U_HDS;SI_4_D_VLN,R_101D_HDS_2_VLN;R_101D_HDS_2_VLN_C
9,GTIZ_RG_W_71,BMZ_RG_1_63;BMZ_RG_1_71;BMZ_RG_1_73;BMZ_RG_1_75,Not Critical,TCR_VLN_S_3B_R,GTIZC_WZ,0,0,0,SI_4_U_VLN,R_9_VLN_6_VLN;R_9_VLN_6_VLN_C;R_10_VLN_6_VLN;R_10_VLN_6_VLN_C
10,GTIZ_RG_W_81,BMZ_RG_1_81;BMZ_RG_1_83,Not Critical,TCR_VLN_S_3B_R,GTIZC_WZ,0,0,0,SI_12_D_VLN,R_13_VLN_10_VLN;R_13_VLN_10_VLN_C;R_5_VLN_10_VLN;R_5_VLN_10_VLN_C;R_6_VLN_10_VLN;R_6_VLN_10_VLN_C
