ID,Name,Rack_1_Remote_IO_ID,Rack_2_Remote_IO_ID,Rack_3_Remote_IO_ID,Technical_Room_ID
1,CUB_ITW_1,RIO_CBI_ITW_1,RIO_CBI_ITW_1,RIO_CBI_ITW_1,TCR_ITW_S_3B_R
2,CUB_VLN_1,RIO_CBI_VLN_1,RIO_CBI_VLN_1,0,TCR_VLN_S_3B_R
3,CUB_HDS_1,RIO_CBI_HDS_1,RIO_CBI_HDS_1,0,TCR_HDS_S_3B_R
4,CUB_ZD_1,RIO_CBI_ZD_1,RIO_CBI_ZD_1,RIO_CBI_ZD_1,TCR_EZD_S_3B_R
5,CUB_LCM_1,RIO_CBI_LCM_1,0,0,TCR_LCM_M_0
6,CUB_ZD_2,RIO_CBI_ZD_2,RIO_CBI_ZD_2,RIO_CBI_ZD_2,TCR_SET_S_4A_R
7,CUB_ZD_3,RIO_CBI_ZD_3,RIO_CBI_ZD_3,0,TCR_ZD_M_4A_R
8,CUB_VZG_1,RIO_CBI_VZG_1,0,0,TCR_VZG_M_8_R
9,CUB_CSN_1,RIO_CBI_CSN_1,RIO_CBI_CSN_1,0,TCR_CSN_M_8_L
10,CUB_ND_1,RIO_CBI_ND_1,RIO_CBI_ND_1,0,TCR_ND_M_8_R
11,CUB_CS_1,RIO_CBI_CS_1,RIO_CBI_CS_1,0,TCR_CS_M_1A_L
12,CUB_WPP_1,RIO_CBI_WPP_1,RIO_CBI_WPP_1,0,TCR_WPP_M_1A_R
13,CUB_SLW_1,RIO_CBI_SLW_1,RIO_CBI_SLW_1,RIO_CBI_SLW_1,TCR_SLW_M_1A_L
14,CUB_LCM_2,RIO_CBI_LCM_2,RIO_CBI_LCM_2,RIO_CBI_LCM_2,TCR_LCM_M_1
15,CUB_MDW_1,RIO_CBI_MDW_1,RIO_CBI_MDW_1,RIO_CBI_MDW_1,TCR_MDW_M_1A_L
16,CUB_LCM_3,RIO_CBI_LCM_3,0,0,TCR_LCM_M_2
17,CUB_SVT_1,RIO_CBI_SVT_1,0,0,TCR_SVT_M_1A_L
18,CUB_BLW_1,RIO_CBI_BLW_1,RIO_CBI_BLW_1,0,TCR_BLW_M_1A_L
19,CUB_GN_1,RIO_CBI_GN_1,RIO_CBI_GN_1,0,TCR_GN_M_1A_L
20,CUB_DMZ_1,RIO_CBI_DMZ_1,RIO_CBI_DMZ_1,0,TCR_DMZ_M_5D_L
21,CUB_GPP_1,RIO_CBI_GPP_1,RIO_CBI_GPP_1,RIO_CBI_GPP_1,TCR_GPP_M_5E_L
22,CUB_ITW_2,RIO_CBI_ITW_2,0,0,TCR_ITW_S_3B_R
23,CUB_OAS_1,RIO_CBI_OAS_1,RIO_CBI_OAS_1,0,TCR_OAS_M_4A_L
24,CUB_ZD_4,RIO_CBI_ZD_4,RIO_CBI_ZD_4,0,TCR_EZDSH_S_3A_R
