ID,Object_Type,Element,Updated_By_Track_Survey
1,Beacons,Kp,
2,Platforms,Kp_Begin,
3,Platforms,Middle,
4,Platforms,Kp_End,
5,Points,Kp_Toe,
6,Points,Kp_Fouling_Point,
7,Secondary_Detection_Device_Boundarys,Kp,
8,Signals,Kp,
9,Tracks,Kp_Begin,
10,Tracks,Kp_End,
11,Change_Of_Direction_Areas,Kp_Begin,
12,Change_Of_Direction_Areas,Kp_End,
13,Grades,Kp_Begin,
14,PSRs,Kp,
15,Service_Stopping_Points,Kp,
16,SPKSs,Physical_Kp,
17,Stablings_Location,Kp_Begin,
18,Stablings_Location,Kp_End,
19,Tracks_Container,Kp_Begin,
20,Transfer Track,Kp_Begin,
21,Transfer Track,Kp_End,
22,Washing Zone,Kp_Begin,
23,Washing Zone,Kp_End,
24,Signals,Real_Install_Position_Kp,
25,Tracks,Kp_Begin_Loop,
26,Tracks,Kp_End_Loop,
27,Change_Of_Ends_Zones,Kp_Begin,
28,Change_Of_Ends_Zones,Kp_End,
29,Direction_Indicators,Kp,
30,Energy_Monitoring_Inhibition_Areas,Kp_Begin,
31,Energy_Monitoring_Inhibition_Areas,Kp_End,
32,GAMA_Zones,Logical_Kp_List,
33,Isolation_Areas,Kp_Begin,
34,Isolation_Areas,Kp_End,
35,Reverse_Movement_Zones,Kp_Begin,
36,Reverse_Movement_Zones,Kp_End,
37,Transfer_Tracks,Kp_Begin,
38,Transfer_Tracks,Kp_End,
39,Protected_Track_Sections,Kp_Begin,
40,Protected_Track_Sections,Kp_End,
41,Coupling_Uncoupling_Areas,Kp_Begin,
42,Coupling_Uncoupling_Areas,Kp_End,
43,Washing_Zones,Kp_Begin,
44,Washing_Zones,Kp_End,
45,Workshops,Kp_Begin,
46,Workshops,Kp_End,
47,Coasting_Zones,Kp_Begin,
48,Coasting_Zones,Kp_End,
49,Curvatures,Kp_Begin,
50,Curvatures,Kp_End,
51,Non_UEVOL_Function_Zones,Kp_Begin,
52,Non_UEVOL_Function_Zones,Kp_End,
53,Power_Supply_Zones,Kp_Begin,
54,Power_Supply_Zones,Kp_End,
55,Radio_Masking_Areas,Kp_Begin,
56,Radio_Masking_Areas,Kp_End,
57,Suggested_Action_To_Driver_Areas,Kp_Begin,
58,Suggested_Action_To_Driver_Areas,Kp_End,
59,Transmission_Gap_Zones,Kp_Begin,
60,Transmission_Gap_Zones,Kp_End,
61,ESA_Point_Activators,Logical_Kp_List,
62,ESPs,Logical_Kp_List,
63,SPKSs,Logical_Kp_List,
64,Project_Specific_Boundarys,Selection_Kp.Kp_value,
