ID,Name,Function,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value
3,NUF_HVW_3B_LU,Train_Door_Observation_System,TR_3B_ASW_ITW,1250397,0,1285497,0
4,NUF_HVW_4B_RD,Train_Door_Observation_System,TR_4B_ASW_ITW,1252547,0,1287647,0
5,NUF_HDS_3B_LU,Train_Door_Observation_System,TR_3B_ASW_ITW,1320025,0,1355125,0
6,NUF_HDS_4B_RD,Train_Door_Observation_System,TR_4B_ASW_ITW,1322121,0,1357221,0
7,NUF_LLL_3B_LU,Train_Door_Observation_System,TR_3B_ASW_ITW,1375466,0,1410566,0
8,NUF_LLL_4B_RD,Train_Door_Observation_System,TR_4B_ASW_ITW,1377520,0,1412620,0
9,NUF_PJW_3B_LU,Train_Door_Observation_System,TR_3B_ASW_ITW,1455470,0,1490570,0
10,NUF_PJW_4B_RD,Train_Door_Observation_System,TR_4B_ASW_ITW,1457505,0,1492605,0
11,NUF_JLS_3B_LU,Train_Door_Observation_System,TR_3B_ASW_ITW,1536002,0,1571102,0
12,NUF_JLS_4B_RD,Train_Door_Observation_System,TR_4B_ASW_ITW,1538205,0,1573305,0
13,NUF_VLN_3B_LU,Train_Door_Observation_System,TR_3B_ASW_ITW,1622902,0,1658002,0
14,NUF_VLN_4B_RD,Train_Door_Observation_System,TR_4B_ASW_ITW,1625028,0,1660128,0
15,NUF_STD_3B_LU,Train_Door_Observation_System,TR_3B_ASW_ITW,1727356,0,1762456,0
16,NUF_STD_4B_RD,Train_Door_Observation_System,TR_4B_ASW_ITW,1729423,0,1764523,0
17,NUF_ITW_3B_LU,Train_Door_Observation_System,TR_3B_ASW_ITW,1851267,0,1875526,0
18,NUF_ITW_4B_RD,Train_Door_Observation_System,TR_4B_ASW_ITW,1853899,0,1881987,0
19,NUF_ASW_3B_LU,Train_Door_Observation_System,TR_3B_ASW_ITW,1020501,0,1053636,0
20,NUF_ASW_4B_RD,Train_Door_Observation_System,TR_4B_ASW_ITW,1025969,0,1059682,0
1001,NUF_ND_7A_LU,Train_Door_Observation_System,TR_7A_ND_ZD,648369,0,683469,0
1002,NUF_ND_8_RD,Train_Door_Observation_System,TR_8_ND_ZD,648362,0,683462,0
1003,NUF_NDP_7A_LU,Train_Door_Observation_System,TR_7A_ND_ZD,823327,0,858427,0
1004,NUF_NDP_8_RD,Train_Door_Observation_System,TR_8_ND_ZD,823301,0,858401,0
1005,NUF_CSN_7A_RU,Train_Door_Observation_System,TR_7A_ND_ZD,988414,0,1023514,0
1006,NUF_CSN_8_LD,Train_Door_Observation_System,TR_8_ND_ZD,988507,0,1023607,0
1007,NUF_RKN_7A_LU,Train_Door_Observation_System,TR_7A_ND_ZD,1099452,0,1134552,0
1008,NUF_RKN_8_RD,Train_Door_Observation_System,TR_8_ND_ZD,1098983,4,1134083,4
1009,NUF_VZG_7A_LU,Train_Door_Observation_System,TR_7A_ND_ZD,1212763,0,1247863,0
1010,NUF_VZG_8_RD,Train_Door_Observation_System,TR_8_ND_ZD,1212213,4,1247313,4
1011,NUF_DPP_7A_LU,Train_Door_Observation_System,TR_7A_ND_ZD,1289447,0,1324547,0
1012,NUF_DPP_8_LD,Train_Door_Observation_System,TR_8_ND_ZD,1288689,4,1323789,4
1013,NUF_EPP_7A_RU,Train_Door_Observation_System,TR_7A_ND_ZD,1427624,0,1462724,0
1014,NUF_EPP_8_LD,Train_Door_Observation_System,TR_8_ND_ZD,1426290,4,1461390,4
1015,NUF_ZD_7A_RU,Train_Door_Observation_System,TR_7A_ND_ZD,1573049,0,1608149,0
1016,NUF_RAI_3A_LU,Train_Door_Observation_System,TR_3A_SLW_ZD,799660,0,834760,0
1017,NUF_RAI_4A_RD,Train_Door_Observation_System,TR_4A_SLW_ZD,800435,0,835535,0
2001,NUF_ZD_4A_RD,Train_Door_Observation_System,TR_4A_SLW_ZD,905209,0,940309,0
2002,NUF_ZD_3A_LU,Train_Door_Observation_System,TR_3A_SLW_ZD,905150,0,940250,0
2003,NUF_OAS_4A_LD,Train_Door_Observation_System,TR_4A_SLW_ZD,573132,0,608232,0
2004,NUF_OAS_3A_RU,Train_Door_Observation_System,TR_3A_SLW_ZD,572580,0,607680,0
2005,NUF_ZD_12_LD,Train_Door_Observation_System,TR_12_ZD_ZD,907953,0,943053,0
2006,NUF_OAS_6A_LU,Train_Door_Observation_System,TR_6A_MDW_OAS,640929,0,676029,0
2007,NUF_MDW_6C_LD,Train_Door_Observation_System,TR_6C_MDW_MDW,582539,0,608312,0
2008,NUF_MDW_5C_RU,Train_Door_Observation_System,TR_5C_MDW_MDW,583457,0,609222,0
2009,NUF_VPD_5D_LU,Train_Door_Observation_System,TR_5D_MDW_DMZ,158704,0,193804,0
2010,NUF_VPD_6D_RD,Train_Door_Observation_System,TR_6D_MDW_DMZ,156923,0,192023,0
2011,NUF_DMZ_5D_LU,Train_Door_Observation_System,TR_5D_MDW_DMZ,238207,0,273307,0
2012,NUF_DMZ_6D_RD,Train_Door_Observation_System,TR_6D_MDW_DMZ,236359,0,271459,0
2013,NUF_VSW_5E_LU,Train_Door_Observation_System,TR_5E_DMZ_GPP,773706,0,808806,0
2014,NUF_VSW_6E_RD,Train_Door_Observation_System,TR_6E_DMZ_GPP,774711,0,809811,0
2015,NUF_GZH_5E_LU,Train_Door_Observation_System,TR_5E_DMZ_GPP,834494,0,869594,0
2016,NUF_GZH_6E_RD,Train_Door_Observation_System,TR_6E_DMZ_GPP,835609,0,870709,0
2017,NUF_KEN_5E_LU,Train_Door_Observation_System,TR_5E_DMZ_GPP,925396,0,960496,0
2018,NUF_KEN_6E_RD,Train_Door_Observation_System,TR_6E_DMZ_GPP,926515,0,961615,0
2019,NUF_GPP_5E_LU,Train_Door_Observation_System,TR_5E_DMZ_GPP,995394,0,1030494,0
2020,NUF_GPP_6E_RD,Train_Door_Observation_System,TR_6E_DMZ_GPP,996524,0,1031624,0
