ID,Name,Basic_Multitrack_Zone_ID_List,Type
1001,NVSA_BMZ_NZ_1_21,BMZ_NZ_1_21,Radio spacing SCMA
1002,NVSA_BMZ_NZ_1_23,BMZ_NZ_1_23,Radio spacing SCMA
1003,NVSA_BMZ_NZ_1_31,BMZ_NZ_1_31,Radio spacing SCMA
1004,NVSA_BMZ_NZ_1_41,BMZ_NZ_1_41,Radio spacing SCMA
1005,NVSA_BMZ_NZ_1_43,BMZ_NZ_1_43,Radio spacing SCMA
1006,NVSA_BMZ_NZ_1_45,BMZ_NZ_1_45,Radio spacing SCMA
1007,NVSA_BMZ_NZ_1_51,BMZ_NZ_1_51,Radio spacing SCMA
1008,NVSA_BMZ_NZ_1_53,BMZ_NZ_1_53,Radio spacing SCMA
1009,NVSA_BMZ_NZ_1_55,BMZ_NZ_1_55,Radio spacing SCMA
1010,NVSA_BMZ_NZ_1_61,BMZ_NZ_1_61,Radio spacing SCMA
1011,NVSA_BMZ_NZ_1_63,BMZ_NZ_1_63,Radio spacing SCMA
1012,NVSA_BMZ_NZ_1_71,BMZ_NZ_1_71,Radio spacing SCMA
1013,NVSA_BMZ_NZ_1_73,BMZ_NZ_1_73,Radio spacing SCMA
1014,NVSA_BMZ_NZ_1_75,BMZ_NZ_1_75,Radio spacing SCMA
1015,NVSA_BMZ_NZ_1_81,BMZ_NZ_1_81,Radio spacing SCMA
1016,NVSA_BMZ_NZ_1_83,BMZ_NZ_1_83,Radio spacing SCMA
1017,NVSA_BMZ_NZ_2_20,BMZ_NZ_2_20,Radio spacing SCMA
1018,NVSA_BMZ_NZ_2_22,BMZ_NZ_2_22,Radio spacing SCMA
1019,NVSA_BMZ_NZ_2_24,BMZ_NZ_2_24,Radio spacing SCMA
1020,NVSA_BMZ_NZ_2_30,BMZ_NZ_2_30,Radio spacing SCMA
1021,NVSA_BMZ_NZ_2_40,BMZ_NZ_2_40,Radio spacing SCMA
1022,NVSA_BMZ_NZ_2_42,BMZ_NZ_2_42,Radio spacing SCMA
1023,NVSA_BMZ_NZ_2_44,BMZ_NZ_2_44,Radio spacing SCMA
1024,NVSA_BMZ_NZ_2_50,BMZ_NZ_2_50,Radio spacing SCMA
1025,NVSA_BMZ_NZ_2_52,BMZ_NZ_2_52,Radio spacing SCMA
1026,NVSA_BMZ_NZ_2_54,BMZ_NZ_2_54,Radio spacing SCMA
1027,NVSA_BMZ_NZ_2_60,BMZ_NZ_2_60,Radio spacing SCMA
1028,NVSA_BMZ_NZ_2_62,BMZ_NZ_2_62,Radio spacing SCMA
1029,NVSA_BMZ_NZ_2_70,BMZ_NZ_2_70,Radio spacing SCMA
1030,NVSA_BMZ_NZ_2_72,BMZ_NZ_2_72,Radio spacing SCMA
1031,NVSA_BMZ_NZ_2_74,BMZ_NZ_2_74,Radio spacing SCMA
1032,NVSA_BMZ_NZ_2_80,BMZ_NZ_2_80,Radio spacing SCMA
1033,NVSA_BMZ_NZ_2_82,BMZ_NZ_2_82,Radio spacing SCMA
2001,NVSA_BMZ_CT_1_11,BMZ_CT_1_11,Radio spacing SCMA
2002,NVSA_BMZ_CT_1_13,BMZ_CT_1_13,Radio spacing SCMA
2003,NVSA_BMZ_CT_1_15,BMZ_CT_1_15,Radio spacing SCMA
2004,NVSA_BMZ_CT_1_21,BMZ_CT_1_21,Radio spacing SCMA
2005,NVSA_BMZ_CT_1_23,BMZ_CT_1_23,Radio spacing SCMA
2006,NVSA_BMZ_CT_1_31,BMZ_CT_1_31,Radio spacing SCMA
2007,NVSA_BMZ_CT_1_33,BMZ_CT_1_33,Radio spacing SCMA
2008,NVSA_BMZ_CT_1_35,BMZ_CT_1_35,Radio spacing SCMA
2009,NVSA_BMZ_CT_1_41,BMZ_CT_1_41,Radio spacing SCMA
2010,NVSA_BMZ_CT_1_43,BMZ_CT_1_43,Radio spacing SCMA
2011,NVSA_BMZ_CT_1_45,BMZ_CT_1_45,Radio spacing SCMA
2012,NVSA_BMZ_CT_1_47,BMZ_CT_1_47,Radio spacing SCMA
2013,NVSA_BMZ_CT_1_51,BMZ_CT_1_51,Radio spacing SCMA
2014,NVSA_BMZ_CT_1_53,BMZ_CT_1_53,Radio spacing SCMA
2015,NVSA_BMZ_CT_2_10,BMZ_CT_2_10,Radio spacing SCMA
2016,NVSA_BMZ_CT_2_12,BMZ_CT_2_12,Radio spacing SCMA
2017,NVSA_BMZ_CT_2_14,BMZ_CT_2_14,Radio spacing SCMA
2018,NVSA_BMZ_CT_2_20,BMZ_CT_2_20,Radio spacing SCMA
2019,NVSA_BMZ_CT_2_22,BMZ_CT_2_22,Radio spacing SCMA
2020,NVSA_BMZ_CT_2_30,BMZ_CT_2_30,Radio spacing SCMA
2021,NVSA_BMZ_CT_2_32,BMZ_CT_2_32,Radio spacing SCMA
2022,NVSA_BMZ_CT_2_40,BMZ_CT_2_40,Radio spacing SCMA
2023,NVSA_BMZ_CT_2_42,BMZ_CT_2_42,Radio spacing SCMA
2024,NVSA_BMZ_CT_2_44,BMZ_CT_2_44,Radio spacing SCMA
2025,NVSA_BMZ_CT_2_46,BMZ_CT_2_46,Radio spacing SCMA
2026,NVSA_BMZ_CT_2_50,BMZ_CT_2_50,Radio spacing SCMA
2027,NVSA_BMZ_CT_2_52,BMZ_CT_2_52,Radio spacing SCMA
2028,NVSA_BMZ_CT_3_37,BMZ_CT_3_37,Radio spacing SCMA
