ID,Name,Safety_Derogation,Overlap_Type,Overlap_MASC,For_CBTC_Train,Response_To_Restrictive_Binary_Delay_BM,ATC_Overlap_Timer,Additional_CBI_Time,D_Overlap,D_Overlap_CBI,Strike_In_Distance,Overlap_Switch_ID_List,Overlap_Release_BM_SDD_ID_List,Berth_Distance,Berth_Route_ID_List
1,O_SI_100_D_HDS,true,CBI Critical Normal,true,true,0,82000,117000,4686,4686,240,SW_HDS_1695,0,10645,R_1_VLN_101A_HDS;R_2_VLN_101A_HDS
2,O_SI_102_U_HDS,true,CBI Critical Normal,true,true,0,82000,117000,5132,5132,234,SW_HDS_1687,0,10724,R_11_HDS_101D_HDS;R_12_HDS_101D_HDS
3,O_SI_5_U_ITW,true,Not Interlocked,true,true,0,82000,117000,5360,0,0,0,0,0,0
4,O_SI_6_U_ITW,true,Not Interlocked,true,true,0,82000,117000,5360,0,0,0,0,0,0
5,O_SI_27_D_ZD,true,Not Interlocked,false,true,0,82000,117000,2657,0,0,0,0,0,0
6,O_SI_22_D_ZD,true,Not Interlocked,false,true,0,82000,117000,2657,0,0,0,0,0,0
9,O_SI_3_D_VLN,true,Not Interlocked,false,true,0,82000,117000,7200,0,0,0,0,0,0
10,O_SI_4_D_VLN,true,Not Interlocked,false,true,0,82000,117000,7200,0,0,0,0,0,0
11,O_SI_3_U_VLN,true,Not Interlocked,false,true,0,82000,117000,7200,0,0,0,0,0,0
12,O_SI_4_U_VLN,true,Not Interlocked,false,true,0,82000,117000,7200,0,0,0,0,0,0
13,O_SI_9_D_HDS,true,Not Interlocked,false,true,0,82000,117000,7200,0,0,0,0,0,0
14,O_SI_10_D_HDS,true,Not Interlocked,false,true,0,82000,117000,7200,0,0,0,0,0,0
15,O_SI_9_U_HDS,true,Not Interlocked,false,true,0,82000,117000,7200,0,0,0,0,0,0
16,O_SI_10_U_HDS,true,Not Interlocked,false,true,0,82000,117000,7200,0,0,0,0,0,0
17,O_SI_1_D_HDS,true,Not Interlocked,false,true,0,82000,117000,7200,0,0,0,0,0,0
18,O_SI_2_D_HDS,true,Not Interlocked,false,true,0,82000,117000,7200,0,0,0,0,0,0
19,O_SI_1_D_ITW,true,Not Interlocked,false,true,0,82000,117000,7200,0,0,0,0,0,0
