ID,Name,Track_ID,PSR_Type,Direction,PSR_Speed,KpValue,KpCorrected_Trolley_Value,Train_Formation_Characteristics_ID_List
1,PSR_3B_ASW_ITW_1_SU,TR_3B_ASW_ITW,Safety,Up,77,1020501,0,0
2,PSR_3B_ASW_ITW_1_FU,TR_3B_ASW_ITW,Functional,Up,70,1020501,0,0
47,PSR_3B_ASW_ITW_2_SU,TR_3B_ASW_ITW,Safety,Up,55,1847442,0,0
48,PSR_3B_ASW_ITW_2_FU,TR_3B_ASW_ITW,Functional,Up,50,1847442,0,0
49,PSR_3B_ASW_ITW_1_SD,TR_3B_ASW_ITW,Safety,Down,27,1875526,0,0
50,PSR_3B_ASW_ITW_1_FD,TR_3B_ASW_ITW,Functional,Down,25,1875526,0,0
51,PSR_3B_ASW_ITW_2_SD,TR_3B_ASW_ITW,Safety,Down,55,1875404,0,0
52,PSR_3B_ASW_ITW_2_FD,TR_3B_ASW_ITW,Functional,Down,50,1875404,0,0
253,PSR_3B_ASW_ITW_3_SU,TR_3B_ASW_ITW,Safety,Up,27,1875404,0,0
254,PSR_3B_ASW_ITW_3_FU,TR_3B_ASW_ITW,Functional,Up,25,1875404,0,0
255,PSR_3B_ASW_ITW_3_SD,TR_3B_ASW_ITW,Safety,Down,77,1847442,0,0
256,PSR_3B_ASW_ITW_3_FD,TR_3B_ASW_ITW,Functional,Down,70,1847442,0,0
97,PSR_4B_ASW_ITW_1_SU,TR_4B_ASW_ITW,Safety,Up,77,1025964,5,0
98,PSR_4B_ASW_ITW_1_FU,TR_4B_ASW_ITW,Functional,Up,70,1025964,5,0
129,PSR_4B_ASW_ITW_2_SU,TR_4B_ASW_ITW,Safety,Up,55,1857007,0,0
130,PSR_4B_ASW_ITW_2_FU,TR_4B_ASW_ITW,Functional,Up,50,1857007,0,0
131,PSR_4B_ASW_ITW_3_SU,TR_4B_ASW_ITW,Safety,Up,77,1863795,0,0
132,PSR_4B_ASW_ITW_3_FU,TR_4B_ASW_ITW,Functional,Up,70,1863795,0,0
133,PSR_4B_ASW_ITW_1_SD,TR_4B_ASW_ITW,Safety,Down,27,1880000,2010,0
134,PSR_4B_ASW_ITW_1_FD,TR_4B_ASW_ITW,Functional,Down,25,1880000,2010,0
135,PSR_4B_ASW_ITW_2_SD,TR_4B_ASW_ITW,Safety,Down,77,1877893,0,0
136,PSR_4B_ASW_ITW_2_FD,TR_4B_ASW_ITW,Functional,Down,70,1877893,0,0
137,PSR_4B_ASW_ITW_3_SD,TR_4B_ASW_ITW,Safety,Down,55,1863795,0,0
138,PSR_4B_ASW_ITW_3_FD,TR_4B_ASW_ITW,Functional,Down,50,1863795,0,0
257,PSR_4B_ASW_ITW_4_SU,TR_4B_ASW_ITW,Safety,Up,27,1877893,0,0
258,PSR_4B_ASW_ITW_4_FU,TR_4B_ASW_ITW,Functional,Up,25,1877893,0,0
259,PSR_4B_ASW_ITW_4_SD,TR_4B_ASW_ITW,Safety,Down,77,1857007,0,0
260,PSR_4B_ASW_ITW_4_FD,TR_4B_ASW_ITW,Functional,Down,70,1857007,0,0
169,PSR_1615_ITW_1_SU,TR_I_1615_ITW,Safety,Up,77,0,0,0
170,PSR_1615_ITW_1_FU,TR_I_1615_ITW,Functional,Up,70,0,0,0
173,PSR_1615_ITW_1_SD,TR_I_1615_ITW,Safety,Down,77,13577,0,0
174,PSR_1615_ITW_1_FD,TR_I_1615_ITW,Functional,Down,70,13577,0,0
177,PSR_1617_ITW_1_SU,TR_I_1617_ITW,Safety,Up,44,0,0,0
178,PSR_1617_ITW_1_FU,TR_I_1617_ITW,Functional,Up,40,0,0,0
179,PSR_1617_ITW_1_SD,TR_I_1617_ITW,Safety,Down,44,5581,0,0
180,PSR_1617_ITW_1_FD,TR_I_1617_ITW,Functional,Down,40,5581,0,0
181,PSR_1637_VLN_1_SU,TR_I_1637_VLN,Safety,Up,44,0,0,0
182,PSR_1637_VLN_1_FU,TR_I_1637_VLN,Functional,Up,40,0,0,0
183,PSR_1637_VLN_1_SD,TR_I_1637_VLN,Safety,Down,44,5531,0,0
184,PSR_1637_VLN_1_FD,TR_I_1637_VLN,Functional,Down,40,5531,0,0
185,PSR_1635_VLN_1_SU,TR_I_1635_VLN,Safety,Up,44,0,0,0
186,PSR_1635_VLN_1_FU,TR_I_1635_VLN,Functional,Up,40,0,0,0
187,PSR_1635_VLN_1_SD,TR_I_1635_VLN,Safety,Down,44,5530,0,0
188,PSR_1635_VLN_1_FD,TR_I_1635_VLN,Functional,Down,40,5530,0,0
189,PSR_1651_VLN_1_SU,TR_I_1651_VLN,Safety,Up,44,0,0,0
190,PSR_1651_VLN_1_FU,TR_I_1651_VLN,Functional,Up,40,0,0,0
191,PSR_1651_VLN_1_SD,TR_I_1651_VLN,Safety,Down,44,5340,0,0
192,PSR_1651_VLN_1_FD,TR_I_1651_VLN,Functional,Down,40,5340,0,0
193,PSR_1653_VLN_1_SU,TR_I_1653_VLN,Safety,Up,44,0,0,0
194,PSR_1653_VLN_1_FU,TR_I_1653_VLN,Functional,Up,40,0,0,0
195,PSR_1653_VLN_1_SD,TR_I_1653_VLN,Safety,Down,44,5339,0,0
196,PSR_1653_VLN_1_FD,TR_I_1653_VLN,Functional,Down,40,5339,0,0
197,PSR_1687_HDS_1_SU,TR_I_1687_HDS,Safety,Up,27,0,0,0
198,PSR_1687_HDS_1_FU,TR_I_1687_HDS,Functional,Up,25,0,0,0
201,PSR_1687_HDS_1_SD,TR_I_1687_HDS,Safety,Down,27,8719,0,0
202,PSR_1687_HDS_1_FD,TR_I_1687_HDS,Functional,Down,25,8719,0,0
205,PSR_1695_HDS_1_SU,TR_I_1695_HDS,Safety,Up,27,0,0,0
206,PSR_1695_HDS_1_FU,TR_I_1695_HDS,Functional,Up,25,0,0,0
207,PSR_1695_HDS_1_SD,TR_I_1695_HDS,Safety,Down,27,7960,0,0
208,PSR_1695_HDS_1_FD,TR_I_1695_HDS,Functional,Down,25,7960,0,0
209,PSR_1697_HDS_1_SU,TR_S_1697_HDS,Safety,Up,27,1412129,0,0
210,PSR_1697_HDS_1_FU,TR_S_1697_HDS,Functional,Up,25,1412129,0,0
211,PSR_1697_HDS_1_SD,TR_S_1697_HDS,Safety,Down,27,1444947,0,0
212,PSR_1697_HDS_1_FD,TR_S_1697_HDS,Functional,Down,25,1444947,0,0
213,PSR_1719_HDS_1_SU,TR_I_1719_HDS,Safety,Up,44,0,0,0
214,PSR_1719_HDS_1_FU,TR_I_1719_HDS,Functional,Up,40,0,0,0
215,PSR_1719_HDS_1_SD,TR_I_1719_HDS,Safety,Down,44,5342,0,0
216,PSR_1719_HDS_1_FD,TR_I_1719_HDS,Functional,Down,40,5342,0,0
217,PSR_1721_HDS_1_SU,TR_I_1721_HDS,Safety,Up,44,0,0,0
218,PSR_1721_HDS_1_FU,TR_I_1721_HDS,Functional,Up,40,0,0,0
219,PSR_1721_HDS_1_SD,TR_I_1721_HDS,Safety,Down,44,5340,0,0
220,PSR_1721_HDS_1_FD,TR_I_1721_HDS,Functional,Down,40,5340,0,0
221,PSR_1773_ZD_1_SU,TR_I_1773_ZD,Safety,Up,44,0,0,0
222,PSR_1773_ZD_1_FU,TR_I_1773_ZD,Functional,Up,40,0,0,0
223,PSR_1773_ZD_1_SD,TR_I_1773_ZD,Safety,Down,44,5337,0,0
224,PSR_1773_ZD_1_FD,TR_I_1773_ZD,Functional,Down,40,5337,0,0
225,PSR_1775_ZD_1_SU,TR_I_1775_ZD,Safety,Up,44,0,0,0
226,PSR_1775_ZD_1_FU,TR_I_1775_ZD,Functional,Up,40,0,0,0
227,PSR_1775_ZD_1_SD,TR_I_1775_ZD,Safety,Down,44,5338,0,0
228,PSR_1775_ZD_1_FD,TR_I_1775_ZD,Functional,Down,40,5338,0,0
229,PSR_1921_ZD_1_SU,TR_S_1921_ZD,Safety,Up,27,972804,0,0
230,PSR_1921_ZD_1_FU,TR_S_1921_ZD,Functional,Up,25,972804,0,0
231,PSR_1921_ZD_1_SD,TR_S_1921_ZD,Safety,Down,27,1026985,0,0
232,PSR_1921_ZD_1_FD,TR_S_1921_ZD,Functional,Down,25,1026985,0,0
233,PSR_1915_ZD_1_SU,TR_S_1915_ZD,Safety,Up,27,927267,0,0
234,PSR_1915_ZD_1_FU,TR_S_1915_ZD,Functional,Up,25,927267,0,0
235,PSR_1915_ZD_1_SD,TR_S_1915_ZD,Safety,Down,27,981991,0,0
236,PSR_1915_ZD_1_FD,TR_S_1915_ZD,Functional,Down,25,981991,0,0
237,PSR_1529_ITW_1_SU,TR_S_EOT_1529_ITW,Safety,Up,27,1860477,0,0
238,PSR_1529_ITW_1_FU,TR_S_EOT_1529_ITW,Functional,Up,25,1860477,0,0
239,PSR_1529_ITW_1_SD,TR_S_EOT_1529_ITW,Safety,Down,27,1878449,0,0
240,PSR_1529_ITW_1_FD,TR_S_EOT_1529_ITW,Functional,Down,25,1878449,0,0
241,PSR_3C_ITW_ITW_1_SU,TR_3C_ITW_ITW,Safety,Up,27,1875525,0,0
242,PSR_3C_ITW_ITW_1_FU,TR_3C_ITW_ITW,Functional,Up,25,1875525,0,0
243,PSR_3C_ITW_ITW_1_SD,TR_3C_ITW_ITW,Safety,Down,27,1900775,0,0
244,PSR_3C_ITW_ITW_1_FD,TR_3C_ITW_ITW,Functional,Down,25,1900775,0,0
245,PSR_1531_ITW_1_SU,TR_S_1531_EOT_ITW,Safety,Up,27,1878449,0,0
246,PSR_1531_ITW_1_FU,TR_S_1531_EOT_ITW,Functional,Up,25,1878449,0,0
247,PSR_1531_ITW_1_SD,TR_S_1531_EOT_ITW,Safety,Down,27,1900858,0,0
248,PSR_1531_ITW_1_FD,TR_S_1531_EOT_ITW,Functional,Down,25,1900858,0,0
249,PSR_1505_ITW_1_SU,TR_S_1505_EOT_ITW,Safety,Up,27,1884283,0,0
250,PSR_1505_ITW_1_FU,TR_S_1505_EOT_ITW,Functional,Up,25,1884283,0,0
251,PSR_1505_ITW_1_SD,TR_S_1505_EOT_ITW,Safety,Down,27,1900871,0,0
252,PSR_1505_ITW_1_FD,TR_S_1505_EOT_ITW,Functional,Down,25,1900871,0,0
261,PSR_1509_ITW_FU,TR_S_1509_EOT_ITW,Functional,Up,25,1886988,0,0
262,PSR_1509_ITW_SU,TR_S_1509_EOT_ITW,Safety,Up,27,1886988,0,0
263,PSR_1509_ITW_FD,TR_S_1509_EOT_ITW,Functional,Down,25,1903575,0,0
264,PSR_1509_ITW_SD,TR_S_1509_EOT_ITW,Safety,Down,27,1903575,0,0
265,PSR_1521_ITW_FU,TR_S_EOT_1521_ITW,Functional,Up,25,1857442,0,0
266,PSR_1521_ITW_SU,TR_S_EOT_1521_ITW,Safety,Up,27,1857442,0,0
267,PSR_1521_ITW_FD,TR_S_EOT_1521_ITW,Functional,Down,25,1876207,0,0
268,PSR_1521_ITW_SD,TR_S_EOT_1521_ITW,Safety,Down,27,1876207,0,0
269,PSR_1501_ITW_1_SU,TR_I_1501_ITW,Functional,Up,25,0,0,0
270,PSR_1501_ITW_1_FU,TR_I_1501_ITW,Safety,Up,27,0,0,0
271,PSR_1501_ITW_1_SD,TR_I_1501_ITW,Functional,Down,25,3034,0,0
272,PSR_1501_ITW_1_FD,TR_I_1501_ITW,Safety,Down,27,3034,0,0
273,PSR_1511_ITW_1_SU,TR_I_1511_ITW,Functional,Up,25,0,0,0
274,PSR_1511_ITW_1_FU,TR_I_1511_ITW,Safety,Up,27,0,0,0
275,PSR_1511_ITW_1_SD,TR_I_1511_ITW,Functional,Down,25,3498,0,0
276,PSR_1511_ITW_1_FD,TR_I_1511_ITW,Safety,Down,27,3498,0,0
277,PSR_1513_ITW_1_SU,TR_I_1513_ITW,Functional,Up,25,0,0,0
278,PSR_1513_ITW_1_FU,TR_I_1513_ITW,Safety,Up,27,0,0,0
279,PSR_1513_ITW_1_SD,TR_I_1513_ITW,Functional,Down,25,3498,0,0
280,PSR_1513_ITW_1_FD,TR_I_1513_ITW,Safety,Down,27,3498,0,0
281,PSR_1523_ITW_1_SU,TR_I_1523_ITW,Functional,Up,25,0,0,0
282,PSR_1523_ITW_1_FU,TR_I_1523_ITW,Safety,Up,27,0,0,0
283,PSR_1523_ITW_1_SD,TR_I_1523_ITW,Functional,Down,25,3368,0,0
284,PSR_1523_ITW_1_FD,TR_I_1523_ITW,Safety,Down,27,3368,0,0
285,PSR_ITW1_ITW_FU,TR_S_ITW1_ITW,Functional,Up,25,1851648,0,0
286,PSR_ITW1_ITW_SU,TR_S_ITW1_ITW,Safety,Up,27,1851648,0,0
287,PSR_ITW1_ITW_FD,TR_S_ITW1_ITW,Functional,Down,25,1899600,0,0
288,PSR_ITW1_ITW_SD,TR_S_ITW1_ITW,Safety,Down,27,1899600,0,0
289,PSR_ITW2_ITW_FU,TR_S_ITW2_ITW,Functional,Up,25,1862392,0,0
290,PSR_ITW2_ITW_SU,TR_S_ITW2_ITW,Safety,Up,27,1862392,0,0
291,PSR_ITW2_ITW_FD,TR_S_ITW2_ITW,Functional,Down,25,1903563,0,0
292,PSR_ITW2_ITW_SD,TR_S_ITW2_ITW,Safety,Down,27,1903563,0,0
293,PSR_ITW3_ITW_FU,TR_S_ITW3_ITW,Functional,Up,25,1858746,0,0
294,PSR_ITW3_ITW_SU,TR_S_ITW3_ITW,Safety,Up,27,1858746,0,0
295,PSR_ITW3_ITW_FD,TR_S_ITW3_ITW,Functional,Down,25,1896799,0,0
296,PSR_ITW3_ITW_SD,TR_S_ITW3_ITW,Safety,Down,27,1896799,0,0
1001,PSR_3201_ND_ZD_FU,TR_I_3201_ND,Functional,Up,25,0,-600,0
1002,PSR_3201_ND_ZD_SU,TR_I_3201_ND,Safety,Up,27,0,-600,0
1005,PSR_3203_ND_ZD_FU,TR_I_3203_ND,Functional,Up,25,0,-600,0
1006,PSR_3203_ND_ZD_SU,TR_I_3203_ND,Safety,Up,27,0,-600,0
1053,PSR_3223_ND_ZD_1_FU,TR_I_3223_ND,Functional,Up,70,0,0,0
1054,PSR_3223_ND_ZD_1_SU,TR_I_3223_ND,Safety,Up,77,0,0,0
1105,PSR_3225_ND_ZD_1_FU,TR_I_3225_ND,Functional,Up,70,0,0,0
1106,PSR_3225_ND_ZD_1_SU,TR_I_3225_ND,Safety,Up,77,0,0,0
1203,PSR_3255_ND_ZD_1_FU,TR_I_3255_CSN,Functional,Up,40,0,0,0
1204,PSR_3255_ND_ZD_1_SU,TR_I_3255_CSN,Safety,Up,44,0,0,0
