ID,Left_Platform_ID,Right_Platform_ID,Passengers_Alighting_Side,Passengers_Boarding_Side,Alighting_Duration,Boarding_Delay
1,PF_ASW_3B_LU,0,Left,Left,20000,0
2,PF_HVW_3B_LU,0,Left,Left,20000,0
3,PF_HDS_3B_LU,0,Left,Left,20000,0
4,PF_LLL_3B_LU,0,Left,Left,20000,0
5,PF_PJW_3B_LU,0,Left,Left,20000,0
6,PF_JLS_3B_LU,0,Left,Left,20000,0
7,PF_VLN_3B_LU,0,Left,Left,20000,0
8,PF_STD_3B_LU,0,Left,Left,20000,0
9,PF_ITW_3B_LU,0,Left,Left,60000,0
10,0,PF_ASW_4B_RD,Right,Right,20000,0
11,0,PF_HVW_4B_RD,Right,Right,20000,0
12,0,PF_HDS_4B_RD,Right,Right,20000,0
13,0,PF_LLL_4B_RD,Right,Right,20000,0
14,0,PF_PJW_4B_RD,Right,Right,20000,0
15,0,PF_JLS_4B_RD,Right,Right,20000,0
16,0,PF_VLN_4B_RD,Right,Right,20000,0
17,0,PF_STD_4B_RD,Right,Right,20000,0
18,0,PF_ITW_4B_RD,Right,Right,60000,0
1001,PF_ND_7A_LU,0,Left,Left,60000,0
1002,0,PF_ND_8_RD,Right,Right,60000,0
1003,PF_NDP_7A_LU,0,Left,Left,20000,0
1004,0,PF_NDP_8_RD,Right,Right,20000,0
1005,0,PF_CSN_7A_RU,Right,Right,20000,0
1006,PF_CSN_8_LD,0,Left,Left,20000,0
1007,PF_RKN_7A_LU,0,Left,Left,20000,0
1008,0,PF_RKN_8_RD,Right,Right,20000,0
1009,PF_VZG_7A_LU,0,Left,Left,20000,0
1010,0,PF_VZG_8_RD,Right,Right,20000,0
1011,PF_DPP_7A_LU,0,Left,Left,20000,0
1012,PF_DPP_8_LD,0,Left,Left,20000,0
1013,0,PF_EPP_7A_RU,Right,Right,20000,0
1014,PF_EPP_8_LD,0,Left,Left,20000,0
1015,0,PF_ZD_7A_RU,Right,Right,60000,0
2001,PF_CS_1A_LU,0,Left,Left,60000,0
2002,0,PF_CS_2A_RD,Right,Right,60000,0
2003,PF_NMT_1A_LU,0,Left,Left,20000,0
2004,0,PF_NMT_2A_RD,Right,Right,20000,0
2005,PF_WLP_1A_LU,0,Left,Left,20000,0
2006,0,PF_WLP_2A_RD,Right,Right,20000,0
2007,PF_WPP_2A_LD,0,Left,Left,20000,0
2008,0,PF_WPP_1A_RU,Right,Right,20000,0
2009,PF_WBS_1A_LU,0,Left,Left,20000,0
2010,0,PF_WBS_2A_RD,Right,Right,20000,0
2011,PF_ASA_2A_LD,0,Left,Left,20000,0
2012,0,PF_ASA_1A_RU,Right,Right,20000,0
2013,PF_SLW_1A_LU,0,Left,Left,20000,0
2014,0,PF_SLW_2A_RD,Right,Right,20000,0
2015,PF_SLW_4A_LD,0,Left,Left,20000,0
2016,0,PF_SLW_3A_RU,Right,Right,20000,0
2017,PF_MDW_6C_LD,0,Left,Left,20000,0
2018,0,PF_MDW_5C_RU,Right,Right,20000,0
2019,PF_MDW_1A_LU,0,Left,Left,20000,0
2020,0,PF_MDW_2A_RD,Right,Right,20000,0
2021,PF_DVD_2A_LD,0,Left,Left,20000,0
2022,0,PF_DVD_1A_RU,Right,Right,20000,0
2023,PF_SVT_1A_LU,0,Left,Left,20000,0
2024,0,PF_SVT_2A_RD,Right,Right,20000,0
2025,PF_BMR_1A_LU,0,Left,Left,20000,0
2026,0,PF_BMR_2A_RD,Right,Right,20000,0
2027,PF_BLW_1A_LU,0,Left,Left,20000,0
2028,0,PF_BLW_2A_RD,Right,Right,20000,0
2029,PF_HLD_1A_LU,0,Left,Left,20000,0
2030,0,PF_HLD_2A_RD,Right,Right,20000,0
2031,PF_RGB_1A_LU,0,Left,Left,20000,0
2032,0,PF_RGB_2A_RD,Right,Right,20000,0
2033,PF_GN_1A_LU,0,Left,Left,60000,0
2034,0,PF_GN_2A_RD,Right,Right,60000,0
2035,PF_VPD_5D_LU,0,Left,Left,20000,0
2036,0,PF_VPD_6D_RD,Right,Right,20000,0
2037,PF_DMZ_5D_LU,0,Left,Left,20000,0
2038,0,PF_DMZ_6D_RD,Right,Right,20000,0
2039,PF_VSW_5E_LU,0,Left,Left,20000,0
2040,0,PF_VSW_6E_RD,Right,Right,20000,0
2041,PF_GZH_5E_LU,0,Left,Left,20000,0
2042,0,PF_GZH_6E_RD,Right,Right,20000,0
2043,PF_KEN_5E_LU,0,Left,Left,20000,0
2044,0,PF_KEN_6E_RD,Right,Right,20000,0
2045,PF_GPP_5E_LU,0,Left,Left,60000,0
2046,0,PF_GPP_6E_RD,Right,Right,60000,0
2047,PF_OAS_6A_LU,0,Left,Left,20000,0
2048,PF_OAS_4A_LD,0,Left,Left,20000,0
2049,PF_RAI_3A_LU,0,Left,Left,20000,0
2050,PF_ZD_3A_LU,0,Left,Left,20000,0
2051,PF_ZD_12_LD,0,Left,Left,20000,0
2052,0,PF_OAS_3A_RU,Right,Right,20000,0
2053,0,PF_RAI_4A_RD,Right,Right,20000,0
2054,0,PF_ZD_4A_RD,Right,Right,20000,0
