ID,Name,Track_ID,Platform_Type,Stabling_Location_ID,PSD_ID,ESP_ID_List,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Platform_Length,Max_Alignment_Distance,C_Dock_Prec_Dist_Max,Skip_Speed,C_Late_Change_Distance,SSP_ID_List,Secondary_SSP_ID_List,Pre_Platform_SSP_ID_List,Default_Stop
1,PF_ASW_3B_LU,TR_3B_ASW_ITW,Single Left Docking,0,0,0,1029722,0,1042450,0,12728,0,0,30,51489,SSP_ASW_33_D_1;SSP_ASW_33_D_2;SSP_ASW_31_D_3;SSP_ASW_31_D_4;SSP_ASW_33_U_1;SSP_ASW_33_U_2;SSP_ASW_35_U_3;SSP_ASW_35_U_4,0,SSP_PP_ASW_29_U;SSP_PP_ASW_35_D,true
2,PF_ASW_4B_RD,TR_4B_ASW_ITW,Single Right Docking,0,0,0,1035773,0,1048491,0,12718,0,0,30,52078,SSP_ASW_24_U_1;SSP_ASW_24_U_2;SSP_ASW_24_U_3;SSP_ASW_24_U_4;SSP_ASW_24_D_1;SSP_ASW_24_D_2;SSP_ASW_24_D_3;SSP_ASW_24_D_4,0,SSP_PP_ASW_24A_U;SSP_PP_ASW_24D_D,true
3,PF_HVW_3B_LU,TR_3B_ASW_ITW,Single Left Docking,0,0,0,1261277,0,1274616,0,13339,0,0,30,67215,SSP_HVW_3_U_1;SSP_HVW_3_U_2;SSP_HVW_3_U_3;SSP_HVW_3_U_4;SSP_HVW_3_D_1;SSP_HVW_3_D_2;SSP_HVW_3_D_3;SSP_HVW_3_D_4,0,SSP_PP_HDS_3_U;SSP_PP_HDS_3_D,true
4,PF_HVW_4B_RD,TR_4B_ASW_ITW,Single Right Docking,0,0,0,1263437,0,1276756,0,13319,0,0,30,61480,SSP_HVW_4_U_1;SSP_HVW_4_U_2;SSP_HVW_4_U_3;SSP_HVW_4_U_4;SSP_HVW_4_D_1;SSP_HVW_4_D_2;SSP_HVW_4_D_3;SSP_HVW_4_D_4,0,SSP_PP_HDS_4_U;SSP_PP_HDS_4_D,true
5,PF_HDS_3B_LU,TR_3B_ASW_ITW,Single Left Docking,0,0,0,1331038,0,1344112,0,13074,0,0,30,51981,SSP_HDS_7_U_1;SSP_HDS_7_U_2;SSP_HDS_7_U_3;SSP_HDS_7_U_4;SSP_HDS_7_D,0,SSP_PP_HDS_7_U;SSP_PP_HDS_7_D,true
6,PF_HDS_4B_RD,TR_4B_ASW_ITW,Single Right Docking,0,0,0,1333137,0,1346204,0,13067,0,0,30,52375,SSP_HDS_8_U_1;SSP_HDS_8_U_2;SSP_HDS_8_U_3;SSP_HDS_8_U_4;SSP_HDS_8_D,0,SSP_PP_HDS_8_U;SSP_PP_HDS_8_D,true
7,PF_LLL_3B_LU,TR_3B_ASW_ITW,Single Left Docking,0,0,0,1386771,0,1399261,0,12490,0,0,30,52523,SSP_LLL_11_U_1;SSP_LLL_11_U_2;SSP_LLL_11_U_3;SSP_LLL_11_U_4;SSP_LLL_11_D_1;SSP_LLL_11_D_2;SSP_LLL_11_D_3;SSP_LLL_11_D_4,0,SSP_PP_HDS_11_U;SSP_PP_HDS_11_D,true
8,PF_LLL_4B_RD,TR_4B_ASW_ITW,Single Right Docking,0,0,0,1388838,0,1401301,0,12463,0,0,30,53078,SSP_LLL_12_U_1;SSP_LLL_12_U_2;SSP_LLL_12_U_3;SSP_LLL_12_U_4;SSP_LLL_12_D_1;SSP_LLL_12_D_2;SSP_LLL_12_D_3;SSP_LLL_12_D_4,0,SSP_PP_HDS_12_U;SSP_PP_HDS_12_D,true
9,PF_PJW_3B_LU,TR_3B_ASW_ITW,Single Left Docking,0,0,0,1466499,0,1479541,0,13042,0,0,30,52046,SSP_PJW_1_U_1;SSP_PJW_1_U_2;SSP_PJW_1_U_3;SSP_PJW_1_U_4;SSP_PJW_1_D,0,SSP_PP_VLN_1_U;SSP_PP_VLN_1_D,true
10,PF_PJW_4B_RD,TR_4B_ASW_ITW,Single Right Docking,0,0,0,1468519,0,1481591,0,13072,0,0,30,52641,SSP_PJW_2_U_1;SSP_PJW_2_U_2;SSP_PJW_2_U_3;SSP_PJW_2_U_4;SSP_PJW_2_D,0,SSP_PP_VLN_2_U;SSP_PP_VLN_2_D,true
