ID,Name,Track_ID,Point_Characteristics_ID,Normal_Up_Track_ID,Normal_Down_Track_ID,Reverse_Up_Track_ID,Reverse_Down_Track_ID,Orientation,Type,Bypassable_Fouling_In_Signal,Work_Zone_Boundaries,Differed_Point_ID,Kp_ToeValue,Kp_ToeCorrected_Trolley_Value,Kp_Fouling_PointValue,Kp_Fouling_PointCorrected_Trolley_Value,D_Toe_Joint,D_Normal_Toe_Fouling_Point_Joint,D_Reverse_Toe_Fouling_Point_Joint,Flanking_ID_List,Junction_Strategy
1,PT_W1773B_ZD,TR_3B_ASW_ITW,PTCH_70_40,TR_3B_ASW_ITW,TR_3B_ASW_ITW,TR_I_1773_ZD,0,Divergent,Motorized,false,None,0,1069450,0,1074250,0,752,5962,5962,0,First Come First Serve
2,PT_W1775A_ZD,TR_3B_ASW_ITW,PTCH_70_40,TR_3B_ASW_ITW,TR_3B_ASW_ITW,0,TR_I_1775_ZD,Convergent,Motorized,false,None,0,1074906,0,1070106,0,752,5962,5962,0,First Come First Serve
3,PT_W1721B_HDS,TR_3B_ASW_ITW,PTCH_70_40,TR_3B_ASW_ITW,TR_3B_ASW_ITW,TR_I_1721_HDS,0,Divergent,Motorized,false,None,0,1285965,0,1290765,0,617,5826,5826,0,First Come First Serve
4,PT_W1719A_HDS,TR_3B_ASW_ITW,PTCH_70_40,TR_3B_ASW_ITW,TR_3B_ASW_ITW,0,TR_I_1719_HDS,Convergent,Motorized,false,None,0,1297257,0,1292457,0,617,5826,5826,0,First Come First Serve
5,PT_W1697_HDS,TR_3B_ASW_ITW,PTCH_70_25,TR_3B_ASW_ITW,TR_3B_ASW_ITW,TR_S_1697_HDS,0,Divergent,Motorized,true,None,0,1412129,0,1416929,0,617,5826,5826,0,First Come First Serve
6,PT_W1687A_HDS,TR_3B_ASW_ITW,PTCH_70_25,TR_3B_ASW_ITW,TR_3B_ASW_ITW,0,TR_I_1687_HDS,Convergent,Motorized,true,None,0,1444873,0,1440073,0,617,5826,5826,0,First Come First Serve
7,PT_W1653A_VLN,TR_3B_ASW_ITW,PTCH_70_40,TR_3B_ASW_ITW,TR_3B_ASW_ITW,0,TR_I_1653_VLN,Convergent,Motorized,true,None,0,1611192,0,1606392,0,617,5826,5826,0,First Come First Serve
8,PT_W1651B_VLN,TR_3B_ASW_ITW,PTCH_70_40,TR_3B_ASW_ITW,TR_3B_ASW_ITW,TR_I_1651_VLN,0,Divergent,Motorized,true,None,0,1611836,0,1616636,0,617,5826,5826,0,First Come First Serve
9,PT_W1635B_VLN,TR_3B_ASW_ITW,PTCH_70_40,TR_3B_ASW_ITW,TR_3B_ASW_ITW,TR_I_1635_VLN,0,Divergent,Motorized,false,None,0,1702571,0,1707371,0,839,6049,6049,0,First Come First Serve
10,PT_W1637A_VLN,TR_3B_ASW_ITW,PTCH_70_40,TR_3B_ASW_ITW,TR_3B_ASW_ITW,0,TR_I_1637_VLN,Convergent,Motorized,false,None,0,1708085,0,1703285,0,814,6023,6023,0,First Come First Serve
11,PT_W1617A_ITW,TR_3B_ASW_ITW,PTCH_70_40,TR_3B_ASW_ITW,TR_3B_ASW_ITW,0,TR_I_1617_ITW,Convergent,Motorized,true,None,0,1845097,0,1840297,0,998,6208,6208,0,First Come First Serve
12,PT_W1615B_ITW,TR_3B_ASW_ITW,PTCH_70_50,TR_3B_ASW_ITW,TR_3B_ASW_ITW,TR_I_1615_ITW,0,Divergent,Motorized,true,None,0,1847442,0,1854893,0,998,9108,9108,0,First Come First Serve
13,PT_W1775B_ZD,TR_4B_ASW_ITW,PTCH_70_40,TR_4B_ASW_ITW,TR_4B_ASW_ITW,TR_I_1775_ZD,0,Divergent,Motorized,false,None,0,1069712,0,1074512,0,785,5995,5995,0,First Come First Serve
14,PT_W1773A_ZD,TR_4B_ASW_ITW,PTCH_70_40,TR_4B_ASW_ITW,TR_4B_ASW_ITW,0,TR_I_1773_ZD,Convergent,Motorized,false,None,0,1074899,0,1070099,0,752,5962,5962,0,First Come First Serve
15,PT_W1721A_HDS,TR_4B_ASW_ITW,PTCH_70_40,TR_4B_ASW_ITW,TR_4B_ASW_ITW,0,TR_I_1721_HDS,Convergent,Motorized,true,None,0,1293431,0,1288631,0,617,5826,5826,0,First Come First Serve
16,PT_W1719B_HDS,TR_4B_ASW_ITW,PTCH_70_40,TR_4B_ASW_ITW,TR_4B_ASW_ITW,TR_I_1719_HDS,0,Divergent,Motorized,true,None,0,1294075,0,1298875,0,617,5826,5826,0,First Come First Serve
17,PT_W1695B_HDS,TR_4B_ASW_ITW,PTCH_70_25,TR_4B_ASW_ITW,TR_4B_ASW_ITW,TR_I_1695_HDS,0,Divergent,Motorized,true,None,0,1414407,0,1419207,0,617,5826,5826,0,First Come First Serve
18,PT_W1683_HDS,TR_4B_ASW_ITW,PTCH_70_25,TR_4B_ASW_ITW,TR_4B_ASW_ITW,0,TR_S_1697_HDS,Convergent,Motorized,true,None,0,1446905,0,1442105,0,711,5921,5921,0,First Come First Serve
19,PT_W1653B_VLN,TR_4B_ASW_ITW,PTCH_70_40,TR_4B_ASW_ITW,TR_4B_ASW_ITW,TR_I_1653_VLN,0,Divergent,Motorized,false,None,0,1608039,0,1612839,0,617,5826,5826,0,First Come First Serve
20,PT_W1651A_VLN,TR_4B_ASW_ITW,PTCH_70_40,TR_4B_ASW_ITW,TR_4B_ASW_ITW,0,TR_I_1651_VLN,Convergent,Motorized,false,None,0,1619331,0,1614531,0,617,5826,5826,0,First Come First Serve
21,PT_W1637B_VLN,TR_4B_ASW_ITW,PTCH_70_40,TR_4B_ASW_ITW,TR_4B_ASW_ITW,TR_I_1637_VLN,0,Divergent,Motorized,false,None,0,1704517,0,1709317,0,839,6049,6049,0,First Come First Serve
