ID,Name,Type,Direction,Physical,Physical_Object_To_Measure,Choice_Selection_KP_Selection_Offset,Selection_KPTrack_ID,Selection_KPKpValue,Selection_KPKpCorrected_Trolley_Value,Selection_OffsetObject_Type,Selection_OffsetObject_ID,Selection_OffsetKP_Type,Selection_OffsetOffset
1,PSB_5_VLN_70,Generic,Both,false,None,Selection_KP,TR_3B_ASW_ITW,1560068,0,None,0,None,0
2,PSB_6_VLN_71,Generic,Both,false,None,Selection_KP,TR_4B_ASW_ITW,1562286,0,None,0,None,0
3,PSB_9_VLN_80,Generic,Both,false,None,Selection_KP,TR_3B_ASW_ITW,1646981,0,None,0,None,0
4,PSB_10_VLN_81,Generic,Both,false,None,Selection_KP,TR_4B_ASW_ITW,1649108,0,None,0,None,0
5,PSB_W_90_92,Generic,Both,true,Workzones_boundaries_90_92,Selection_KP,TR_3B_ASW_ITW,1751399,19078,None,0,None,0
6,PSB_37_1775A_ZD_22,Generic,Both,false,None,Selection_KP,TR_I_1775_ZD,5338,0,None,0,None,0
7,PSB_26_1775B_ZD_23,Generic,Both,false,None,Selection_KP,TR_I_1775_ZD,0,0,None,0,None,0
8,PSB_37_1773B_ZD_22,Generic,Both,false,None,Selection_KP,TR_I_1773_ZD,0,0,None,0,None,0
9,PSB_26_1773A_ZD_23,Generic,Both,false,None,Selection_KP,TR_I_1773_ZD,5337,0,None,0,None,0
10,PSB_5_1721B_HDS_32,Generic,Both,false,None,Selection_KP,TR_I_1721_HDS,0,0,None,0,None,0
11,PSB_6_1721A_HDS_33,Generic,Both,false,None,Selection_KP,TR_I_1721_HDS,5340,0,None,0,None,0
12,PSB_5_1719A_HDS_40,Generic,Both,false,None,Selection_KP,TR_I_1719_HDS,5342,0,None,0,None,0
13,PSB_6_1719B_HDS_35,Generic,Both,false,None,Selection_KP,TR_I_1719_HDS,0,0,None,0,None,0
14,PSB_13_1697_HDS_52,Generic,Both,false,None,Selection_KP,TR_S_1697_HDS,1412129,0,None,0,None,0
15,PSB_18_1683_HDS_55,Generic,Both,false,None,Selection_KP,TR_S_1697_HDS,1444947,0,None,0,None,0
16,PSB_100_1695A_HDS_57,Generic,Both,false,None,Selection_KP,TR_I_1695_HDS,7960,0,None,0,None,0
17,PSB_14_1695B_HDS_53,Generic,Both,false,None,Selection_KP,TR_I_1695_HDS,0,0,None,0,None,0
18,PSB_17_1687A_HDS_54,Generic,Both,false,None,Selection_KP,TR_I_1687_HDS,8719,0,None,0,None,0
