ID,Name,Remote_IO_Type,SSID,Urbalis_Sector_ID,Remote_IO_Racks,IP_Address_Blue,IP_Address_Red,MIB_IP_Address_Blue,MIB_IP_Address_Red,Subnet_Mask_Blue,Subnet_Mask_Red,Gateway_IP_Address_Blue,Gateway_IP_Address_Red,Technical_Room_ID
20481,RIO_CBI_ITW_1,CBI,1,US_SCMA,3,10.1.1.40,10.2.1.40,10.1.1.40,10.2.1.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_ITW_S_3B_R
20482,RIO_CBI_VLN_1,CBI,2,US_SCMA,2,10.1.3.40,10.2.3.40,10.1.3.40,10.2.3.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_VLN_S_3B_R
20483,RIO_CBI_HDS_1,CBI,3,US_SCMA,2,10.1.7.40,10.2.7.40,10.1.7.40,10.2.7.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_HDS_S_3B_R
20484,RIO_CBI_ZD_1,CBI,4,US_SCMA,3,10.1.10.40,10.2.10.40,10.1.10.40,10.2.10.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_EZD_S_3B_R
20485,RIO_CBI_LCM_1,CBI,5,US_SCMA,1,10.1.44.40,10.2.44.40,10.1.44.40,10.2.44.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_LCM_M_0
20486,RIO_CBI_ZD_2,CBI,6,US_SCMA,3,10.1.10.41,10.2.10.41,10.1.10.41,10.2.10.41,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_SET_S_4A_R
20487,RIO_CBI_ZD_3,CBI,7,US_SCMA,2,10.1.10.42,10.2.10.42,10.1.10.42,10.2.10.42,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_ZD_M_4A_R
20488,RIO_CBI_VZG_1,CBI,8,US_SCMA,1,10.1.40.40,10.2.40.40,10.1.40.40,10.2.40.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_VZG_M_8_R
20489,RIO_CBI_CSN_1,CBI,9,US_SCMA,2,10.1.38.40,10.2.38.40,10.1.38.40,10.2.38.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_CSN_M_8_L
20490,RIO_CBI_ND_1,CBI,10,US_SCMA,2,10.1.35.40,10.2.35.40,10.1.35.40,10.2.35.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_ND_M_8_R
20491,RIO_CBI_CS_1,CBI,11,US_SCMA,2,10.1.13.40,10.2.13.40,10.1.13.40,10.2.13.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_CS_M_1A_L
20492,RIO_CBI_WPP_1,CBI,12,US_SCMA,2,10.1.16.40,10.2.16.40,10.1.16.40,10.2.16.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_WPP_M_1A_R
20493,RIO_CBI_SLW_1,CBI,13,US_SCMA,3,10.1.19.40,10.2.19.40,10.1.19.40,10.2.19.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_SLW_M_1A_L
20494,RIO_CBI_LCM_2,CBI,14,US_SCMA,3,10.1.44.41,10.2.44.41,10.1.44.41,10.2.44.41,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_LCM_M_1
20495,RIO_CBI_MDW_1,CBI,15,US_SCMA,3,10.1.20.40,10.2.20.40,10.1.20.40,10.2.20.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_MDW_M_1A_L
20496,RIO_CBI_LCM_3,CBI,16,US_SCMA,1,10.1.44.42,10.2.44.42,10.1.44.42,10.2.44.42,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_LCM_M_2
20497,RIO_CBI_SVT_1,CBI,17,US_SCMA,1,10.1.22.40,10.2.22.40,10.1.22.40,10.2.22.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_SVT_M_1A_L
20498,RIO_CBI_BLW_1,CBI,18,US_SCMA,2,10.1.24.40,10.2.24.40,10.1.24.40,10.2.24.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_BLW_M_1A_L
20499,RIO_CBI_GN_1,CBI,19,US_SCMA,2,10.1.27.40,10.2.27.40,10.1.27.40,10.2.27.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_GN_M_1A_L
20500,RIO_CBI_DMZ_1,CBI,20,US_SCMA,2,10.1.30.40,10.2.30.40,10.1.30.40,10.2.30.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_DMZ_M_5D_L
20501,RIO_CBI_GPP_1,CBI,21,US_SCMA,3,10.1.34.40,10.2.34.40,10.1.34.40,10.2.34.40,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_GPP_M_5E_L
20502,RIO_CBI_ITW_2,CBI,22,US_SCMA,1,10.1.1.41,10.2.1.41,10.1.1.41,10.2.1.41,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_ITW_S_3B_R
20503,RIO_CBI_OAS_1,CBI,23,US_SCMA,2,10.1.10.44,10.2.10.44,10.1.10.44,10.2.10.44,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_OAS_M_4A_L
20504,RIO_CBI_ZD_4,CBI,24,US_SCMA,2,10.1.10.43,10.2.10.43,10.1.10.43,10.2.10.43,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_EZDSH_S_3A_R
