ID,Name,Safety_Derogation,Route_Characteristics_ID,Origin_Signal_ID,Opposite_Signal_ID,Destination_Signal_ID,Origin_Secondary_Detection_Device_ID_List,Transit_Secondary_Detection_Device_ID_List,Switch_ID_List,Flanking_ID_List,Auto_Route,First_Conjugated_Route_ID,Cycle_Route_Strike_In_Distance
1,R_3_ITW_13_VLN,true,RCH_NOMINAL,SI_1_D_ITW,0,SI_11_D_VLN,0,0,SW_ITW_1615;SW_ITW_1617,0,false,0,0
2,R_13_VLN_3_ITW,true,RCH_NOMINAL,SI_1_U_ITW,0,SI_5_U_ITW,0,0,SW_ITW_1615;SW_ITW_1617,0,false,0,0
3,R_3_ITW_14_VLN,true,RCH_NOMINAL,SI_1_D_ITW,0,SI_12_D_VLN,0,0,SW_ITW_1615;SW_ITW_1617,0,false,0,0
4,R_22_VLN_3_ITW,true,RCH_NOMINAL,SI_2_U_ITW,0,SI_5_U_ITW,0,0,SW_ITW_1615;SW_ITW_1617,0,false,0,0
5,R_4_ITW_14_VLN,true,RCH_NOMINAL,SI_2_D_ITW,SI_2_V_U_ITW,SI_12_D_VLN,0,0,SW_ITW_1615;SW_ITW_1617,0,false,0,0
6,R_22_VLN_4_ITW,true,RCH_NOMINAL,SI_2_U_ITW,SI_2_V_D_ITW,SI_6_U_ITW,0,0,SW_ITW_1615;SW_ITW_1617,0,false,0,0
7,R_4_ITW_13_VLN,true,RCH_NOMINAL,SI_2_D_ITW,0,SI_11_D_VLN,0,0,SW_ITW_1615;SW_ITW_1617,0,false,0,0
8,R_13_VLN_4_ITW,true,RCH_NOMINAL,SI_1_U_ITW,0,SI_6_U_ITW,0,0,SW_ITW_1615;SW_ITW_1617,0,false,0,0
9,R_13_VLN_9_VLN,true,RCH_NOMINAL,SI_11_D_VLN,0,SI_7_D_VLN,0,0,SW_VLN_1637;SW_VLN_1635,0,true,0,0
10,R_13_VLN_10_VLN,true,RCH_NOMINAL,SI_11_D_VLN,0,SI_8_D_VLN,0,0,SW_VLN_1637,0,false,0,0
