ID,Name,Safety_Derogation,Track_ID,KpValue,KpCorrected_Trolley_Value,Bond_Type,Work_Zone_Boundaries
1,SDDB_ZD_27_25,true,TR_3B_ASW_ITW,1020501,0,ACS Standard,None
2,SDDB_ZD_27_29,true,TR_3B_ASW_ITW,1029341,-191,ACS Standard,None
3,SDDB_ZD_29_31,true,TR_3B_ASW_ITW,1032238,-29,ACS Standard,None
4,SDDB_ZD_31_33,true,TR_3B_ASW_ITW,1039934,-16,ACS Standard,None
5,SDDB_ZD_33_35,true,TR_3B_ASW_ITW,1042831,14,ACS Standard,None
6,SDDB_ZD_35_37,true,TR_3B_ASW_ITW,1067550,-1468,ACS Standard,None
7,SDDB_ZD_37_39,true,TR_3B_ASW_ITW,1077106,-4,ACS Standard,None
8,SDDB_ZD_39_41,true,TR_3B_ASW_ITW,1100877,10,ACS Standard,None
9,SDDB_ZD_41_EORIO,true,TR_3B_ASW_ITW,1119206,-49,ACS Double Head,None
10,SDDB_ZD_22_20,true,TR_4B_ASW_ITW,1025964,5,ACS Standard,None
11,SDDB_ZD_22_24A,true,TR_4B_ASW_ITW,1034672,-7,ACS Standard,None
12,SDDB_ZD_24D_26,true,TR_4B_ASW_ITW,1067812,-1654,ACS Standard,None
13,SDDB_ZD_26_28,true,TR_4B_ASW_ITW,1077199,46,ACS Standard,None
14,SDDB_ZD_28_30,true,TR_4B_ASW_ITW,1100962,115,ACS Standard,None
15,SDDB_ZD_30_EORIO,true,TR_4B_ASW_ITW,1119184,17,ACS Double Head,None
16,SDDB_ZD_26_37,true,TR_I_1775_ZD,2669,1034,ACS Standard,None
17,SDDB_ZD_37_26,true,TR_I_1773_ZD,2668,-968,ACS Standard,None
18,SDDB_HDS_1_3,true,TR_3B_ASW_ITW,1258277,-22,ACS Standard,None
19,SDDB_HDS_3_5,true,TR_3B_ASW_ITW,1283765,-2,ACS Standard,None
20,SDDB_HDS_5_7,true,TR_3B_ASW_ITW,1299211,-1,ACS Standard,None
21,SDDB_HDS_7_9,true,TR_3B_ASW_ITW,1347112,17,ACS Standard,None
22,SDDB_HDS_9_11,true,TR_3B_ASW_ITW,1383771,-23,ACS Standard,None
23,SDDB_HDS_11_13,true,TR_3B_ASW_ITW,1410029,-37,ACS Standard,None
24,SDDB_HDS_13_15,true,TR_3B_ASW_ITW,1419329,66,ACS Standard,None
25,SDDB_HDS_15_17,true,TR_3B_ASW_ITW,1437473,-78,ACS Standard,None
26,SDDB_HDS_17_EORIO,true,TR_3B_ASW_ITW,1447573,-12,ACS Double Head,None
27,SDDB_HDS_2_4,true,TR_4B_ASW_ITW,1260437,-62,ACS Standard,None
28,SDDB_HDS_4_6,true,TR_4B_ASW_ITW,1286031,-52,ACS Standard,None
29,SDDB_HDS_6_8,true,TR_4B_ASW_ITW,1301275,19,ACS Standard,None
30,SDDB_HDS_8_10,true,TR_4B_ASW_ITW,1348337,-47,ACS Standard,None
31,SDDB_HDS_10_12,true,TR_4B_ASW_ITW,1385838,-73,ACS Standard,None
32,SDDB_HDS_12_14,true,TR_4B_ASW_ITW,1412307,59,ACS Standard,None
33,SDDB_HDS_14_16,true,TR_4B_ASW_ITW,1421807,-86,ACS Standard,None
34,SDDB_HDS_16_18,true,TR_4B_ASW_ITW,1439505,-20,ACS Standard,None
35,SDDB_HDS_18_EORIO,true,TR_4B_ASW_ITW,1449805,66,ACS Double Head,None
36,SDDB_HDS_5_6,true,TR_I_1721_HDS,2670,1236,ACS Standard,None
37,SDDB_HDS_6_5,true,TR_I_1719_HDS,2671,-111,ACS Standard,None
38,SDDB_HDS_14_100,true,TR_I_1695_HDS,3980,-1178,ACS Standard,None
39,SDDB_HDS_102_17,true,TR_I_1687_HDS,4359,1559,ACS Standard,None
40,SDDB_HDS_13_100,true,TR_S_1697_HDS,1416261,-1312,ACS Standard,None
41,SDDB_HDS_100_101A,true,TR_S_1697_HDS,1420793,88,ACS Standard,None
42,SDDB_HDS_101A_101B,true,TR_S_1697_HDS,1425115,61,ACS Standard,None
43,SDDB_HDS_101B_101C,true,TR_S_1697_HDS,1428315,79,ACS Standard,None
44,SDDB_HDS_101C_101D,true,TR_S_1697_HDS,1431515,26,ACS Standard,None
45,SDDB_HDS_101D_102,true,TR_S_1697_HDS,1435837,-7,ACS Standard,None
46,SDDB_HDS_102_18,true,TR_S_1697_HDS,1441571,578,ACS Standard,None
47,SDDB_VLN_1_3,true,TR_3B_ASW_ITW,1482541,2980,ACS Standard,None
48,SDDB_VLN_3_5,true,TR_3B_ASW_ITW,1544035,-4,ACS Standard,None
49,SDDB_VLN_5_7,true,TR_3B_ASW_ITW,1603692,-20,ACS Standard,None
50,SDDB_VLN_7_9,true,TR_3B_ASW_ITW,1619236,5,ACS Standard,None
51,SDDB_VLN_9_11,true,TR_3B_ASW_ITW,1700671,-94,ACS Standard,None
52,SDDB_VLN_11_13,true,TR_3B_ASW_ITW,1710485,42,ACS Standard,None
53,SDDB_VLN_13_EORIO,true,TR_3B_ASW_ITW,1836697,39,ACS Double Head,None
54,SDDB_VLN_2_4,true,TR_4B_ASW_ITW,1483962,-57,ACS Standard,None
55,SDDB_VLN_4_6,true,TR_4B_ASW_ITW,1546223,6,ACS Standard,None
56,SDDB_VLN_6_8,true,TR_4B_ASW_ITW,1605939,-12,ACS Standard,None
57,SDDB_VLN_8_10,true,TR_4B_ASW_ITW,1621231,30,ACS Standard,None
58,SDDB_VLN_10_12,true,TR_4B_ASW_ITW,1702617,2,ACS Standard,None
59,SDDB_VLN_12_14,true,TR_4B_ASW_ITW,1712429,33,ACS Standard,None
60,SDDB_VLN_14_16,true,TR_4B_ASW_ITW,1740232,6,ACS Standard,None
61,SDDB_VLN_16_18,true,TR_4B_ASW_ITW,1743124,43,ACS Standard,None
62,SDDB_VLN_18_20,true,TR_4B_ASW_ITW,1750820,-4,ACS Standard,None
63,SDDB_VLN_20_22,true,TR_4B_ASW_ITW,1753712,33,ACS Standard,None
64,SDDB_VLN_22_EORIO,true,TR_4B_ASW_ITW,1839222,38,ACS Double Head,None
65,SDDB_VLN_8_7,true,TR_I_1653_VLN,2669,-1353,ACS Standard,None
66,SDDB_VLN_7_8,true,TR_I_1651_VLN,2670,1356,ACS Standard,None
67,SDDB_VLN_12_11,true,TR_I_1637_VLN,2765,974,ACS Standard,None
68,SDDB_VLN_11_12,true,TR_I_1635_VLN,2765,-969,ACS Standard,None
69,SDDB_ITW_1_3A,true,TR_3B_ASW_ITW,1862072,-57,ACS Standard,None
70,SDDB_ITW_5_7,true,TR_3C_ITW_ITW,1880960,0,ACS Standard,None
71,SDDB_ITW_3C_5,true,TR_3B_ASW_ITW,1875526,0,ACS Standard,None
72,SDDB_ITW_2_4A,true,TR_4B_ASW_ITW,1864837,-71,ACS Standard,None
73,SDDB_ITW_120D_6,true,TR_S_ITW2_ITW,1875684,0,ACS Standard,None
