ID,Name,Point_ID_List,Secondary_Detection_Device_Characteristics_ID,Receiver_Number,Secondary_Detection_Device_Boundary_ID_List,Critical,Technical_Room_ID,Min_Occupation_Timer
1,SDD_ZD_27,PT_W1793_ZD,SDDC_AC_C1R1,1,SDDB_ZD_27_25;SDDB_ZD_27_29;SDDB_ZD_143_27,Not Critical,TCR_EZD_S_3B_R,500
2,SDD_ZD_29,0,SDDC_AC_C1R1,1,SDDB_ZD_27_29;SDDB_ZD_29_31,Not Critical,TCR_EZD_S_3B_R,500
3,SDD_ZD_31,0,SDDC_AC_C1R1,1,SDDB_ZD_29_31;SDDB_ZD_31_33,Not Critical,TCR_EZD_S_3B_R,500
4,SDD_ZD_33,0,SDDC_AC_C1R1,1,SDDB_ZD_31_33;SDDB_ZD_33_35,Not Critical,TCR_EZD_S_3B_R,500
5,SDD_ZD_35,0,SDDC_AC_C1R1,1,SDDB_ZD_33_35;SDDB_ZD_35_37,Not Critical,TCR_EZD_S_3B_R,500
6,SDD_ZD_37,PT_W1773B_ZD;PT_W1775A_ZD,SDDC_AC_C1R1,1,SDDB_ZD_35_37;SDDB_ZD_37_26;SDDB_ZD_26_37;SDDB_ZD_37_39,Not Critical,TCR_EZD_S_3B_R,500
7,SDD_ZD_39,0,SDDC_AC_C1R1,1,SDDB_ZD_37_39;SDDB_ZD_39_41,Not Critical,TCR_EZD_S_3B_R,500
8,SDD_ZD_41,0,SDDC_AC_C1R1_DOV5,1,SDDB_ZD_39_41;SDDB_ZD_41_EORIO,Redundant Input,TCR_EZD_S_3B_R,500
9,SDD_ZD_22,PT_W1791_ZD,SDDC_AC_C1R1,1,SDDB_ZD_22_20;SDDB_ZD_22_24A;SDDB_ZD_162_22,Not Critical,TCR_EZD_S_3B_R,500
10,SDD_ZD_24A,0,SDDC_AC_C1R1,1,SDDB_ZD_22_24A;SDDB_ZD_24A_24B,Not Critical,TCR_EZD_S_3B_R,500
11,SDD_ZD_26,PT_W1775B_ZD;PT_W1773A_ZD,SDDC_AC_C1R1,1,SDDB_ZD_24D_26;SDDB_ZD_26_37;SDDB_ZD_37_26;SDDB_ZD_26_28,Not Critical,TCR_EZD_S_3B_R,500
12,SDD_ZD_28,0,SDDC_AC_C1R1,1,SDDB_ZD_26_28;SDDB_ZD_28_30,Not Critical,TCR_EZD_S_3B_R,500
13,SDD_ZD_30,0,SDDC_AC_C1R1_DOV5,1,SDDB_ZD_28_30;SDDB_ZD_30_EORIO,Redundant Input,TCR_EZD_S_3B_R,500
14,SDD_HDS_1,0,SDDC_AC_C1R1_DOV5,1,SDDB_ZD_41_EORIO;SDDB_HDS_1_3,Not Critical,TCR_HDS_S_3B_R,500
15,SDD_HDS_3,0,SDDC_AC_C1R1,1,SDDB_HDS_1_3;SDDB_HDS_3_5,Not Critical,TCR_HDS_S_3B_R,500
16,SDD_HDS_5,PT_W1721B_HDS;PT_W1719A_HDS,SDDC_AC_C1R1,1,SDDB_HDS_3_5;SDDB_HDS_5_7;SDDB_HDS_5_6;SDDB_HDS_6_5,Not Critical,TCR_HDS_S_3B_R,500
17,SDD_HDS_7,0,SDDC_AC_C1R1,1,SDDB_HDS_5_7;SDDB_HDS_7_9,Not Critical,TCR_HDS_S_3B_R,500
18,SDD_HDS_9,0,SDDC_AC_C1R1,1,SDDB_HDS_7_9;SDDB_HDS_9_11,Not Critical,TCR_HDS_S_3B_R,500
19,SDD_HDS_11,0,SDDC_AC_C1R1,1,SDDB_HDS_9_11;SDDB_HDS_11_13,Not Critical,TCR_HDS_S_3B_R,500
20,SDD_HDS_13,PT_W1697_HDS,SDDC_AC_C1R1,1,SDDB_HDS_11_13;SDDB_HDS_13_15;SDDB_HDS_13_100,Not Critical,TCR_HDS_S_3B_R,500
21,SDD_HDS_15,0,SDDC_AC_C1R1,1,SDDB_HDS_13_15;SDDB_HDS_15_17,Not Critical,TCR_HDS_S_3B_R,500
22,SDD_HDS_17,PT_W1687A_HDS,SDDC_AC_C1R1_DOV3,1,SDDB_HDS_15_17;SDDB_HDS_17_EORIO;SDDB_HDS_102_17,Not Critical,TCR_HDS_S_3B_R,500
23,SDD_HDS_2,0,SDDC_AC_C1R1_DOV5,1,SDDB_HDS_2_4;SDDB_ZD_30_EORIO,Not Critical,TCR_HDS_S_3B_R,500
24,SDD_HDS_4,0,SDDC_AC_C1R1,1,SDDB_HDS_2_4;SDDB_HDS_4_6,Not Critical,TCR_HDS_S_3B_R,500
25,SDD_HDS_6,PT_W1721A_HDS;PT_W1719B_HDS,SDDC_AC_C1R1,1,SDDB_HDS_4_6;SDDB_HDS_6_8;SDDB_HDS_5_6;SDDB_HDS_6_5,Not Critical,TCR_HDS_S_3B_R,500
26,SDD_HDS_8,0,SDDC_AC_C1R1,1,SDDB_HDS_6_8;SDDB_HDS_8_10,Not Critical,TCR_HDS_S_3B_R,500
27,SDD_HDS_10,0,SDDC_AC_C1R1,1,SDDB_HDS_8_10;SDDB_HDS_10_12,Not Critical,TCR_HDS_S_3B_R,500
