ID,Name,Track_ID,KpValue,KpCorrected_Trolley_Value,SSP_Characteristics_ID,Train_Formation_Characteristics_ID_List,Accuracy_Required,Direction,Secondary_stopping_type,D_Min_Secondary_Piloting,D_Max_Secondary_Piloting
2,SSP_ASW_33_U_1,TR_3B_ASW_ITW,1037634,42,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Up,false,0,0
3,SSP_ASW_33_U_2,TR_3B_ASW_ITW,1039183,-13,SSPC_ALL,TRFC_S1S2_2;TRFC_S3M4_2,Strategy_1,Up,false,0,0
4,SSP_ASW_35_U_3,TR_3B_ASW_ITW,1040731,4,SSPC_ALL,TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Up,false,0,0
5,SSP_ASW_35_U_4,TR_3B_ASW_ITW,1042280,-42,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_4;TRFC_S3M4_4,Strategy_1,Up,false,0,0
7,SSP_ASW_33_D_1,TR_3B_ASW_ITW,1034538,-5,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Down,false,0,0
8,SSP_ASW_33_D_2,TR_3B_ASW_ITW,1032989,-29,SSPC_ALL,TRFC_S1S2_2;TRFC_S3M4_2,Strategy_1,Down,false,0,0
9,SSP_ASW_31_D_3,TR_3B_ASW_ITW,1031441,-50,SSPC_ALL,TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Down,false,0,0
10,SSP_ASW_31_D_4,TR_3B_ASW_ITW,1029892,82,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_4;TRFC_S3M4_4,Strategy_1,Down,false,0,0
12,SSP_ASW_24_U_1,TR_4B_ASW_ITW,1043680,6,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Up,false,0,0
13,SSP_ASW_24_U_2,TR_4B_ASW_ITW,1045229,23,SSPC_ALL,TRFC_S1S2_2;TRFC_S3M4_2,Strategy_1,Up,false,0,0
14,SSP_ASW_24_U_3,TR_4B_ASW_ITW,1046777,46,SSPC_ALL,TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Up,false,0,0
15,SSP_ASW_24_U_4,TR_4B_ASW_ITW,1048326,66,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_4;TRFC_S3M4_4,Strategy_1,Up,false,0,0
17,SSP_ASW_24_D_1,TR_4B_ASW_ITW,1040584,-28,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Down,false,0,0
18,SSP_ASW_24_D_2,TR_4B_ASW_ITW,1039035,-51,SSPC_ALL,TRFC_S1S2_2;TRFC_S3M4_2,Strategy_1,Down,false,0,0
19,SSP_ASW_24_D_3,TR_4B_ASW_ITW,1037487,0,SSPC_ALL,TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Down,false,0,0
