ID,Name,Line_ID,Track_ID_List,Automatic_Stabling_Unstabling,UEVOL_Equipped,Stabling_Location_ID_List
1,SID_HDS_1,LI_SCMA,TR_S_1697_HDS,true,Fully Equipped,STL_HDS_101A;STL_HDS_101B;STL_HDS_101C;STL_HDS_101D
2,SID_ITW_1,LI_SCMA,TR_3C_ITW_ITW;TR_S_EOT_1529_ITW;TR_S_1505_EOT_ITW;TR_S_1531_EOT_ITW;TR_S_1509_EOT_ITW;TR_S_EOT_1521_ITW;TR_S_ITW1_ITW;TR_S_ITW2_ITW;TR_S_ITW3_ITW,true,Fully Equipped,STL_ITW_100A;STL_ITW_100B;STL_ITW_100C;STL_ITW_100D;STL_ITW_101A;STL_ITW_101B;STL_ITW_101C;STL_ITW_101D;STL_ITW_103A;STL_ITW_103B;STL_ITW_103C;STL_ITW_103D;STL_ITW_110A;STL_ITW_110B;STL_ITW_110C;STL_ITW_110D;STL_ITW_150A;STL_ITW_150B;STL_ITW_150C;STL_ITW_150D;STL_ITW_161A;STL_ITW_161B;STL_ITW_161C;STL_ITW_161D;STL_ITW_170A;STL_ITW_170B;STL_ITW_170C;STL_ITW_170D;STL_ITW_181A;STL_ITW_181B;STL_ITW_181C;STL_ITW_181D;STL_ITW_190A;STL_ITW_190B;STL_ITW_190C;STL_ITW_190D;STL_ITW_120A;STL_ITW_120B;STL_ITW_120C;STL_ITW_120D;STL_ITW_130A;STL_ITW_130B;STL_ITW_130C;STL_ITW_130D;STL_ITW_140A;STL_ITW_140B;STL_ITW_140C;STL_ITW_140D;STL_ITW_132
1001,SID_ND_1,LI_SCMA,TR_S_EOT_3207_ND;TR_S_EOT_3213_ND;TR_S_EOT_3211_ND;TR_S_EOT_3205_ND,true,Fully Equipped,STL_ND_100;STL_ND_101;STL_ND_110;STL_ND_111;STL_ND_120;STL_ND_121;STL_ND_130
1002,SID_CSN_1,LI_SCMA,TR_S_EOT_3277_CSN,true,Fully Equipped,STL_CSN_100A
2001,SID_WPP_1,LI_SCMA,TR_S_EOT_239_WPP,true,Fully Equipped,STL_WPP_100A;STL_WPP_100B;STL_WPP_100C
2002,SID_SLW_1,LI_SCMA,TR_S_EOT_309_SLW,true,Fully Equipped,STL_SLW_100A;STL_SLW_100B
2003,SID_BLW_1,LI_SCMA,TR_S_627_EOT_BLW,true,Fully Equipped,STL_BLW_101A;STL_BLW_101B;STL_BLW_101C;STL_BLW_101D
2004,SID_DMZ_1,LI_SCMA,TR_S_531_EOT_DMZ,true,Fully Equipped,STL_DMZ_120A;STL_DMZ_120B;STL_DMZ_120C
2005,SID_GPP_1,LI_SCMA,TR_S_579_EOT_GPP;TR_S_583_EOT_GPP;TR_S_581_EOT_GPP;TR_S_585_EOT_GPP,true,Fully Equipped,STL_GPP_130A;STL_GPP_130B;STL_GPP_130C;STL_GPP_130D;STL_GPP_120A;STL_GPP_120B;STL_GPP_120C;STL_GPP_120D;STL_GPP_110A;STL_GPP_110B;STL_GPP_110C;STL_GPP_110D;STL_GPP_100A;STL_GPP_100B;STL_GPP_100C;STL_GPP_100D
2006,SID_GN_1,LI_SCMA,TR_S_673_EOT_GN;TR_S_671_EOT_GN,true,Fully Equipped,STL_GN_110A;STL_GN_110B;STL_GN_110C;STL_GN_110D;STL_GN_110E;STL_GN_100A;STL_GN_100B;STL_GN_100C;STL_GN_100D;STL_GN_100E
