ID,Name,Safety_Derogation,Signal_Lamp_Type_ID,Track_ID,SSP_ID,Overlap_ID,Secondary_Detection_Device_ID,Direction,Max_Talkative_Head_Correction,SANN_Switch_ID_List,Signal_Type_Function,Signal_Type_Position,Signal_Approachable,Call_on_Signal,Signal_Overridden_For_CBTC_Train,Signal_Override_Type,Signal_Blocked_By_ATS_Operator,Destination_Signal_Blocked_By_ATS_Operator,Route_Setting_Conflict_On_Blocking,Route_Release_On_Blocking,Signal_Aspect_Overlap_Not_Granted,Signal_Aspect_Announce_Downstream_Signal,Lamp_Proved_Signal,Half_Lamp_Proved_Signal,Route_MASC,Lamp_Command_Proved_Signal,Distance_Approach_Locking,Approach_Locking_Not_Bypassed_By_Signal_Id_List,Block_Mode_Init,Critical,Technical_Room_ID,KpValue,KpCorrected_Trolley_Value,Real_Install_Position_Track_ID,Real_Install_Position_KpValue,Real_Install_Position_KpCorrected_Trolley_Value,Max_Dist_EB_Stop_Max_Speed
1,SI_5_U_ITW,true,SLTY_ROUTE,TR_3B_ASW_ITW,SSP_ITW_3_U_4,O_SI_5_U_ITW,SDD_ITW_5,Up,0,0,Route Signal,Station Exit,true,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,59552,SI_1_U_ITW,false,Not Critical,TCR_ITW_S_3B_R,1875462,0,TR_3B_ASW_ITW,1875462,63,0
2,SI_1_D_ITW,true,SLTY_ROUTE,TR_3B_ASW_ITW,SSP_ITW_3_D_4,O_SI_1_D_ITW,SDD_ITW_1,Down,0,0,Route Signal,Station Exit,true,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,59552,SI_102_D_ITW;SI_7_D_ITW;SI_160_D_ITW;SI_160_1505_D_ITW;SI_180_D_ITW;SI_180_1509_D_ITW,false,Not Critical,TCR_ITW_S_3B_R,1862172,-142,TR_3B_ASW_ITW,1862172,-142,0
3,SI_6_U_ITW,true,SLTY_ROUTE,TR_4B_ASW_ITW,SSP_ITW_4_U_4,O_SI_6_U_ITW,SDD_ITW_6,Up,0,0,Route Signal,Station Exit,true,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,59552,SI_2_U_ITW,false,Not Critical,TCR_ITW_S_3B_R,1878227,-307,TR_4B_ASW_ITW,1878227,-307,0
4,SI_2_D_ITW,true,SLTY_ROUTE,TR_4B_ASW_ITW,SSP_ITW_4_D_4,O_SI_2_D_ITW,SDD_ITW_2,Down,0,0,Route Signal,Station Exit,true,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,59552,SI_160_D_ITW;SI_160_1505_D_ITW;SI_180_D_ITW;SI_180_1509_D_ITW,false,Not Critical,TCR_ITW_S_3B_R,1864937,-136,TR_4B_ASW_ITW,1864937,-136,0
5,SI_2_V_U_ITW,true,0,TR_4B_ASW_ITW,0,0,0,Up,0,0,Virtual,Inter-Station,false,false,false,No Signal Override,false,false,false,false,false,false,false,None,false,false,0,0,false,Not Critical,TCR_ITW_S_3B_R,1854558,0,TR_4B_ASW_ITW,1854558,0,0
6,SI_2_V_D_ITW,true,0,TR_4B_ASW_ITW,0,0,0,Down,0,0,Virtual,Inter-Station,false,false,false,No Signal Override,false,false,false,false,false,false,false,None,false,false,0,0,false,Not Critical,TCR_ITW_S_3B_R,1854558,0,TR_4B_ASW_ITW,1854558,0,0
7,SI_1_U_ITW,true,SLTY_ROUTE,TR_3B_ASW_ITW,0,0,SDD_ITW_1,Up,0,0,Route Signal,Station Exit,false,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,76885,0,false,Not Critical,TCR_VLN_S_3B_R,1836297,44,TR_3B_ASW_ITW,1836297,44,0
8,SI_2_U_ITW,true,SLTY_ROUTE,TR_4B_ASW_ITW,0,0,SDD_ITW_2,Up,0,0,Route Signal,Station Exit,false,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,76885,0,false,Not Critical,TCR_VLN_S_3B_R,1838822,25,TR_4B_ASW_ITW,1838822,25,0
9,SI_11_D_VLN,true,SLTY_ROUTE,TR_3B_ASW_ITW,0,0,SDD_VLN_11,Down,0,0,Route Signal,Station Exit,false,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,56316,0,false,Not Critical,TCR_VLN_S_3B_R,1710585,30,TR_3B_ASW_ITW,1710585,30,0
10,SI_12_D_VLN,true,SLTY_ROUTE,TR_4B_ASW_ITW,0,0,SDD_VLN_12,Down,0,0,Route Signal,Station Exit,false,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,55768,0,false,Not Critical,TCR_VLN_S_3B_R,1712529,19,TR_4B_ASW_ITW,1712529,19,0
11,SI_11_U_VLN,true,SLTY_ROUTE,TR_3B_ASW_ITW,0,0,SDD_VLN_11,Up,0,0,Route Signal,Station Exit,false,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,61097,0,false,Not Critical,TCR_VLN_S_3B_R,1700571,-110,TR_3B_ASW_ITW,1700571,-110,0
12,SI_12_U_VLN,true,SLTY_ROUTE,TR_4B_ASW_ITW,0,0,SDD_VLN_12,Up,0,0,Route Signal,Station Exit,false,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,60683,0,false,Not Critical,TCR_VLN_S_3B_R,1702517,32,TR_4B_ASW_ITW,1702517,32,0
13,SI_7_D_VLN,true,SLTY_ROUTE,TR_3B_ASW_ITW,0,0,SDD_VLN_7,Down,0,0,Route Signal,Station Exit,false,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,59085,0,false,Not Critical,TCR_VLN_S_3B_R,1619336,27,TR_3B_ASW_ITW,1619336,27,0
14,SI_8_D_VLN,true,SLTY_ROUTE,TR_4B_ASW_ITW,0,0,SDD_VLN_8,Down,0,0,Route Signal,Station Exit,false,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,59291,0,false,Not Critical,TCR_VLN_S_3B_R,1621331,-4,TR_4B_ASW_ITW,1621331,-4,0
15,SI_8_V_U_VLN,true,0,TR_4B_ASW_ITW,0,0,0,Up,0,0,Virtual,Inter-Station,false,false,false,No Signal Override,false,false,false,false,false,false,false,None,false,false,0,0,false,Not Critical,TCR_VLN_S_3B_R,1613685,5,TR_4B_ASW_ITW,1613685,5,0
16,SI_8_V_D_VLN,true,0,TR_4B_ASW_ITW,0,0,0,Down,0,0,Virtual,Inter-Station,false,false,false,No Signal Override,false,false,false,false,false,false,false,None,false,false,0,0,false,Not Critical,TCR_VLN_S_3B_R,1613685,5,TR_4B_ASW_ITW,1613685,5,0
17,SI_7_U_VLN,true,SLTY_ROUTE,TR_3B_ASW_ITW,0,0,SDD_VLN_7,Up,0,0,Route Signal,Station Exit,false,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,61157,0,false,Not Critical,TCR_VLN_S_3B_R,1603592,-5,TR_3B_ASW_ITW,1603592,-5,0
18,SI_8_U_VLN,true,SLTY_ROUTE,TR_4B_ASW_ITW,0,0,SDD_VLN_8,Up,0,0,Route Signal,Station Exit,false,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,60741,0,false,Not Critical,TCR_VLN_S_3B_R,1605839,24,TR_4B_ASW_ITW,1605839,24,0
19,SI_3_U_VLN,true,SLTY_ROUTE,TR_3B_ASW_ITW,SSP_PJW_1_U_4,O_SI_3_U_VLN,SDD_VLN_3,Up,0,0,Route Signal,Station Exit,true,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,61582,SI_17_U_HDS;SI_102_U_HDS,false,Not Critical,TCR_VLN_S_3B_R,1482441,2991,TR_3B_ASW_ITW,1482441,2991,0
20,SI_4_U_VLN,true,SLTY_ROUTE,TR_4B_ASW_ITW,SSP_PJW_2_U_4,O_SI_4_U_VLN,SDD_VLN_4,Up,0,0,Route Signal,Station Exit,true,true,false,No Signal Override,true,true,true,false,false,false,false,None,true,false,60683,SI_102_U_HDS;SI_18_U_HDS,false,Not Critical,TCR_VLN_S_3B_R,1483762,67,TR_4B_ASW_ITW,1483762,67,0
