ID,Name,Secondary_Detection_Device_Boundary_ID_List,Direction,Concerned_Sweeping,Specific_Sweeping_Distance_Value
1001,SSWP_7_ND_UP_R,SDDB_ND_5_7,Up,Rear,10000
1002,SSWP_7_ND_UP_F,SDDB_ND_7_9,Up,Front,10000
1003,SSWP_7_ND_DN_F,SDDB_ND_5_7,Down,Front,10000
1004,SSWP_7_ND_DN_R,SDDB_ND_7_9,Down,Rear,10000
1005,SSWP_6_ND_UP_R,SDDB_ND_4_6,Up,Rear,10000
1006,SSWP_6_ND_UP_F,SDDB_ND_6_8,Up,Front,10000
1007,SSWP_6_ND_DN_F,SDDB_ND_4_6,Down,Front,10000
1008,SSWP_6_ND_DN_R,SDDB_ND_6_8,Down,Rear,10000
1009,SSWP_15_CSN_UP_R,SDDB_CSN_13_15,Up,Rear,10000
1010,SSWP_15_CSN_UP_F,SDDB_CSN_15_17,Up,Front,10000
1011,SSWP_15_CSN_DN_F,SDDB_CSN_13_15,Down,Front,10000
1012,SSWP_15_CSN_DN_R,SDDB_CSN_15_17,Down,Rear,10000
1013,SSWP_14_CSN_UP_R,SDDB_CSN_12_14,Up,Rear,10000
1014,SSWP_14_CSN_UP_F,SDDB_CSN_14_16,Up,Front,10000
1015,SSWP_14_CSN_DN_F,SDDB_CSN_12_14,Down,Front,10000
1016,SSWP_14_CSN_DN_R,SDDB_CSN_14_16,Down,Rear,10000
1017,SSWP_55_ZD_UP_R,SDDB_ZD_53_55,Up,Rear,10000
1018,SSWP_55_ZD_UP_F,SDDB_ZD_55_57,Up,Front,10000
1019,SSWP_55_ZD_DN_F,SDDB_ZD_53_55,Down,Front,10000
1020,SSWP_55_ZD_DN_R,SDDB_ZD_55_57,Down,Rear,10000
