ID,Name,Type,Specific_Route_ID_List,Destination_Zone_Secondary_Detection_Device_ID_List,Cycle_ID_List
1,SPR_3_ITW_13_VLN_C,Call_On,R_3_ITW_13_VLN_C,0,0
3,SPR_3_ITW_14_VLN_C,Call_On,R_3_ITW_14_VLN_C,0,0
5,SPR_4_ITW_14_VLN_C,Call_On,R_4_ITW_14_VLN_C,0,0
7,SPR_4_ITW_13_VLN_C,Call_On,R_4_ITW_13_VLN_C,0,0
9,SPR_13_VLN_9_VLN_C,Call_On,R_13_VLN_9_VLN_C,0,0
10,SPR_13_VLN_10_VLN_C,Call_On,R_13_VLN_10_VLN_C,0,0
11,SPR_14_VLN_9_VLN_C,Call_On,R_14_VLN_9_VLN_C,0,0
12,SPR_14_VLN_10_VLN_C,Call_On,R_14_VLN_10_VLN_C,0,0
13,SPR_9_VLN_13_VLN_C,Call_On,R_9_VLN_13_VLN_C,0,0
14,SPR_9_VLN_22_VLN_C,Call_On,R_9_VLN_22_VLN_C,0,0
15,SPR_10_VLN_22_VLN_C,Call_On,R_10_VLN_22_VLN_C,0,0
16,SPR_10_VLN_13_VLN_C,Call_On,R_10_VLN_13_VLN_C,0,0
17,SPR_9_VLN_5_VLN_C,Call_On,R_9_VLN_5_VLN_C,0,0
18,SPR_9_VLN_6_VLN_C,Call_On,R_9_VLN_6_VLN_C,0,0
19,SPR_10_VLN_6_VLN_C,Call_On,R_10_VLN_6_VLN_C,0,0
20,SPR_10_VLN_5_VLN_C,Call_On,R_10_VLN_5_VLN_C,0,0
21,SPR_5_VLN_1_VLN_C,Call_On,R_5_VLN_1_VLN_C,0,0
22,SPR_6_VLN_2_VLN_C,Call_On,R_6_VLN_2_VLN_C,0,0
23,SPR_5_VLN_9_VLN_C,Call_On,R_5_VLN_9_VLN_C,0,0
24,SPR_5_VLN_10_VLN_C,Call_On,R_5_VLN_10_VLN_C,0,0
25,SPR_6_VLN_9_VLN_C,Call_On,R_6_VLN_9_VLN_C,0,0
26,SPR_6_VLN_10_VLN_C,Call_On,R_6_VLN_10_VLN_C,0,0
27,SPR_1_VLN_15_HDS_C,Call_On,R_1_VLN_15_HDS_C,0,0
28,SPR_1_VLN_101A_HDS_C,Call_On,R_1_VLN_101A_HDS_C,0,0
29,SPR_2_VLN_16_HDS_C,Call_On,R_2_VLN_16_HDS_C,0,0
30,SPR_2_VLN_101A_HDS_C,Call_On,R_2_VLN_101A_HDS_C,0,0
31,SPR_15_HDS_1_VLN_C,Call_On,R_15_HDS_1_VLN_C,0,0
32,SPR_16_HDS_2_VLN_C,Call_On,R_16_HDS_2_VLN_C,0,0
33,SPR_101D_HDS_1_VLN_C,Call_On,R_101D_HDS_1_VLN_C,0,0
34,SPR_101D_HDS_2_VLN_C,Call_On,R_101D_HDS_2_VLN_C,0,0
35,SPR_1_VLN_5_VLN_C,Call_On,R_1_VLN_5_VLN_C,0,0
36,SPR_2_VLN_6_VLN_C,Call_On,R_2_VLN_6_VLN_C,0,0
37,SPR_15_HDS_11_HDS_C,Call_On,R_15_HDS_11_HDS_C,0,0
38,SPR_101A_HDS_11_HDS_C,Call_On,R_101A_HDS_11_HDS_C,0,0
39,SPR_16_HDS_12_HDS_C,Call_On,R_16_HDS_12_HDS_C,0,0
40,SPR_101A_HDS_12_HDS_C,Call_On,R_101A_HDS_12_HDS_C,0,0
41,SPR_11_HDS_7_HDS_C,Call_On,R_11_HDS_7_HDS_C,0,0
42,SPR_12_HDS_8_HDS_C,Call_On,R_12_HDS_8_HDS_C,0,0
43,SPR_11_HDS_15_HDS_C,Call_On,R_11_HDS_15_HDS_C,0,0
44,SPR_11_HDS_101D_HDS_C,Call_On,R_11_HDS_101D_HDS_C,0,0
45,SPR_12_HDS_16_HDS_C,Call_On,R_12_HDS_16_HDS_C,0,0
46,SPR_12_HDS_101D_HDS_C,Call_On,R_12_HDS_101D_HDS_C,0,0
47,SPR_7_HDS_3_HDS_C,Call_On,R_7_HDS_3_HDS_C,0,0
48,SPR_7_HDS_4_HDS_C,Call_On,R_7_HDS_4_HDS_C,0,0
50,SPR_8_HDS_4_HDS_C,Call_On,R_8_HDS_4_HDS_C,0,0
51,SPR_8_HDS_3_HDS_C,Call_On,R_8_HDS_3_HDS_C,0,0
52,SPR_3_HDS_7_HDS_C,Call_On,R_3_HDS_7_HDS_C,0,0
53,SPR_3_HDS_8_HDS_C,Call_On,R_3_HDS_8_HDS_C,0,0
55,SPR_4_HDS_8_HDS_C,Call_On,R_4_HDS_8_HDS_C,0,0
56,SPR_4_HDS_7_HDS_C,Call_On,R_4_HDS_7_HDS_C,0,0
57,SPR_7_HDS_11_HDS_C,Call_On,R_7_HDS_11_HDS_C,0,0
58,SPR_8_HDS_12_HDS_C,Call_On,R_8_HDS_12_HDS_C,0,0
59,SPR_3_HDS_39_ZD_C,Call_On,R_3_HDS_39_ZD_C,0,0
60,SPR_4_HDS_28_ZD_C,Call_On,R_4_HDS_28_ZD_C,0,0
65,SPR_39_ZD_3_HDS_C,Call_On,R_39_ZD_3_HDS_C,0,0
66,SPR_35_ZD_39_ZD_C,Call_On,R_35_ZD_39_ZD_C,0,0
67,SPR_24_ZD_39_ZD_C,Call_On,R_24_ZD_39_ZD_C,0,0
68,SPR_28_ZD_4_HDS_C,Call_On,R_28_ZD_4_HDS_C,0,0
69,SPR_24_ZD_28_ZD_C,Call_On,R_24_ZD_28_ZD_C,0,0
70,SPR_35_ZD_28_ZD_C,Call_On,R_35_ZD_28_ZD_C,0,0
71,SPR_PL_HILC,HILC,R_3_ITW_13_VLN_C;R_3_ITW_14_VLN_C;R_4_ITW_14_VLN_C;R_4_ITW_13_VLN_C;R_13_VLN_9_VLN_C;R_13_VLN_10_VLN_C;R_14_VLN_9_VLN_C;R_14_VLN_10_VLN_C;R_9_VLN_13_VLN_C;R_9_VLN_22_VLN_C;R_10_VLN_22_VLN_C;R_10_VLN_13_VLN_C;R_9_VLN_5_VLN_C;R_9_VLN_6_VLN_C;R_10_VLN_6_VLN_C;R_10_VLN_5_VLN_C;R_5_VLN_1_VLN_C;R_6_VLN_2_VLN_C;R_5_VLN_9_VLN_C;R_5_VLN_10_VLN_C;R_6_VLN_9_VLN_C;R_6_VLN_10_VLN_C;R_1_VLN_15_HDS_C;R_1_VLN_101A_HDS_C;R_2_VLN_16_HDS_C;R_2_VLN_101A_HDS_C;R_15_HDS_1_VLN_C;R_16_HDS_2_VLN_C;R_101D_HDS_1_VLN_C;R_101D_HDS_2_VLN_C;R_1_VLN_5_VLN_C;R_2_VLN_6_VLN_C;R_15_HDS_11_HDS_C;R_101A_HDS_11_HDS_C;R_16_HDS_12_HDS_C;R_101A_HDS_12_HDS_C;R_11_HDS_7_HDS_C;R_12_HDS_8_HDS_C;R_11_HDS_15_HDS_C;R_11_HDS_101D_HDS_C;R_12_HDS_16_HDS_C;R_12_HDS_101D_HDS_C;R_7_HDS_3_HDS_C;R_7_HDS_4_HDS_C;R_8_HDS_4_HDS_C;R_8_HDS_3_HDS_C;R_3_HDS_7_HDS_C;R_3_HDS_8_HDS_C;R_4_HDS_8_HDS_C;R_4_HDS_7_HDS_C;R_7_HDS_11_HDS_C;R_8_HDS_12_HDS_C;R_3_HDS_39_ZD_C;R_4_HDS_28_ZD_C;R_39_ZD_3_HDS_C;R_35_ZD_39_ZD_C;R_24_ZD_39_ZD_C;R_28_ZD_4_HDS_C;R_24_ZD_28_ZD_C;R_35_ZD_28_ZD_C,0,0
1001,SPR_R_3_ND_7_ND_C,Call_On,R_3_ND_7_ND_C,0,0
1002,SPR_R_7_ND_1_CSN_C,Call_On,R_7_ND_1_CSN_C,0,0
1003,SPR_R_7_ND_2_CSN_C,Call_On,R_7_ND_2_CSN_C,0,0
1004,SPR_R_1_CSN_7_ND_C,Call_On,R_1_CSN_7_ND_C,0,0
1005,SPR_R_1_CSN_6_ND_C,Call_On,R_1_CSN_6_ND_C,0,0
1006,SPR_R_7_ND_1_ND_C,Call_On,R_7_ND_1_ND_C,0,0
1007,SPR_R_7_ND_100_ND_C,Call_On,R_7_ND_100_ND_C,0,0
1008,SPR_R_7_ND_110_ND_C,Call_On,R_7_ND_110_ND_C,0,0
1009,SPR_R_7_ND_120_ND_C,Call_On,R_7_ND_120_ND_C,0,0
1010,SPR_R_7_ND_130_ND_C,Call_On,R_7_ND_130_ND_C,0,0
1011,SPR_R_2_ND_6_ND_C,Call_On,R_2_ND_6_ND_C,0,0
1012,SPR_R_6_ND_2_CSN_C,Call_On,R_6_ND_2_CSN_C,0,0
1013,SPR_R_6_ND_1_CSN_C,Call_On,R_6_ND_1_CSN_C,0,0
1014,SPR_R_2_CSN_6_ND_C,Call_On,R_2_CSN_6_ND_C,0,0
1015,SPR_R_2_CSN_7_ND_C,Call_On,R_2_CSN_7_ND_C,0,0
1016,SPR_R_6_ND_2_ND_C,Call_On,R_6_ND_2_ND_C,0,0
1017,SPR_R_6_ND_130_ND_C,Call_On,R_6_ND_130_ND_C,0,0
1018,SPR_R_6_ND_120_ND_C,Call_On,R_6_ND_120_ND_C,0,0
1019,SPR_R_6_ND_110_ND_C,Call_On,R_6_ND_110_ND_C,0,0
1020,SPR_R_6_ND_100_ND_C,Call_On,R_6_ND_100_ND_C,0,0
1021,SPR_R_1_CSN_5_CSN_C,Call_On,R_1_CSN_5_CSN_C,0,0
1022,SPR_R_1_CSN_4_CSN_C,Call_On,R_1_CSN_4B_CSN_C,0,0
