ID,Name,Basic_Multitrack_Zone_ID
1,SWZ_PI_50_1,BMZ_PI_50_1
2,SWZ_PI_50_6,BMZ_PI_50_6
3,SWZ_RG_1_15,BMZ_RG_1_15
4,SWZ_RG_1_21,BMZ_RG_1_21
5,SWZ_RG_1_23,BMZ_RG_1_23
6,SWZ_RG_1_25,BMZ_RG_1_25
7,SWZ_RG_1_27,BMZ_RG_1_27
8,SWZ_RG_1_29,BMZ_RG_1_29
9,SWZ_RG_1_31,BMZ_RG_1_31
10,SWZ_RG_1_33,BMZ_RG_1_33
11,SWZ_RG_1_35,BMZ_RG_1_35
12,SWZ_RG_1_41,BMZ_RG_1_41
13,SWZ_RG_1_43,BMZ_RG_1_43
14,SWZ_RG_1_51,BMZ_RG_1_51
15,SWZ_RG_1_53,BMZ_RG_1_53
16,SWZ_RG_1_55,BMZ_RG_1_55
17,SWZ_RG_1_61,BMZ_RG_1_61
18,SWZ_RG_1_63,BMZ_RG_1_63
19,SWZ_RG_1_71,BMZ_RG_1_71
20,SWZ_RG_1_73,BMZ_RG_1_73
21,SWZ_RG_1_75,BMZ_RG_1_75
22,SWZ_RG_1_81,BMZ_RG_1_81
23,SWZ_RG_1_83,BMZ_RG_1_83
24,SWZ_RG_1_85,BMZ_RG_1_85
25,SWZ_RG_1_91,BMZ_RG_1_91
26,SWZ_RG_1_93,BMZ_RG_1_93
27,SWZ_RG_1_95,BMZ_RG_1_95
28,SWZ_RG_1_97,BMZ_RG_1_97
29,SWZ_RG_2_14,BMZ_RG_2_14
30,SWZ_RG_2_20,BMZ_RG_2_20
31,SWZ_RG_2_22,BMZ_RG_2_22
32,SWZ_RG_2_24,BMZ_RG_2_24
33,SWZ_RG_2_26,BMZ_RG_2_26
34,SWZ_RG_2_28,BMZ_RG_2_28
35,SWZ_RG_2_30,BMZ_RG_2_30
36,SWZ_RG_2_32,BMZ_RG_2_32
37,SWZ_RG_2_40,BMZ_RG_2_40
38,SWZ_RG_2_42,BMZ_RG_2_42
39,SWZ_RG_2_50,BMZ_RG_2_50
40,SWZ_RG_2_52,BMZ_RG_2_52
41,SWZ_RG_2_54,BMZ_RG_2_54
42,SWZ_RG_2_60,BMZ_RG_2_60
43,SWZ_RG_2_62,BMZ_RG_2_62
44,SWZ_RG_2_70,BMZ_RG_2_70
45,SWZ_RG_2_72,BMZ_RG_2_72
46,SWZ_RG_2_74,BMZ_RG_2_74
47,SWZ_RG_2_76,BMZ_RG_2_76
48,SWZ_RG_2_80,BMZ_RG_2_80
49,SWZ_RG_2_82,BMZ_RG_2_82
50,SWZ_RG_2_84,BMZ_RG_2_84
51,SWZ_RG_2_90,BMZ_RG_2_90
52,SWZ_RG_2_92,BMZ_RG_2_92
53,SWZ_RG_2_94,BMZ_RG_2_94
54,SWZ_RG_2_96,BMZ_RG_2_96
55,SWZ_RG_2_98,BMZ_RG_2_98
56,SWZ_RG_3_57,BMZ_RG_3_57
57,SWZ_PN_11_0,BMZ_PN_11_0
58,SWZ_PN_12_0,BMZ_PN_12_0
59,SWZ_PN_13_0,BMZ_PN_13_0
60,SWZ_PN_50_1,BMZ_PN_50_1
61,SWZ_PN_21_0,BMZ_PN_21_0
62,SWZ_PN_22_0,BMZ_PN_22_0
63,SWZ_PN_23_0,BMZ_PN_23_0
64,SWZ_PN_50_2,BMZ_PN_50_2
65,SWZ_NZ_1_11,BMZ_NZ_1_11
66,SWZ_NZ_1_13,BMZ_NZ_1_13
67,SWZ_NZ_2_10,BMZ_NZ_2_10
68,SWZ_NZ_2_12,BMZ_NZ_2_12
69,SWZ_NZ_2_14,BMZ_NZ_2_14
70,SWZ_NZ_2_16,BMZ_NZ_2_16
71,SWZ_NZ_1_21,BMZ_NZ_1_21
72,SWZ_NZ_1_23,BMZ_NZ_1_23
73,SWZ_NZ_1_31,BMZ_NZ_1_31
74,SWZ_NZ_3_25,BMZ_NZ_3_25
75,SWZ_NZ_2_20,BMZ_NZ_2_20
76,SWZ_NZ_2_22,BMZ_NZ_2_22
77,SWZ_NZ_2_24,BMZ_NZ_2_24
78,SWZ_NZ_2_30,BMZ_NZ_2_30
79,SWZ_NZ_1_41,BMZ_NZ_1_41
80,SWZ_NZ_1_43,BMZ_NZ_1_43
81,SWZ_NZ_1_45,BMZ_NZ_1_45
82,SWZ_NZ_2_40,BMZ_NZ_2_40
83,SWZ_NZ_2_42,BMZ_NZ_2_42
84,SWZ_NZ_2_44,BMZ_NZ_2_44
85,SWZ_NZ_1_51,BMZ_NZ_1_51
86,SWZ_NZ_1_53,BMZ_NZ_1_53
87,SWZ_NZ_1_55,BMZ_NZ_1_55
88,SWZ_NZ_1_61,BMZ_NZ_1_61
89,SWZ_NZ_2_50,BMZ_NZ_2_50
90,SWZ_NZ_2_52,BMZ_NZ_2_52
91,SWZ_NZ_2_54,BMZ_NZ_2_54
92,SWZ_NZ_2_60,BMZ_NZ_2_60
93,SWZ_NZ_1_63,BMZ_NZ_1_63
94,SWZ_NZ_1_71,BMZ_NZ_1_71
95,SWZ_NZ_2_62,BMZ_NZ_2_62
96,SWZ_NZ_2_70,BMZ_NZ_2_70
97,SWZ_NZ_1_73,BMZ_NZ_1_73
98,SWZ_NZ_1_75,BMZ_NZ_1_75
99,SWZ_NZ_1_81,BMZ_NZ_1_81
100,SWZ_NZ_1_83,BMZ_NZ_1_83
101,SWZ_NZ_2_72,BMZ_NZ_2_72
102,SWZ_NZ_2_74,BMZ_NZ_2_74
103,SWZ_NZ_2_80,BMZ_NZ_2_80
104,SWZ_NZ_2_82,BMZ_NZ_2_82
105,SWZ_NZ_1_85,BMZ_NZ_1_85
106,SWZ_NZ_1_87,BMZ_NZ_1_87
107,SWZ_NZ_1_91,BMZ_NZ_1_91
108,SWZ_NZ_2_84,BMZ_NZ_2_84
109,SWZ_NZ_2_86,BMZ_NZ_2_86
110,SWZ_NZ_1_93,BMZ_NZ_1_93
111,SWZ_NZ_44_45,BMZ_NZ_44_45
112,SWZ_NZ_1_89,BMZ_NZ_1_89
116,SWZ_CT_2_10,BMZ_CT_2_10
117,SWZ_CT_2_12,BMZ_CT_2_12
118,SWZ_CT_2_14,BMZ_CT_2_14
119,SWZ_CT_1_11,BMZ_CT_1_11
120,SWZ_CT_1_13,BMZ_CT_1_13
121,SWZ_CT_1_15,BMZ_CT_1_15
122,SWZ_CT_2_20,BMZ_CT_2_20
123,SWZ_CT_2_22,BMZ_CT_2_22
124,SWZ_CT_2_30,BMZ_CT_2_30
125,SWZ_CT_2_32,BMZ_CT_2_32
126,SWZ_CT_2_40,BMZ_CT_2_40
127,SWZ_CT_2_42,BMZ_CT_2_42
128,SWZ_CT_2_44,BMZ_CT_2_44
129,SWZ_CT_2_50,BMZ_CT_2_50
130,SWZ_CT_2_52,BMZ_CT_2_52
131,SWZ_CT_2_54,BMZ_CT_2_54
132,SWZ_CT_1_21,BMZ_CT_1_21
133,SWZ_CT_1_23,BMZ_CT_1_23
134,SWZ_CT_1_31,BMZ_CT_1_31
135,SWZ_CT_1_33,BMZ_CT_1_33
136,SWZ_CT_1_35,BMZ_CT_1_35
137,SWZ_CT_2_34,BMZ_CT_2_34
138,SWZ_CT_1_41,BMZ_CT_1_41
139,SWZ_CT_1_43,BMZ_CT_1_43
140,SWZ_CT_1_45,BMZ_CT_1_45
141,SWZ_CT_1_47,BMZ_CT_1_47
142,SWZ_CT_1_51,BMZ_CT_1_51
143,SWZ_CT_1_53,BMZ_CT_1_53
144,SWZ_CT_1_55,BMZ_CT_1_55
145,SWZ_CT_1_57,BMZ_CT_1_57
146,SWZ_GN_2_30,BMZ_GN_2_30
147,SWZ_GN_2_32,BMZ_GN_2_32
148,SWZ_GN_1_31,BMZ_GN_1_31
149,SWZ_GN_2_40,BMZ_GN_2_40
150,SWZ_GN_2_50,BMZ_GN_2_50
151,SWZ_GN_2_52,BMZ_GN_2_52
152,SWZ_GN_1_41,BMZ_GN_1_41
153,SWZ_GN_1_51,BMZ_GN_1_51
154,SWZ_GN_1_55,BMZ_GN_1_55
155,SWZ_GN_1_57,BMZ_GN_1_57
156,SWZ_GN_2_60,BMZ_GN_2_60
157,SWZ_GN_2_70,BMZ_GN_2_70
158,SWZ_GN_2_72,BMZ_GN_2_72
159,SWZ_GN_2_80,BMZ_GN_2_80
160,SWZ_GN_1_71,BMZ_GN_1_71
161,SWZ_GN_1_75,BMZ_GN_1_75
162,SWZ_GN_1_81,BMZ_GN_1_81
163,SWZ_GN_2_22,BMZ_GN_2_22
164,SWZ_GN_2_34,BMZ_GN_2_34
165,SWZ_GN_2_36,BMZ_GN_2_36
166,SWZ_GN_2_42,BMZ_GN_2_42
167,SWZ_GN_2_54,BMZ_GN_2_54
168,SWZ_GN_2_62,BMZ_GN_2_62
169,SWZ_GN_2_74,BMZ_GN_2_74
170,SWZ_GN_1_33,BMZ_GN_1_33
171,SWZ_GN_1_35,BMZ_GN_1_35
172,SWZ_GN_1_37,BMZ_GN_1_37
173,SWZ_GN_1_43,BMZ_GN_1_43
