ID,Name,Station_Name,Mainline_ID_List,Test_Track_ID,Platform_ID_List,Public_Address_System_Presence,Terminal_Station
1,ST_ASW,AMSTELVEENSEWEG,ML_SCMA,0,PF_ASW_3B_LU;PF_ASW_4B_RD,false,false
2,ST_HVW,HENK SNEEVLIETWEG,ML_SCMA,0,PF_HVW_3B_LU;PF_HVW_4B_RD,false,false
3,ST_HDS,HEEMSTEDESTRAAT,ML_SCMA,0,PF_HDS_3B_LU;PF_HDS_4B_RD,false,false
4,ST_LLL,LELYLAAN,ML_SCMA,0,PF_LLL_3B_LU;PF_LLL_4B_RD,false,false
5,ST_PJW,POSTJESWEG,ML_SCMA,0,PF_PJW_3B_LU;PF_PJW_4B_RD,false,false
6,ST_JLS,JAN VAN GALENSTRAAT,ML_SCMA,0,PF_JLS_3B_LU;PF_JLS_4B_RD,false,false
7,ST_VLN,VLUGTLAAN,ML_SCMA,0,PF_VLN_3B_LU;PF_VLN_4B_RD,false,false
8,ST_STD,SLOTERDIJK,ML_SCMA,0,PF_STD_3B_LU;PF_STD_4B_RD,false,false
9,ST_ITW,ISOLATORWEG,ML_SCMA,0,PF_ITW_3B_LU;PF_ITW_4B_RD,false,true
35,ST_ND,NOORD,ML_SCMA,0,PF_ND_7A_LU;PF_ND_8_RD,false,true
36,ST_NDP,NOORDERPARK,ML_SCMA,0,PF_NDP_7A_LU;PF_NDP_8_RD,false,false
38,ST_CSN,CENTRAL STATION NZ LINE ,ML_SCMA,0,PF_CSN_7A_RU;PF_CSN_8_LD,false,false
39,ST_RKN,ROKIN,ML_SCMA,0,PF_RKN_7A_LU;PF_RKN_8_RD,false,false
40,ST_VZG,VIJZELGRACHT,ML_SCMA,0,PF_VZG_7A_LU;PF_VZG_8_RD,false,false
41,ST_DPP,DE PIJP,ML_SCMA,0,PF_DPP_7A_LU;PF_DPP_8_LD,false,false
42,ST_EPP,EUROPAPLEIN,ML_SCMA,0,PF_EPP_7A_RU;PF_EPP_8_LD,false,false
43,ST_NZD,ZUID NZ LINE,ML_SCMA,0,PF_ZD_7A_RU,false,false
13,ST_CS,CENTRAAL STATION,ML_SCMA,0,PF_CS_2A_RD;PF_CS_1A_LU,false,true
14,ST_NMT,NIEUWMARKT,ML_SCMA,0,PF_NMT_2A_RD;PF_NMT_1A_LU,false,false
15,ST_WLP,WATERLOOPLEIN,ML_SCMA,0,PF_WLP_2A_RD;PF_WLP_1A_LU,false,false
16,ST_WPP,WEESPERPLEIN,ML_SCMA,0,PF_WPP_2A_LD;PF_WPP_1A_RU,false,false
17,ST_WBS,WIBAUTSTRAAT,ML_SCMA,0,PF_WBS_2A_RD;PF_WBS_1A_LU,false,false
18,ST_ASA,AMSTELSTATION,ML_SCMA,0,PF_ASA_2A_LD;PF_ASA_1A_RU,false,false
19,ST_SLW,SPAKLERWEG,ML_SCMA,0,PF_SLW_4A_LD;PF_SLW_3A_RU;PF_SLW_2A_RD;PF_SLW_1A_LU,false,false
20,ST_MDW,VAN DER MADEWEG,ML_SCMA,0,PF_MDW_2A_RD;PF_MDW_6C_LD;PF_MDW_5C_RU;PF_MDW_1A_LU,false,false
21,ST_DVD,DUIVENDRECHT,ML_SCMA,0,PF_DVD_2A_LD;PF_DVD_1A_RU,false,false
22,ST_SVT,STRANDVLIET,ML_SCMA,0,PF_SVT_2A_RD;PF_SVT_1A_LU,false,false
23,ST_BMR,BIJLMER,ML_SCMA,0,PF_BMR_2A_RD;PF_BMR_1A_LU,false,false
24,ST_BLW,BULLEWIJK,ML_SCMA,0,PF_BLW_2A_RD;PF_BLW_1A_LU,false,false
25,ST_HLD,HOLENDRECHT,ML_SCMA,0,PF_HLD_2A_RD;PF_HLD_1A_LU,false,false
26,ST_RGB,REIGERSBOS,ML_SCMA,0,PF_RGB_2A_RD;PF_RGB_1A_LU,false,false
27,ST_GN,GEIN,ML_SCMA,0,PF_GN_2A_RD;PF_GN_1A_LU,false,true
29,ST_VPD,VENSERPOLDER,ML_SCMA,0,PF_VPD_5D_LU;PF_VPD_6D_RD,false,false
30,ST_DMZ,DIEMEN ZUID,ML_SCMA,0,PF_DMZ_5D_LU;PF_DMZ_6D_RD,false,false
31,ST_VSW,VERRIJN STUARTWEG,ML_SCMA,0,PF_VSW_5E_LU;PF_VSW_6E_RD,false,false
32,ST_GZH,GANZENHOEF,ML_SCMA,0,PF_GZH_5E_LU;PF_GZH_6E_RD,false,false
33,ST_KEN,KRAAIENNEST,ML_SCMA,0,PF_KEN_5E_LU;PF_KEN_6E_RD,false,false
34,ST_GPP,GAASPERPLAS,ML_SCMA,0,PF_GPP_5E_LU;PF_GPP_6E_RD,false,true
12,ST_OAS,OVERAMSTEL,ML_SCMA,0,PF_OAS_3A_RU;PF_OAS_6A_LU;PF_OAS_4A_LD,false,false
11,ST_RAI,RAI,ML_SCMA,0,PF_RAI_3A_LU;PF_RAI_4A_RD,false,false
10,ST_ZD,ZUID,ML_SCMA,0,PF_ZD_3A_LU;PF_ZD_12_LD;PF_ZD_4A_RD,false,false
