ID,Name,Switch_Characteristics_ID,Convergent_Point_ID_List,Divergent_Point_ID_List,Switch_Type,Point_To_Point_Length,Auto_Normalized,Switch_Normalization_Timer,Command_Detection,MAX_Switch_Powering_Timer,Switch_Discrepancy_Timer,Switch_Concordance_Timer,Switch_Slow_Motion_Timer,Switch_Group_Type,Coupled_With_Switch_ID,Coupled_With_Monitored_Switch_ID,Junction,Critical,Technical_Room_ID
1,SW_ZD_1773,SWCH_ALL,PT_W1773A_ZD,PT_W1773B_ZD,Double,5337,false,0,1C2D,8000,6000,4000,7000,Double Crossing,SW_ZD_1775,0,false,Redundant Input,TCR_EZD_S_3B_R
2,SW_ZD_1775,SWCH_ALL,PT_W1775A_ZD,PT_W1775B_ZD,Double,5338,false,0,1C2D,8000,6000,4000,7000,Double Crossing,SW_ZD_1773,0,false,Redundant Input,TCR_EZD_S_3B_R
3,SW_HDS_1721,SWCH_ALL,PT_W1721A_HDS,PT_W1721B_HDS,Double,5340,false,0,1C2D,8000,6000,4000,7000,Cross Over,0,0,false,Redundant Input,TCR_HDS_S_3B_R
4,SW_HDS_1719,SWCH_ALL,PT_W1719A_HDS,PT_W1719B_HDS,Double,5342,false,0,1C2D,8000,6000,4000,7000,Cross Over,0,0,false,Redundant Input,TCR_HDS_S_3B_R
5,SW_HDS_1695,SWCH_ALL,PT_W1695A_HDS,PT_W1695B_HDS,Double,7960,false,0,1C2D,8000,6000,4000,7000,Y Siding,SW_HDS_1697,0,false,Redundant Input,TCR_HDS_S_3B_R
6,SW_HDS_1687,SWCH_ALL,PT_W1687A_HDS,PT_W1687B_HDS,Double,8719,false,0,1C2D,8000,6000,4000,7000,Y Siding,SW_HDS_1683,0,false,Redundant Input,TCR_HDS_S_3B_R
7,SW_HDS_1697,SWCH_ALL,0,PT_W1697_HDS,Simple,0,false,0,1C1D,8000,6000,4000,7000,Y Siding,SW_HDS_1695,0,false,Redundant Input,TCR_HDS_S_3B_R
8,SW_HDS_1683,SWCH_ALL,PT_W1683_HDS,0,Simple,0,false,0,1C1D,8000,6000,4000,7000,Y Siding,SW_HDS_1687,0,false,Redundant Input,TCR_HDS_S_3B_R
9,SW_VLN_1653,SWCH_ALL,PT_W1653A_VLN,PT_W1653B_VLN,Double,5339,false,0,1C2D,8000,6000,4000,7000,Cross Over,0,0,false,Redundant Input,TCR_VLN_S_3B_R
10,SW_VLN_1651,SWCH_ALL,PT_W1651A_VLN,PT_W1651B_VLN,Double,5340,false,0,1C2D,8000,6000,4000,7000,Cross Over,0,0,false,Redundant Input,TCR_VLN_S_3B_R
11,SW_VLN_1635,SWCH_ALL,PT_W1635A_VLN,PT_W1635B_VLN,Double,5530,false,0,1C2D,8000,6000,4000,7000,Double Crossing,SW_VLN_1637,0,false,Redundant Input,TCR_VLN_S_3B_R
12,SW_VLN_1637,SWCH_ALL,PT_W1637A_VLN,PT_W1637B_VLN,Double,5531,false,0,1C2D,8000,6000,4000,7000,Double Crossing,SW_VLN_1635,0,false,Redundant Input,TCR_VLN_S_3B_R
13,SW_ITW_1615,SWCH_ALL,PT_W1615A_ITW,PT_W1615B_ITW,Double,13577,false,0,1C2D,8000,6000,4000,7000,Cross Over,0,0,false,Input-Output Redundant,TCR_ITW_S_3B_R
14,SW_ITW_1617,SWCH_ALL,PT_W1617A_ITW,PT_W1617B_ITW,Double,5581,false,0,1C2D,8000,6000,4000,7000,Cross Over,0,0,false,Input-Output Redundant,TCR_ITW_S_3B_R
15,SW_ZD_1791,SWCH_ALL,PT_W1791_ZD,0,Simple,0,false,0,1C1D,8000,6000,4000,7000,Single,0,0,false,Redundant Input,TCR_EZD_S_3B_R
16,SW_ZD_1793,SWCH_ALL,PT_W1793_ZD,0,Simple,0,false,0,1C1D,8000,6000,4000,7000,Single,0,0,false,Redundant Input,TCR_EZD_S_3B_R
