ID,Name,Kp_Localisation,Track_ID,Station_ID,Type
1,TCR_EZD_S_3B_R,1029000,TR_3B_ASW_ITW,ST_ASW,SER
2,TCR_HDS_S_3B_R,1330000,TR_3B_ASW_ITW,ST_HDS,SER
3,TCR_VLN_S_3B_R,1640000,TR_3B_ASW_ITW,ST_VLN,SER
4,TCR_ITW_S_3B_R,1870000,TR_3B_ASW_ITW,ST_ITW,SER
5,TCR_LCM_M_0,1386000,TR_3B_ASW_ITW,ST_SLW,OCC
1002,TCR_ND_M_8_R,659000,TR_8_ND_ZD,ST_ND,SER
1003,TCR_CSN_M_8_L,999000,TR_8_ND_ZD,ST_CSN,SER
1004,TCR_VZG_M_8_R,1223000,TR_8_ND_ZD,ST_VZG,SER
1005,TCR_ZD_M_4A_R,1585000,TR_7A_ND_ZD,ST_NZD,SER
2001,TCR_CS_M_1A_L,17950,TR_1A_CS_GN,ST_CS,SER
2002,TCR_WPP_M_1A_R,207000,TR_1A_CS_GN,ST_WPP,SER
2003,TCR_SLW_M_1A_L,456000,TR_1A_CS_GN,ST_SLW,SER
2004,TCR_MDW_M_1A_L,592000,TR_1A_CS_GN,ST_MDW,SER
2005,TCR_SVT_M_1A_L,743000,TR_1A_CS_GN,ST_SVT,SER
2006,TCR_BLW_M_1A_L,892000,TR_1A_CS_GN,ST_BLW,SER
2007,TCR_GN_M_1A_L,1220000,TR_1A_CS_GN,ST_GN,SER
2008,TCR_DMZ_M_5D_L,247000,TR_5D_MDW_DMZ,ST_DMZ,SER
2009,TCR_GPP_M_5E_L,993000,TR_5E_DMZ_GPP,ST_GPP,SER
2011,TCR_OAS_M_4A_L,583000,TR_4A_SLW_ZD,ST_OAS,SER
2012,TCR_SET_S_4A_R,916000,TR_4A_SLW_ZD,ST_ZD,SER
2013,TCR_LCM_M_1,1386000,TR_3B_ASW_ITW,ST_SLW,SER
2014,TCR_LCM_M_2,1386000,TR_3B_ASW_ITW,ST_SLW,SER
2015,TCR_EZDSH_S_3A_R,1020000,TR_3A_SLW_ZD,ST_ASW,SER
