ID,Name,Track_ID,Direction_Of_Traffic,Remote_Door_Opening,Left_Track_ID,Right_Track_ID,Track_Container_Type,No_Evacuation_Way_Side,Secured,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value
1,TC_4B_ASW_ITW_1,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1025964,5
2,TC_4B_ASW_ITW_2,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1060879,0
3,TC_4B_ASW_ITW_3,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1101500,0
4,TC_4B_ASW_ITW_4,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1117700,0
5,TC_4B_ASW_ITW_5,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1135200,0
6,TC_4B_ASW_ITW_6,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1166400,0
7,TC_4B_ASW_ITW_7,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1184900,0
8,TC_4B_ASW_ITW_8,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1242300,0
9,TC_4B_ASW_ITW_9,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1289144,0
10,TC_4B_ASW_ITW_10,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1315300,0
12,TC_4B_ASW_ITW_12,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1361700,0
13,TC_4B_ASW_ITW_13,TR_4B_ASW_ITW,Both,false,0,TR_S_1697_HDS,Open Area,None,false,1374700,0
14,TC_4B_ASW_ITW_14,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1413600,0
15,TC_4B_ASW_ITW_15,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1456131,0
16,TC_4B_ASW_ITW_16,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1493979,0
17,TC_4B_ASW_ITW_17,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1536835,0
18,TC_4B_ASW_ITW_18,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1576300,0
19,TC_4B_ASW_ITW_19,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1623659,0
20,TC_4B_ASW_ITW_20,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1661496,0
21,TC_4B_ASW_ITW_21,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1695400,0
22,TC_4B_ASW_ITW_22,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1726200,0
23,TC_4B_ASW_ITW_23,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1768700,0
24,TC_4B_ASW_ITW_24,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1782700,0
25,TC_4B_ASW_ITW_25,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1853233,0
70,TC_4B_ASW_ITW_26,TR_4B_ASW_ITW,Both,false,0,TR_3B_ASW_ITW,Open Area,None,false,1879400,0
26,TC_3B_ASW_ITW_1,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1020501,0
27,TC_3B_ASW_ITW_2,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1057700,0
28,TC_3B_ASW_ITW_3,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1101500,0
29,TC_3B_ASW_ITW_4,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1117700,0
30,TC_3B_ASW_ITW_5,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1135200,0
31,TC_3B_ASW_ITW_6,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1166400,0
32,TC_3B_ASW_ITW_7,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1184900,0
33,TC_3B_ASW_ITW_8,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1242300,0
34,TC_3B_ASW_ITW_9,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1289144,0
35,TC_3B_ASW_ITW_10,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1315300,0
37,TC_3B_ASW_ITW_12,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1361700,0
38,TC_3B_ASW_ITW_13,TR_3B_ASW_ITW,Both,false,TR_S_1697_HDS,0,Open Area,None,false,1374700,0
39,TC_3B_ASW_ITW_14,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1413700,0
40,TC_3B_ASW_ITW_15,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1454100,0
41,TC_3B_ASW_ITW_16,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1483600,0
42,TC_3B_ASW_ITW_17,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1534647,0
43,TC_3B_ASW_ITW_18,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1576300,0
44,TC_3B_ASW_ITW_19,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1621535,0
45,TC_3B_ASW_ITW_20,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1659369,0
46,TC_3B_ASW_ITW_21,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1695400,0
47,TC_3B_ASW_ITW_22,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1726025,0
48,TC_3B_ASW_ITW_23,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1768700,0
49,TC_3B_ASW_ITW_24,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1782700,0
50,TC_3B_ASW_ITW_25,TR_3B_ASW_ITW,Both,false,TR_4B_ASW_ITW,0,Open Area,None,false,1852112,0
51,TC_1697_HDS,TR_S_1697_HDS,Both,false,0,0,Open Area,None,false,1412129,0
52,TC_1773_ZD,TR_I_1773_ZD,Both,false,0,0,Open Area,None,false,0,0
53,TC_1775_ZD,TR_I_1775_ZD,Both,false,0,0,Open Area,None,false,0,0
54,TC_1721_HDS,TR_I_1721_HDS,Both,false,0,0,Open Area,None,false,0,0
55,TC_1719_HDS,TR_I_1719_HDS,Both,false,0,0,Open Area,None,false,0,0
56,TC_1695_HDS,TR_I_1695_HDS,Both,false,0,0,Open Area,None,false,0,0
57,TC_1687_HDS,TR_I_1687_HDS,Both,false,0,0,Open Area,None,false,0,0
58,TC_1653_VLN,TR_I_1653_VLN,Both,false,0,0,Open Area,None,false,0,0
59,TC_1651_VLN,TR_I_1651_VLN,Both,false,0,0,Open Area,None,false,0,0
60,TC_1635_VLN,TR_I_1635_VLN,Both,false,0,0,Open Area,None,false,0,0
61,TC_1637_VLN,TR_I_1637_VLN,Both,false,0,0,Open Area,None,false,0,0
62,TC_1617_ITW,TR_I_1617_ITW,Both,false,0,0,Open Area,None,false,0,0
63,TC_1615_ITW,TR_I_1615_ITW,Both,false,0,0,Open Area,None,false,0,0
64,TC_1921_ZD,TR_S_1921_ZD,Both,false,0,0,Open Area,None,false,972804,0
65,TC_1915_ZD,TR_S_1915_ZD,Both,false,0,0,Open Area,None,false,927267,0
66,TC_EOT_1529_ITW,TR_S_EOT_1529_ITW,Both,false,TR_3B_ASW_ITW,TR_S_ITW1_ITW,Open Area,None,false,1860477,0
67,TC_1523_ITW,TR_I_1523_ITW,Both,false,0,0,Open Area,None,false,0,0
68,TC_1531_EOT_ITW,TR_S_1531_EOT_ITW,Both,false,TR_S_ITW2_ITW,TR_S_1505_EOT_ITW,Open Area,None,false,1878449,0
69,TC_ITW1_ITW,TR_S_ITW1_ITW,Both,false,TR_3C_ITW_ITW,0,Open Area,None,false,1851648,0
71,TC_ITW2_ITW,TR_S_ITW2_ITW,Both,false,TR_S_1509_EOT_ITW,TR_S_1531_EOT_ITW,Open Area,None,false,1862392,0
72,TC_ITW3_ITW,TR_S_ITW3_ITW,Both,false,0,TR_S_1509_EOT_ITW,Open Area,None,false,1858746,0
73,TC_1505_EOT_ITW,TR_S_1505_EOT_ITW,Both,false,TR_S_1531_EOT_ITW,TR_S_1509_EOT_ITW,Open Area,None,false,1884283,0
74,TC_1509_EOT_ITW,TR_S_1509_EOT_ITW,Both,false,TR_S_ITW3_ITW,TR_S_ITW2_ITW,Open Area,None,false,1886988,0
75,TC_EOT_1521_ITW,TR_S_EOT_1521_ITW,Both,false,0,TR_S_ITW3_ITW,Open Area,None,false,1857442,0
76,TR_3C_ITW_ITW,TR_3C_ITW_ITW,Both,false,TR_S_1505_EOT_ITW,TR_S_ITW1_ITW,Open Area,None,false,1875525,0
77,TC_1501_ITW,TR_I_1501_ITW,Both,false,0,0,Open Area,None,false,0,0
78,TC_1511_ITW,TR_I_1511_ITW,Both,false,0,0,Open Area,None,false,0,0
79,TC_1513_ITW,TR_I_1513_ITW,Both,false,0,0,Open Area,None,false,0,0
1001,TC_EOT_3207_ND,TR_S_EOT_3207_ND,Both,false,TR_S_EOT_3213_ND,TR_7A_ND_ZD,Open Area,None,false,611840,602
1002,TC_EOT_3213_ND,TR_S_EOT_3213_ND,Both,false,TR_S_EOT_3211_ND,TR_S_EOT_3207_ND,Open Area,None,false,608956,3410
1003,TC_EOT_3211_ND,TR_S_EOT_3211_ND,Both,false,TR_S_EOT_3205_ND,TR_S_EOT_3213_ND,Open Area,None,false,610523,1839
1004,TC_EOT_3205_ND,TR_S_EOT_3205_ND,Both,false,TR_8_ND_ZD,TR_S_EOT_3211_ND,Open Area,None,false,624736,517
1005,TC_3201_ND,TR_I_3201_ND,Both,false,0,0,Open Area,None,false,0,-600
1006,TC_3203_ND,TR_I_3203_ND,Both,false,0,0,Open Area,None,false,0,-600
1007,TC_7A_ND_ZD_1,TR_7A_ND_ZD,Both,false,TR_S_EOT_3207_ND,0,Open Area,None,false,619136,994
1008,TC_7A_ND_ZD_2,TR_7A_ND_ZD,Both,false,TR_8_ND_ZD,0,Open Area,None,false,642300,0
1009,TC_7A_ND_ZD_3,TR_7A_ND_ZD,Both,false,TR_8_ND_ZD,0,Dual Underground,None,false,859979,0
1010,TC_7A_ND_ZD_4,TR_7A_ND_ZD,Both,false,TR_S_EOT_3277_CSN,0,Dual Underground,None,false,918491,0
1011,TC_7A_ND_ZD_5,TR_7A_ND_ZD,Both,false,TR_8_ND_ZD,0,Dual Underground,None,false,943700,0
1012,TC_7A_ND_ZD_6,TR_7A_ND_ZD,Both,false,TR_8_ND_ZD,0,Open Area,None,false,1453160,0
1019,TC_8_ND_ZD_1,TR_8_ND_ZD,Both,false,0,TR_S_EOT_3205_ND,Open Area,None,false,624287,1017
1020,TC_8_ND_ZD_2,TR_8_ND_ZD,Both,false,0,TR_7A_ND_ZD,Open Area,None,false,642340,0
1021,TC_8_ND_ZD_3,TR_8_ND_ZD,Both,false,0,TR_7A_ND_ZD,Dual Underground,None,false,860237,0
1022,TC_8_ND_ZD_4,TR_8_ND_ZD,Both,false,0,TR_S_EOT_3277_CSN,Dual Underground,None,false,918491,0
1023,TC_8_ND_ZD_5,TR_8_ND_ZD,Both,false,0,TR_7A_ND_ZD,Dual Underground,None,false,943700,0
1024,TC_8_ND_ZD_6,TR_8_ND_ZD,Both,false,0,TR_7A_ND_ZD,Open Area,None,false,1453160,0
1031,TC_EOT_3277_CSN,TR_S_EOT_3277_CSN,Both,false,TR_8_ND_ZD,TR_7A_ND_ZD,Dual Underground,None,false,918512,417
1032,TC_3223_ND,TR_I_3223_ND,Both,false,0,0,Open Area,None,false,0,0
1033,TC_3225_ND,TR_I_3225_ND,Both,false,0,0,Open Area,None,false,0,0
1034,TC_3255_ND,TR_I_3255_CSN,Both,false,0,0,Open Area,None,false,0,0
1035,TC_3257_ND,TR_I_3257_CSN,Both,false,0,0,Open Area,None,false,0,0
1036,TC_3273_ND,TR_I_3273_CSN,Both,false,0,0,Open Area,None,false,0,0
1037,TC_3309_ND,TR_I_3309_CSN,Both,false,0,0,Open Area,None,false,0,0
1038,TC_3313_ND,TR_I_3313_CSN,Both,false,0,0,Open Area,None,false,0,0
