ID,Train_Unit_Characteristics_ID
45,TRUC_S1S2
46,TRUC_S1S2
47,TRUC_S1S2
48,TRUC_S1S2
49,TRUC_S1S2
50,TRUC_S1S2
51,TRUC_S1S2
52,TRUC_S1S2
53,TRUC_S1S2
54,TRUC_S1S2
55,TRUC_S1S2
56,TRUC_S1S2
57,TRUC_S1S2
58,TRUC_S1S2
59,TRUC_S1S2
60,TRUC_S1S2
61,TRUC_S1S2
62,TRUC_S1S2
63,TRUC_S1S2
64,TRUC_S1S2
65,TRUC_S1S2
66,TRUC_S1S2
67,TRUC_S1S2
68,TRUC_S1S2
69,TRUC_S1S2
70,TRUC_S3M4
71,TRUC_S3M4
72,TRUC_S3M4
73,TRUC_S3M4
74,TRUC_S3M4
75,TRUC_S3M4
76,TRUC_S3M4
77,TRUC_S3M4
78,TRUC_S3M4
79,TRUC_S3M4
80,TRUC_S3M4
81,TRUC_S3M4
82,TRUC_S3M4
83,TRUC_S3M4
84,TRUC_S3M4
85,TRUC_S3M4
86,TRUC_S3M4
87,TRUC_S3M4
88,TRUC_S3M4
89,TRUC_S3M4
90,TRUC_S3M4
91,TRUC_S3M4
92,TRUC_S3M4
93,TRUC_S3M4
94,TRUC_S3M4
95,TRUC_S3M4
96,TRUC_S3M4
97,TRUC_S3M4
98,TRUC_S3M4
99,TRUC_S3M4
100,TRUC_S3M4
101,TRUC_S3M4
102,TRUC_S3M4
103,TRUC_S3M4
104,TRUC_S3M4
105,TRUC_S3M4
106,TRUC_S3M4
107,TRUC_M5M6
109,TRUC_M5M6
111,TRUC_M5M6
113,TRUC_M5M6
115,TRUC_M5M6
117,TRUC_M5M6
119,TRUC_M5M6
121,TRUC_M5M6
123,TRUC_M5M6
125,TRUC_M5M6
127,TRUC_M5M6
129,TRUC_M5M6
131,TRUC_M5M6
133,TRUC_M5M6
135,TRUC_M5M6
137,TRUC_M5M6
139,TRUC_M5M6
141,TRUC_M5M6
143,TRUC_M5M6
145,TRUC_M5M6
147,TRUC_M5M6
149,TRUC_M5M6
151,TRUC_M5M6
153,TRUC_M5M6
155,TRUC_M5M6
157,TRUC_M5M6
159,TRUC_M5M6
161,TRUC_M5M6
163,TRUC_M5M6
165,TRUC_M5M6
167,TRUC_M5M6
169,TRUC_M5M6
171,TRUC_M5M6
173,TRUC_M5M6
175,TRUC_M5M6
