ID,Name,Train_Wake_Up_Unit_Type,SSID,IP_Address,MIB_IP_Address,Subnet_Mask,Gateway_IP_Address,Train_ID
5484,TWU_1_M5M6_T107,TWU_1,107,10.85.107.169,10.85.107.169,255.252.0.0,10.85.107.138,107
5486,TWU_1_M5M6_T109,TWU_1,109,10.85.109.169,10.85.109.169,255.252.0.0,10.85.109.138,109
5488,TWU_1_M5M6_T111,TWU_1,111,10.85.111.169,10.85.111.169,255.252.0.0,10.85.111.138,111
5490,TWU_1_M5M6_T113,TWU_1,113,10.85.113.169,10.85.113.169,255.252.0.0,10.85.113.138,113
5492,TWU_1_M5M6_T115,TWU_1,115,10.85.115.169,10.85.115.169,255.252.0.0,10.85.115.138,115
5494,TWU_1_M5M6_T117,TWU_1,117,10.85.117.169,10.85.117.169,255.252.0.0,10.85.117.138,117
5496,TWU_1_M5M6_T119,TWU_1,119,10.85.119.169,10.85.119.169,255.252.0.0,10.85.119.138,119
5498,TWU_1_M5M6_T121,TWU_1,121,10.85.121.169,10.85.121.169,255.252.0.0,10.85.121.138,121
5500,TWU_1_M5M6_T123,TWU_1,123,10.85.123.169,10.85.123.169,255.252.0.0,10.85.123.138,123
5502,TWU_1_M5M6_T125,TWU_1,125,10.85.125.169,10.85.125.169,255.252.0.0,10.85.125.138,125
5504,TWU_1_M5M6_T127,TWU_1,127,10.85.127.169,10.85.127.169,255.252.0.0,10.85.127.138,127
5506,TWU_1_M5M6_T129,TWU_1,129,10.85.129.169,10.85.129.169,255.252.0.0,10.85.129.138,129
5508,TWU_1_M5M6_T131,TWU_1,131,10.85.131.169,10.85.131.169,255.252.0.0,10.85.131.138,131
5510,TWU_1_M5M6_T133,TWU_1,133,10.85.133.169,10.85.133.169,255.252.0.0,10.85.133.138,133
5512,TWU_1_M5M6_T135,TWU_1,135,10.85.135.169,10.85.135.169,255.252.0.0,10.85.135.138,135
5514,TWU_1_M5M6_T137,TWU_1,137,10.85.137.169,10.85.137.169,255.252.0.0,10.85.137.138,137
5516,TWU_1_M5M6_T139,TWU_1,139,10.85.139.169,10.85.139.169,255.252.0.0,10.85.139.138,139
